Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/21/25,375,385,370,376.75,98,31840,12058226.25
10/17/25,382,390,380,382.25,40,5434,2073574.5
10/16/25,380,394.5,380,386,32,3024,1159298
10/15/25,395,399,384.5,388.5,81,34764,13553047.5
10/14/25,391,398,390,394,103,88094,34665774.75
10/13/25,384.25,395,384.25,390.5,158,61682,24132864.5
10/10/25,365,385,365,384.25,336,255677,97023522
10/9/25,358.5,368.75,358.5,363.5,87,76355,27683213.25
10/8/25,369.75,369.75,350,355,81,31855,11356846.25
10/7/25,362.5,375,353.5,364.5,77,10475,3863566.25
10/3/25,359,369,356.25,359.25,60,16850,6060363.25
10/2/25,365,372.5,359,359.5,72,22848,8273379.25
10/1/25,363,373,360,368.25,102,50708,18690130.25
9/30/25,365,366.75,359,360.25,170,139935,50385809
9/29/25,359,374,355,358.75,330,182961,66266079
9/26/25,327.5,365,327.5,351,471,392454,134660268.3
9/25/25,317,330,317,325,159,58122,18921484.25
9/24/25,324.5,325,318,320.75,112,74301,23875681
9/23/25,317,325,315,322.25,191,119864,38491357.75
9/22/25,315,325,315,318.75,284,168489,53813511.5
9/19/25,279,312.75,279,310.5,813,471462,140880318.8
9/18/25,271,277.5,266,277,159,87555,24090992.25
9/17/25,259,280,259,271,335,164284,44662227.75
9/16/25,243,258.5,243,257.75,305,137185,35047518
9/15/25,245,246.75,242,242.25,58,15099,3666298.25
9/12/25,235,247,235,244.25,134,60444,14732969
9/11/25,242,245,239.5,241.75,102,55545,13417107
9/10/25,240,243,232,241,104,42664,10227101
9/9/25,244,244,235,236.75,63,32401,7687552
9/8/25,243,244,237,241.25,102,35185,8470455.25
9/4/25,244.25,244.25,241,243,85,69002,16735697
9/3/25,234,248.25,233.25,242.25,302,265974,63856494
9/2/25,226.5,239,226.5,236.75,238,87848,20645869.25
9/1/25,227,230,225,226.25,102,57606,13052366.75
8/29/25,216,229.75,216,221.25,151,94513,20732647.75
8/28/25,209.25,215,209.25,212.75,88,16931,3586761.25
8/27/25,214,214,209.5,210,46,21971,4618375
8/26/25,214,214,209,211.25,57,23463,4947791.5
8/25/25,209,214,208,211,33,2849,596200.25
8/22/25,212,215,209.25,209.5,61,19818,4171222.75
8/21/25,215.75,215.75,208.5,210,59,9922,2096693
8/20/25,212,216,212,214,75,11934,2560054.25
8/19/25,208.25,216.75,208,209,95,23645,4995416
8/18/25,211.25,211.25,207,208.25,130,32018,6659796.25
8/15/25,214.5,214.5,208,211.25,215,89661,18825428.75
8/14/25,214.75,217.75,214.25,215.25,55,6209,1337362.5
8/13/25,215.25,217.75,213,214,98,29236,6294634.75
8/12/25,219.5,219.5,213.75,215.25,123,15885,3433494
8/11/25,224.5,224.5,217.5,217.75,112,20610,4514086.75
8/7/25,229,229,210,220.25,398,151887,33573263.25
8/6/25,237.5,240,236,237.25,43,7041,1672793.25
8/5/25,237.75,243.5,237.75,237.75,40,7700,1843028.5
8/4/25,239,245,238,238.25,68,13512,3247847
8/1/25,245,245,240,241.5,48,4186,1014241.75
7/31/25,245,247,240,242.75,49,19946,4804139.5
7/30/25,248.75,249,242.25,245.25,40,16595,4057706
7/29/25,242.25,250,241.5,247.5,111,58536,14358870
7/28/25,244.75,247.5,242,244.75,92,52988,12885870
7/25/25,250,255,242,244.75,53,17891,4433590.25
7/24/25,250,255,248,249.75,116,68564,17260435.25
7/23/25,239.75,255,237.25,248.5,240,184735,45356590
7/22/25,240,242.5,237.75,238,51,12355,2957921.25
7/21/25,238.75,242.5,238,240,171,92448,22185775
7/18/25,235,240,234,235.25,92,38901,9167788.25
7/17/25,240,241,235,236.5,106,26239,6222403.25
7/16/25,245,245.75,239.5,244,146,78254,18983711
