Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/21/25,68,68.4,67.6,68,266,473211,32156782.8
10/17/25,68.4,68.5,67.6,68,278,462133,31426517
10/16/25,69,69,67.7,68,344,1973847,134256314.6
10/15/25,68.8,69.4,68.1,68.7,152,246331,16930813.6
10/14/25,69.2,69.9,67.9,68.7,290,843397,57743813.3
10/13/25,70.3,70.3,69,69,302,511791,35651735.8
10/10/25,70,71,70,70.3,258,832001,58469611.9
10/9/25,70,70.8,69.8,70,367,1122108,78735046.2
10/8/25,71.5,71.7,69.5,70.4,558,702861,49631948.1
10/7/25,71.6,74.5,71.2,71.5,866,1862953,134877640.9
10/3/25,66.1,72,66.1,71,1730,9264600,650187209.5
10/2/25,66.6,66.6,65.7,65.8,254,506625,33443903.8
10/1/25,67,67.3,66,67,277,1592688,106292231.8
9/30/25,66.3,67.5,65.8,67.1,444,2178006,145593478.5
9/29/25,66.6,67,65,66.7,411,1303959,86008188
9/26/25,66.4,67.5,65.3,67,735,2883296,191299133.2
9/25/25,64,66.3,64,65.9,955,5402416,353131684.8
9/24/25,64,64,62.8,63.4,360,1341172,84639878.4
9/23/25,62.3,64.3,61.8,64.1,748,2950531,188114880.2
9/22/25,61,62.3,60.6,62.1,535,1391724,86021016.2
9/19/25,59.4,61.2,59.2,60.4,312,947773,56903844.8
9/18/25,57.5,60,57.1,59.1,300,568223,33645760.2
9/17/25,57,57.9,56.9,57.1,150,273783,15642664.2
9/16/25,56,57.2,55.8,56.5,255,509676,28802394.6
9/15/25,57,57.9,55.8,56,481,865698,48919455.5
9/12/25,57,57.2,56.4,56.6,235,819161,46582671.2
9/11/25,57,57.9,56.5,56.7,327,475325,27046504
9/10/25,57.9,58.5,56.5,57.1,405,729913,41843295.2
9/9/25,59.2,59.6,57.7,58,320,1292137,75555657.9
9/8/25,58.8,59.2,58.6,58.9,188,206142,12134748.5
9/4/25,59,60,58.9,59,143,148163,8791806.4
9/3/25,59.9,60,58.9,59.1,233,1043618,61622452.7
9/2/25,60.5,61.2,59.6,59.8,280,585353,35260503.9
9/1/25,61,61,60.1,60.5,256,400170,24220133.1
