Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/21/25,61,62.4,61,62.1,100,130994,8085964.9
10/17/25,60.6,61.5,60.1,61,95,139281,8465115.6
10/16/25,62,62,59.5,61,176,137874,8337791.5
10/15/25,62.5,63,60.9,61.4,124,84950,5272070.1
10/14/25,62,62.5,60.9,61.4,140,167092,10302357.4
10/13/25,63.2,63.2,61.5,61.9,84,32193,1994543.2
10/10/25,62.2,65.4,61.9,63.6,134,232039,14620835.8
10/9/25,64.9,64.9,62,62.3,107,266224,16829837.7
10/8/25,66,66.6,62,63.5,175,614743,39975599.6
10/7/25,64,66.5,64,65.8,297,887260,57702606.4
10/3/25,63,64.1,61.8,63.3,103,165976,10449339.4
10/2/25,63,64.5,63,63.1,111,220871,14013510.3
10/1/25,63,63.2,62.2,62.3,70,267573,16732333.1
9/30/25,62.7,63,61,62.4,89,172997,10649049.5
9/29/25,63.4,63.4,61,61.5,112,275710,16987794.1
9/26/25,63,64,62.6,63,85,218783,13872880.8
9/25/25,62.2,63.9,61.3,63,119,307923,19314255.7
9/24/25,61.3,64.2,61.2,62.2,80,232337,14429893.1
9/23/25,65.8,65.8,61.3,61.9,159,245890,15242347.9
9/22/25,67,68,62.2,62.6,214,464233,29388507.9
9/19/25,65.1,68.5,65.1,67,552,1338359,89924069.7
9/18/25,60,66.3,58.6,65.1,508,1351739,85025558
9/17/25,59.6,61.9,58.5,59,141,246173,14642117.4
9/16/25,58,60,58,59.1,205,408836,24168056.8
9/15/25,60.5,60.5,56.9,57.1,248,370304,21499972.3
9/12/25,58,62,57.1,60.5,198,253988,15195348.6
9/11/25,61.3,63.2,58,58.6,404,853930,50480617.1
9/10/25,61,63,60,61.3,324,644696,39602192.9
9/9/25,65,67,60.6,61.4,325,1081425,68011441.2
9/8/25,68,68,64.1,64.8,399,864297,56656108.2
9/4/25,63.5,68.5,61.5,67.9,708,1417803,93114702
9/3/25,62.5,63.8,61.5,62,182,394033,24574635.5
9/2/25,64,64,62,62.7,188,178469,11166013.2
9/1/25,63,64.8,63,63.8,237,509561,32613249.3
8/29/25,63.8,64.5,62,63.2,333,908670,57358883.6
8/28/25,62.6,65,62.3,63.3,705,2058271,130020108.3
8/27/25,56.8,62.3,56.1,61.2,628,1649813,98211937.2
8/26/25,57.4,58,56,56.2,159,186929,10614673.6
8/25/25,56,58.3,55.6,57.4,236,416657,23823276.7
8/22/25,56.1,57.5,56,56.4,133,137402,7723887.2
8/21/25,58.5,58.5,55.5,56.1,310,481765,27274506.8
8/20/25,54.3,58.9,54.3,57.7,916,2966745,170438578.5
8/19/25,53.6,55.8,52,54.9,698,2178898,117761098.3
8/18/25,53.9,54.5,53,53.5,548,1891748,101796196.8
8/15/25,52.8,54.7,50,52.8,975,3222989,168620073.2
8/14/25,48.5,53.9,48.5,52.7,2238,7204936,363940919.7
8/13/25,41,48.5,40,46,965,3269077,148847375.4
8/12/25,41.1,42,40,40.1,280,738051,29808783
8/11/25,41.8,42.3,41,41,105,106431,4409200.5
8/7/25,42,42.2,41.2,42,148,251929,10560084.1
8/6/25,41.2,42.2,41,41.3,261,629681,26176403.9
8/5/25,41,42,40.1,41.1,224,415111,17126526.8
8/4/25,41,42,40.5,41,224,221593,9130170.6
8/1/25,42.5,42.5,41,42,238,666878,27596149.1
7/31/25,41,43.2,41,42,169,357047,15136484
7/30/25,41.6,42.6,41,41.2,163,118657,4910287.1
7/29/25,43.1,43.1,41.5,42.2,190,172995,7339728.3
7/28/25,43.8,43.8,42.7,43,173,222555,9633088.9
7/25/25,42.1,44,41.9,43.6,288,647156,27873385.1
7/24/25,40.7,44.5,40.7,42.4,373,658216,27901700
7/23/25,43,43,40.5,41.2,368,455953,18886361.4
7/22/25,43.8,43.9,38.1,43.3,482,1106577,47378941.2
7/21/25,45.2,45.2,42.5,43,551,1172252,50510078.9
7/18/25,45.5,46.5,44.2,45.3,439,768083,34847598.2
7/17/25,46,47,44.9,45.5,899,2061666,95251816.6
7/16/25,44.5,46.5,42.1,45.6,1526,4499868,200485624.6
7/15/25,41,44.4,38.2,42.9,1507,3951979,162401386.1
7/14/25,39.5,42.2,39.5,40.2,1946,4903784,199664950
7/11/25,33.9,39.5,33.6,38.8,2039,7010468,264008780.8
7/9/25,34,37,33,33.9,3484,11261435,398116359.7
7/8/25,26.2,32.4,26.2,31.8,1726,115477572,3488439022
7/7/25,25.5,26.1,25.5,26,116,640033,16603830.3
7/4/25,25.1,26.5,25.1,26,116,843554,21892587.9
7/3/25,26.3,26.5,25,25.4,108,681089,17526006.1
7/2/25,26.5,26.6,25,25.8,160,1618227,42451745.7
7/1/25,25,26.5,24.8,26.1,211,853401,22154413.3
6/30/25,26,26,24.8,25.1,231,1027272,26069718.7
6/27/25,26.8,27.2,25.9,26.1,319,1497877,39511914.3
6/26/25,25.5,28,25,25.6,1029,7408289,194968567
6/25/25,23,23,22,22.5,209,907324,20290102.5
6/24/25,22.9,23.4,22.4,23,430,4027843,91919494
6/23/25,19.7,22.7,19,22,772,6030074,131409101.5
6/20/25,18.1,20.9,18.1,19.8,677,3823366,75381790.8
6/19/25,17.8,18,17,17.6,40,71110,1250107.1
6/18/25,17.3,17.6,16.7,16.8,58,405443,6962104.5
6/17/25,18.3,18.3,17.9,18,14,32992,602740.8
6/16/25,17.1,18.3,17.1,18,31,174811,3152471.6
6/13/25,18,18.3,17.9,18.1,29,88200,1597050
6/12/25,17.2,18.3,17.2,18.1,58,323851,5805004.4
6/11/25,17.7,18.5,16.3,18.4,93,570792,10424547.1
6/9/25,18.5,18.5,17.7,18.3,12,8692,159040.2
6/6/25,18,19,18,18.1,98,691672,12897628.1
6/5/25,17.8,18.9,17.7,18.6,209,1189817,21878778.6
6/4/25,15.8,18.7,15.7,17.9,325,2994302,52447646
