Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/21/25,72,74,70.4,73.8,36,7434,537796.2
10/17/25,73.8,75,70,71.8,17,1416,102548.3
10/16/25,70,70,68.7,69.6,32,3704,256969.5
10/15/25,73.9,73.9,70.8,71.9,19,236,16972.3
10/14/25,74.5,74.5,70.3,72.9,31,7747,565285.1
10/13/25,75,75,72,73,13,445,32532.5
10/10/25,71.1,77,70,74.9,36,4393,311739.3
10/9/25,75,75,71,71,37,3857,278185.5
10/8/25,75,79.8,72,72.1,59,10675,771276.8
10/7/25,77.5,80,75,76.5,34,2522,197613.1
10/3/25,76,81.4,74.5,75.9,52,9759,737328.4
10/2/25,81,81,75.2,77.8,37,5504,433521.5
10/1/25,79.8,87.8,75,75.9,184,35784,2907497.7
9/30/25,75.1,86,75,77.4,215,65474,5355085.5
9/29/25,64.2,76.5,64.2,73.8,224,40919,2862010.5
9/26/25,64.4,64.9,61.1,62.1,9,94,6012.6
9/25/25,63.5,65,60,62.1,36,14831,921439.2
9/24/25,63.7,63.7,59.1,59.2,13,2100,124320.5
9/23/25,59.5,63.8,59.5,62.2,27,1689,103331.8
9/22/25,63.9,63.9,58.3,59.5,15,1119,67914.2
9/19/25,64.7,64.7,58.2,60.4,40,5459,331735.8
9/18/25,57.7,67.7,57.7,61.1,40,6203,385606.7
9/17/25,60.7,60.7,57.7,57.9,20,5946,344379.6
9/16/25,60.7,60.7,57.7,59.4,18,1069,63030.1
9/15/25,58.1,60.9,57.6,58.1,17,1243,72686.6
9/12/25,57.1,62.9,57.1,61.5,16,920,54849
9/11/25,64,64,63.2,63.5,9,265,16865
9/10/25,59,64.8,57,61.8,33,6286,370494.2
9/9/25,65,66,58.4,59.8,57,42498,2654028.5
9/8/25,59.8,67.7,59.8,63.8,161,44317,2775564.1
9/4/25,52.8,60,52.8,57.8,76,75761,4323544.8
9/3/25,55.5,58.9,55.5,57,33,12158,700317.2
9/2/25,52.4,55.5,52.4,55.4,49,8530,465365.1
9/1/25,54,54.4,52.1,53.8,33,14984,806088.8
8/29/25,51.7,54.5,51.7,54.2,17,4261,223108.3
8/28/25,52,57,51,54.6,44,23897,1245754.4
8/27/25,51.6,52,51.1,52,11,4217,217984
8/26/25,51.6,51.6,51.5,51.6,6,6111,315326.5
8/25/25,51.8,51.8,51.5,51.6,5,1100,56730
8/22/25,51,51.4,51,51.4,10,12007,613407.6
8/21/25,51,51,50.4,51,20,21154,1078408
8/20/25,51.6,51.6,51,51,6,1335,68163.6
8/19/25,50.5,51.9,50.2,50.6,20,2213,111938.1
8/18/25,52.3,52.5,50.3,50.5,28,7163,363379
8/15/25,50.8,52,50.8,52,3,31,1590
8/14/25,52.2,52.2,50.5,52,11,787,40128.2
8/13/25,51,51.2,50.8,50.8,8,983,50077
8/12/25,51,51,51,51,9,303,15453
8/11/25,51,52.4,50.3,50.5,33,5801,296154.4
8/7/25,50.5,50.5,50.4,50.4,3,500,25200.3
8/6/25,50.7,51.9,50.4,50.4,20,1922,97415.4
8/5/25,52,52,50.6,51,5,995,50746
8/4/25,52.9,53.2,51,51,23,4349,223994.6
8/1/25,51.5,52.9,51.1,52.5,17,2928,151947.2
7/31/25,51.1,52.9,50.5,52.1,19,6853,356228.9
7/30/25,53.4,53.4,50.3,50.7,21,3900,203272.2
7/29/25,54.1,54.1,52.4,52.7,35,7905,416505.9
7/28/25,53,60,52.1,53.9,158,64110,3534379.6
7/25/25,49.2,51,49.2,50.5,20,14069,710591.1
7/24/25,48.4,53.7,47.5,50.1,82,28619,1435337.5
7/23/25,47.5,49,47.5,48.3,24,8491,409388.9
7/22/25,46.9,48.8,46,47.6,36,33247,1565756.8
7/21/25,46,47,46,46,12,1173,54117.5
7/18/25,45.6,48.4,45.6,47.3,3,10,471.8
7/16/25,46.9,48.6,45.6,47.3,13,3667,171327.2
7/15/25,45.9,45.9,45.4,45.6,8,3849,175576.5
