Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/21/25,192,192.5,190.25,191,230,122115,23401518
10/17/25,190.25,191.25,186,191,185,352315,66971718
10/16/25,190,191.25,189.5,190,110,89883,17093738.5
10/15/25,190,192,190,190,138,257127,48880850.75
10/14/25,190.75,191.75,190,190.25,157,456687,86791853.75
10/13/25,192.25,193,190.5,191.25,127,194936,37133842.5
10/10/25,190.75,194,190,192.25,257,141456,27081328
10/9/25,192.25,192.25,189.75,190.5,157,372466,71004256.5
10/8/25,191.75,192,190,190,227,584513,111125611.5
10/7/25,191.25,193.5,190,191.5,357,319232,61147204.25
10/3/25,188.5,192,186,191.5,357,754767,142631985.8
10/2/25,187.5,188.5,185.5,187.75,181,587637,109540930.5
10/1/25,185.25,188,185,186.25,191,258487,48174906.5
9/30/25,188,188,184,186,233,499885,93148099.25
9/29/25,187.75,188.5,186,187.5,153,211479,39644117
9/26/25,186.5,188,186,187.75,192,504634,94669194.5
9/25/25,188.5,189,186,186.5,227,362516,67943257.5
9/24/25,186,189.75,184,188,349,1310666,243399560.3
9/23/25,177.25,186,177.25,184.75,398,309013,56354178.5
9/22/25,180,180,176.5,177,261,597092,106323008
9/19/25,176,178.5,176,178.5,175,362350,64417573.25
9/18/25,174,176,174,175.5,296,721273,126478728.5
9/17/25,174,175,171.75,172.5,401,330754,57409882
9/16/25,172.75,174.5,172.25,174.25,235,714391,123775854.8
9/15/25,174,175,172.25,172.75,211,86050,14890961.75
9/12/25,173.75,175,172.5,174,182,64916,11290898.5
9/11/25,177.25,179,174,174.25,155,80228,14051437.5
9/10/25,174.5,179.75,174,175.25,188,134467,23588887
9/9/25,178,180,174,174.5,256,215339,37859431.5
9/8/25,175,179,173.5,177.25,249,141653,24977060.25
9/4/25,173,175,172,174.5,214,73387,12697170.25
9/3/25,174,176,172.5,173.5,186,76120,13186857.75
9/2/25,176,176.5,173,174,257,453065,79395291.75
9/1/25,176,176.5,174.5,175,276,573498,100484705.5
8/29/25,176,176.5,175,175,277,324580,56986237
8/28/25,176.25,176.5,175,175.25,250,266865,46877003.75
8/27/25,175.25,177,174,176.25,283,199270,34956976.75
8/26/25,174,178,174,175.5,138,43438,7642466.25
8/25/25,177.25,177.75,170.25,175,422,202061,35496936.25
8/25/25,177.25,177.75,170.25,175,422,202061,35496936.25
8/22/25,179,180,178,179,149,638710,114543891.3
8/21/25,179.75,180,177.75,179.75,127,120696,21666481.75
8/20/25,179,179.75,177.75,179,163,471432,84376772.5
8/19/25,177.5,180,176.5,178,214,124432,22198824.25
8/18/25,176.5,178,174.75,177.75,351,479335,84462120.75
8/15/25,177.5,177.5,175.5,176.5,423,461258,81386661.5
8/14/25,182,186.5,175,177.75,740,738756,131118398
8/13/25,188,188,185,185,201,202811,37649798
8/12/25,189.5,189.75,187.5,187.5,145,100106,18831618.25
8/11/25,190,192,189.5,189.75,110,139647,26529721.75
8/7/25,192,194.25,188,189,157,85866,16301851
8/6/25,192.25,193,190.5,191.75,219,230813,44269067.25
8/5/25,193.5,194.25,189.75,193.75,225,362558,70025890.75
8/4/25,194,197.75,193.5,194,285,268928,52393984.5
8/1/25,190.25,198,190,194,579,774549,149441067
7/31/25,180,188,178,187.5,445,354895,65761059.5
7/30/25,179.75,182,175,179.75,293,634173,114196201.5
7/29/25,177.25,180,176.75,179.75,129,188781,33840730.75
7/28/25,179.75,179.75,177,177.5,124,135579,24057551.75
7/25/25,177.75,179.75,177,178.5,161,125507,22358764.25
7/24/25,176,177.75,175.25,176.75,164,481868,84870789.75
7/23/25,175,177.75,173.5,175,154,438439,76727713
7/22/25,177.5,178,174,175,167,341389,59779655.25
7/21/25,178.5,179,176,177,181,344261,60869763
7/18/25,176,179,176,178.5,165,244495,43500162
7/17/25,176,176,174,175.5,186,684832,119728838
7/16/25,179.25,180.25,176,176.75,212,226390,40181458.25
