Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/21/25,96.5,96.5,93.5,93.8,77,39562,3714877.1
10/17/25,94.5,98,94.5,97.9,48,71348,6972898.8
10/16/25,93,97,93,94.5,24,29344,2773271
10/15/25,94.9,97.5,92.2,92.6,27,5281,492954.7
10/14/25,96,96,92,94,46,20754,1933707.7
10/13/25,96.2,98,94.5,94.5,52,25933,2484175.6
10/10/25,99.8,100.5,95.1,96.2,50,36405,3511941.4
10/9/25,98.5,100,97,98.8,40,22444,2218304.1
10/8/25,101.5,101.5,98,98.5,42,24815,2468761.15
10/7/25,95.6,101,95.6,99.1,101,57566,5679382.9
10/3/25,96,98,94.5,95.6,48,40873,3896902.3
10/2/25,94.8,96,94,95.7,36,10108,962165.1
10/1/25,94.5,98.8,94.5,95.2,40,61503,5845538.7
9/30/25,95.2,96,94,94.4,89,49288,4682009.1
9/29/25,98.8,98.8,95,95.2,63,6163,589366.6
9/26/25,98.8,98.9,95.8,96,121,87081,8398506.8
9/25/25,96,99,95,97.9,119,77756,7469001.5
9/24/25,99.8,99.8,95,95.6,85,40735,3892105
9/23/25,99.9,101.75,96,96.5,56,53035,5113323.5
9/22/25,96.5,102.75,96.5,99.4,28,6184,619593.1
9/19/25,100,104,96.6,100.5,110,153420,15369128.55
9/18/25,98.6,105,96.1,99.8,177,164396,16649943
9/17/25,99.5,101,95.8,96.6,51,29149,2910836.55
9/16/25,95,100.75,91.2,99.2,80,55802,5547009.3
9/15/25,96.4,98,90.5,92.9,62,34346,3304085.9
9/12/25,97.4,100,96.3,96.4,27,7261,707385.5
9/11/25,103,103,97.3,97.7,37,3684,368161.5
9/10/25,90.2,103,90,102,242,144056,14486911.35
9/9/25,96.5,96.5,89.5,90.3,180,164835,15053916.1
9/8/25,103,103,97,97.2,83,52720,5232307.4
9/4/25,98,103.5,97,100.25,113,61428,6122740
9/3/25,99.5,103,97.1,98,149,68207,6724313.3
9/2/25,104.25,104.25,98,99.6,155,85559,8664980.1
9/1/25,105,105.25,101.5,104.75,205,39628,4130744
8/29/25,103,112,98.5,107.25,503,373011,39686072.5
8/28/25,93.3,112,93,103.75,933,609570,61111140.25
8/27/25,75,93.3,75,92.4,1085,1321899,115892108.2
8/26/25,67.3,76,67.3,74.7,600,532121,39160356.9
8/25/25,64,69,63.1,67.3,114,20306,1349566.3
8/25/25,64,69,63.1,67.3,114,20306,1349566.3
8/22/25,64,65.4,64,64,39,18195,1172651.5
8/21/25,63.8,69,63.8,64.3,113,31656,2083596.4
8/20/25,64,65,63.8,64,53,32342,2069894.2
8/19/25,65,66,63.6,64,69,36919,2378022.3
8/18/25,65.6,67,63.7,64.9,76,56156,3653182.7
8/15/25,63.5,69.8,63.2,65.6,162,32658,2164776.5
8/14/25,66,67.6,62.5,63.6,104,44530,2848074.5
8/13/25,69.9,69.9,65,65.3,172,60570,4028499.6
8/12/25,73,73,68,69.5,270,132934,9382302.4
8/11/25,62.1,73.5,61.5,72.2,899,531337,35876525.7
8/7/25,53.5,61,53.5,59.9,611,552791,31866005.8
8/6/25,52.3,52.3,51.7,51.7,13,7956,411776.2
8/5/25,52,53,51.9,52,28,8859,461030.6
8/4/25,54,54.2,52,54,45,31722,1708494
8/1/25,52,54.6,52,54,142,136990,7275230.1
7/31/25,51,52.2,50.6,51.3,33,22367,1143581.8
7/30/25,50.4,51.5,50.3,50.6,27,13124,669424.5
7/29/25,49.5,50.9,49.5,50.5,21,9065,452704.2
7/28/25,50.1,50.1,49.3,49.8,16,1484,73993.7
7/25/25,50,50,49.3,49.4,24,5461,271906.2
7/24/25,50,50.3,49.4,49.6,23,4382,217643.9
7/23/25,51,51,48.5,50.3,65,14893,741559.3
7/22/25,50,51.4,50,50,27,15864,793395.8
7/21/25,50.4,51.4,50.2,51.1,61,17187,873342.7
7/18/25,50,50.9,48.9,50.1,19,1290,64543.4
7/17/25,50,51.3,48.8,48.9,37,5952,292059.8
7/16/25,49.6,51,49,49.3,19,4887,243430.4
7/15/25,49.2,51.2,49,49.5,73,40154,2009084.5
7/14/25,49,50,49,49.8,31,3539,174405.5
7/11/25,47.3,50,47.3,49.8,69,6639,323720.6
7/9/25,49.5,49.5,47,47.5,57,39081,1840479.5
7/8/25,49,49,47.8,48,17,5026,241270.2
7/7/25,47.8,50.6,47.8,49.9,74,240146,12008398.8
7/4/25,48.5,48.5,47.7,48.3,15,2714,130752.4
7/3/25,49,49.2,48,48.1,44,31126,1511564.8
7/2/25,48.9,50,48.6,48.7,61,14378,712617
7/1/25,48.5,49,48.5,48.9,18,1656,80579.8
6/30/25,49,49,48.2,48.4,17,8097,392173.8
6/27/25,49.2,49.4,48,48.5,23,5472,265755
6/26/25,49.4,49.4,48.7,49,10,461,22592.1
6/25/25,49.6,49.6,49,49,20,11319,557959.1
6/24/25,48,49.7,48,48.6,27,2687,131082.3
6/23/25,47,49.9,47,48.9,18,1641,81129.7
6/20/25,46.5,48,46.5,47,19,5974,278289
6/19/25,48.6,48.7,47,47,37,13347,630600.1
6/18/25,49.8,49.9,48,48.4,18,1286,62400
6/17/25,48.3,51.1,47.9,50.6,44,18082,893041.3
6/16/25,48.5,48.5,47.8,47.9,16,8491,406410.4
6/13/25,48,48.5,48,48,19,8035,385781
6/12/25,48,48.5,47.8,47.9,36,10471,502759.1
6/11/25,48.1,48.1,47.6,48,36,6344,304350.8
6/9/25,47.5,48.1,47.3,48,59,34656,1650808.3
6/6/25,47.5,47.5,46.9,47.2,46,11622,548507.9
6/5/25,47,47.5,46.5,47.4,73,14116,664120.5
6/4/25,48.5,48.5,47,48,100,77385,3643373
6/3/25,48.5,48.5,47.5,47.8,56,31178,1493031.1
6/2/25,48.2,49.9,48,49,27,8326,401801.5
5/30/25,49.5,49.5,48.2,48.4,22,1702,82488.8
5/29/25,50,50,49.5,49.5,6,2783,139085
5/28/25,48.5,48.8,48.1,48.3,13,3320,160597
5/27/25,50.1,50.8,48.2,48.3,34,13140,639841.7
5/26/25,49.8,49.8,48.8,49,9,275,13500
5/23/25,48.6,50.8,48.6,49.8,38,30359,1511760.6
5/22/25,49.2,49.2,48.3,48.4,9,306,14918.8
5/21/25,49.4,49.4,48.9,49.2,3,1500,73850
5/20/25,49.5,49.5,49.3,49.3,5,215,10602.5
5/19/25,48.5,50,47.1,47.3,25,11322,537734.2
5/16/25,49.7,49.7,48.7,48.7,9,3807,186595.5
5/15/25,50,50.1,47,47,61,23868,1136927.8
5/14/25,48.5,50.1,48,48.2,7,2561,123544.1
5/9/25,50.3,50.3,48,48.2,83,34317,1665515.9
5/8/25,49.6,50.2,49.5,49.5,6,457,22623
5/7/25,51,51,49.7,49.8,7,565,28375.3
5/6/25,51.1,51.1,51,51,2,701,35751.1
5/5/25,51,51,50,50,18,5521,276365.3
5/2/25,50.4,51.2,50.4,51.2,19,5821,296063.8
4/30/25,50,50.1,49.8,49.8,7,1752,87584.6
4/29/25,48.4,51.9,48.4,49,21,40836,2002832.4
4/28/25,48.4,48.9,48.4,48.7,12,383,18659.5
4/25/25,48,48.4,48,48.4,9,929,44824.2
4/24/25,48.3,48.3,47.6,48,8,2927,139874
4/23/25,47.9,48.5,47.8,48,9,805,38583
4/22/25,47.9,47.9,47.9,47.9,2,430,20597
4/21/25,47.9,48,47.8,47.8,10,2233,107073.1
