Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/21/25,9.8,9.9,9.7,9.7,138,1537250,15015006.7
10/17/25,9.9,9.9,9.7,9.8,76,475603,4661585.3
10/16/25,9.9,9.9,9.7,9.7,87,333923,3269970.2
10/15/25,10,10,9.8,9.9,74,289602,2860996
10/14/25,9.9,10,9.6,9.8,195,848277,8315632.6
10/13/25,10.1,10.1,9.8,9.9,150,775402,7709612.2
10/10/25,9.9,10.1,9.8,10,196,3216668,32005956.9
10/9/25,9.9,10.1,9.9,9.9,177,771240,7656990.9
10/8/25,10,10.1,9.8,10,205,977935,9743301.9
10/7/25,10,10.2,9.9,9.9,241,1577285,15744738.6
10/3/25,10.3,10.3,9.8,9.9,456,3178339,31714126.2
10/2/25,10.5,10.5,10.1,10.2,301,3093995,31978601.1
10/1/25,10,10.5,10,10.4,873,9742062,100159805.3
9/30/25,10.4,10.4,9.7,9.8,800,7459630,74561459.5
9/29/25,9.6,10.4,9.5,10.3,1129,14430233,144896509.6
9/26/25,9.4,9.6,9.4,9.5,160,742232,7063317.8
9/25/25,9.5,9.5,9.3,9.3,123,868598,8120277.6
9/24/25,9.5,9.6,9.3,9.3,100,1617122,15120299.4
9/23/25,9.4,9.5,9.2,9.3,98,2132303,19884864.7
9/22/25,9.5,9.5,9.3,9.3,108,591600,5544218.8
9/19/25,9.5,9.7,9.4,9.4,205,1762912,16766499.8
9/18/25,9.4,9.6,9.4,9.4,93,282771,2673332.1
9/17/25,9.4,9.6,9.3,9.4,95,579755,5452395
9/16/25,9.5,9.6,9.4,9.5,130,903707,8583442.3
9/15/25,9.6,9.7,9.4,9.4,117,691465,6552138.7
9/12/25,9.6,9.7,9.5,9.6,116,759834,7236904
9/11/25,9.7,9.8,9.6,9.7,83,666526,6452945.8
9/10/25,9.6,9.7,9.4,9.7,160,1359601,13048150.1
9/9/25,9.5,9.9,9.4,9.5,371,10090495,96527076.4
9/8/25,9.4,9.6,9.2,9.3,220,1853751,17381194.2
9/4/25,9.4,9.4,9.2,9.3,103,832227,7806193.7
9/3/25,9.3,9.4,9.2,9.3,97,375601,3494620.1
9/2/25,9.2,9.4,9.2,9.3,97,588509,5476531
9/1/25,9.4,9.4,9.2,9.3,94,263249,2449457.2
8/29/25,9.4,9.4,9.2,9.3,113,559954,5216173.6
8/28/25,9.3,9.5,9.2,9.3,138,828270,7716696.8
8/27/25,9.1,9.6,9.1,9.2,306,2043196,19108068.6
8/26/25,9.1,9.2,9,9,104,255962,2319799
8/25/25,9.1,9.2,9,9.1,72,358117,3226646.3
8/25/25,9.1,9.2,9,9.1,72,358117,3226646.3
8/22/25,9,9.2,9,9,84,156028,1421516.6
8/21/25,9,9.2,8.9,9,221,954077,8540681.8
8/20/25,9.2,9.2,9,9.1,52,127414,1149256.9
8/19/25,9.1,9.2,9,9.2,90,279343,2533126.4
8/18/25,9.2,9.2,9,9,178,1104860,9978709.9
8/15/25,9,9.3,9,9.1,126,1080115,9744033.3
8/14/25,9.3,9.3,9,9,75,183729,1668559.9
8/13/25,9.3,9.3,9.1,9.2,72,221463,2033679.1
8/12/25,9.2,9.3,9.1,9.2,78,333825,3056670
8/11/25,9.4,9.4,9.1,9.2,84,205507,1894397.8
8/7/25,9.3,9.5,9.1,9.4,222,1219953,11402382.3
8/6/25,9.2,9.3,9,9.2,95,223424,2048950.6
8/5/25,9,9.2,8.9,9.1,87,335382,3023023.8
8/4/25,9.2,9.2,9,9,160,264328,2389636
8/1/25,9.3,9.3,9.1,9.1,130,315676,2886643.6
7/31/25,9.2,9.2,9,9.1,89,379873,3457052.5
7/30/25,9.2,9.3,9.1,9.1,51,151665,1380930.2
7/29/25,9.2,9.3,9,9.2,83,83248,760266
7/28/25,9.3,9.4,9.1,9.2,144,478732,4388811.6
7/25/25,9.4,9.5,9.2,9.3,115,576126,5366643
7/24/25,9.5,9.5,9.3,9.4,128,1202747,11302629.7
7/23/25,9.5,9.6,9.3,9.4,231,1001782,9455157.7
7/22/25,9.1,9.6,9,9.3,664,6315439,59274660.9
7/21/25,8.9,9.1,8.8,9.1,174,922790,8266344.3
7/18/25,8.9,8.9,8.8,8.8,87,345723,3073246.4
7/17/25,8.9,8.9,8.7,8.9,86,154862,1363977.9
7/16/25,8.9,8.9,8.8,8.8,92,273160,2425223.9
7/15/25,8.8,9,8.8,8.9,217,980508,8737082
7/14/25,8.8,9,8.6,8.6,591,14254086,123155413.4
7/11/25,8.9,8.9,8.6,8.8,167,770242,6767418.1
7/9/25,8.8,9,8.6,8.7,405,3174849,27697560.4
7/8/25,8.9,9,8.7,8.8,174,1042723,9133683.5
7/7/25,9,9.1,8.8,8.9,71,158252,1410761.1
7/4/25,9,9,8.8,8.9,56,148183,1308851.7
7/3/25,9,9,8.8,8.9,90,278992,2484900.9
7/2/25,8.9,9.1,8.8,8.9,236,3917368,34575201.6
7/1/25,9.1,9.2,8.7,8.7,358,3551123,31066516.5
6/30/25,9.2,9.2,8.9,9,162,530535,4752835
6/27/25,9.2,9.2,9,9.2,80,480938,4387566.8
6/26/25,9.2,9.2,9,9.1,91,396825,3605831.1
6/25/25,9.2,9.3,9.1,9.2,98,237975,2185149.8
6/24/25,8.6,9.2,8.6,9,167,706830,6362188.1
6/23/25,8.9,8.9,8.6,8.7,161,224896,1970051.3
6/20/25,8.8,9.1,8.7,8.9,225,2408592,21004900.5
6/19/25,8.9,9.1,8.7,8.8,254,1332633,11787428.8
6/18/25,9.1,9.2,8.9,9,292,1857802,16779325.1
6/17/25,9.2,9.2,9.1,9.1,94,520470,4764448.2
6/16/25,9.1,9.2,9,9.1,125,719795,6535082.7
6/13/25,9.2,9.4,9,9.1,205,1217447,11101709.1
6/12/25,9.3,9.4,9.1,9.2,103,255838,2361847.2
6/11/25,9.3,9.4,9.1,9.1,299,2661739,24288888.7
6/9/25,9.4,9.4,9,9,403,2115260,19214997.8
6/6/25,9.3,9.5,9,9.1,499,4340160,39507207.5
6/5/25,9.5,9.6,9.2,9.3,337,1386950,12955098.4
6/4/25,9.5,9.7,9.5,9.5,160,756033,7211917
6/3/25,9.5,9.7,9.4,9.5,314,1657365,15793460.2
6/2/25,9.6,9.6,9.2,9.2,329,903270,8378243.2
5/30/25,9.6,9.7,9.3,9.4,249,951720,8972657.1
5/29/25,9.7,9.8,9.5,9.6,149,428964,4118305.1
5/28/25,9.7,9.8,9.4,9.7,212,654060,6257942.6
5/27/25,9.9,9.9,9.5,9.6,273,689802,6644932.9
5/26/25,10,10.2,9.5,9.7,903,4693947,46522227.1
5/23/25,10.9,10.9,10.5,10.6,291,3138402,33295501.7
5/22/25,10.8,10.9,10.5,10.6,185,1157083,12273867.1
5/21/25,10.8,10.8,10.5,10.7,131,564076,5966709.3
5/20/25,10.9,10.9,10.5,10.6,352,1766980,18871818.6
5/19/25,11,11.1,10.6,10.6,214,860607,9358941.4
5/16/25,10.9,11.1,10.7,11,382,2500053,27409525.8
5/15/25,10.5,10.9,10.4,10.5,287,1901487,20080010.9
