Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/21/25,42.7,43,42.5,42.5,244,516759,22077709.4
10/17/25,43,43,42.6,42.7,118,260621,11135912.8
10/16/25,42.8,43,42.7,43,117,1114480,47460433.1
10/15/25,42.6,43,42.5,42.6,104,377773,16101070.3
10/14/25,43.2,43.2,42.4,42.6,192,280872,11973519.5
10/13/25,43.5,43.5,42.7,42.9,71,43427,1863998.6
10/10/25,43.5,43.7,42.6,42.6,252,394355,16903062.7
10/9/25,43.9,43.9,43.3,43.5,134,63466,2764854.1
10/8/25,43.9,44,43.7,43.9,59,151244,6638374.9
10/7/25,43.7,44,43.6,43.9,155,172054,7544092.2
10/3/25,43.9,43.9,43.6,43.7,166,535866,23488583.6
10/2/25,44,44,43.8,43.8,117,378642,16648002.5
10/1/25,44.3,44.3,43.8,44,149,143372,6311567.4
9/30/25,44.3,44.4,44.1,44.2,90,251688,11125201.2
9/29/25,44.5,44.6,44,44.2,81,42724,1888068.4
9/26/25,45.1,45.2,44,44.9,187,202110,9037336.2
9/25/25,45,45.1,44.7,45,123,400384,17994720.7
9/24/25,45.3,45.5,44.8,44.8,111,324798,14624282.2
9/23/25,45,45,44.2,45,123,183741,8240570.4
9/22/25,44,45.4,43.5,44.1,198,674087,29927971.8
9/19/25,43.6,43.7,43.1,43.2,70,63901,2775600.2
9/18/25,42.9,44,42.7,43.2,83,120948,5210169.4
9/17/25,43,43.5,42.6,42.9,138,236206,10115154
9/16/25,42.9,43,42.8,42.9,84,169027,7257831.4
9/15/25,43.3,43.3,42.8,42.9,111,153435,6597769.6
9/12/25,43.7,43.7,43,43.3,65,40780,1762856.8
9/11/25,44,44,43.4,43.5,61,190989,8309241.9
9/10/25,43.4,43.5,43,43.5,100,142327,6177446.5
9/9/25,44,44,43.5,43.5,111,95783,4176125.8
9/8/25,44.7,44.7,44,44,96,51698,2282188.9
9/4/25,44.7,45.5,44.4,44.6,63,501919,22382913
9/3/25,45.4,45.7,44.8,44.8,52,40926,1842649.2
9/2/25,45.7,46.3,45,45.2,115,358830,16271306.6
9/1/25,45.1,45.9,45.1,45.5,113,176495,8042458.8
8/29/25,44.5,45.5,44.5,45,172,493517,22279886.2
8/28/25,45.5,46,44.5,44.9,161,263064,11901908.9
8/27/25,44,45.5,43.7,45.1,120,217260,9717420
8/26/25,43.5,44,43.4,43.7,62,57318,2505944.9
8/25/25,44.2,44.2,43,43.4,236,534215,23109276.9
8/25/25,44.2,44.2,43,43.4,236,534215,23109276.9
8/22/25,43.9,44,43.6,43.9,102,106297,4663216.5
8/21/25,44.2,44.2,43.7,43.9,141,126514,5553008.9
8/20/25,44.5,44.5,43.8,44.2,122,196623,8684370.9
8/19/25,43.8,44.5,43.7,44.1,129,1037502,45652056.9
8/18/25,44.5,44.5,43.4,43.7,334,611037,26680323.4
8/15/25,44.5,44.5,44,44,174,788733,34712861.8
8/14/25,44.7,45,44,44.7,131,336913,14900972.4
8/13/25,44.1,44.9,44,44.7,106,718360,31966719.3
8/12/25,44.8,45,44,44.5,167,542884,24150151.8
8/11/25,44.8,45.4,44.7,44.8,98,214096,9613830.4
8/7/25,45.8,45.8,44.6,44.6,206,243342,10964755.5
8/6/25,45.3,46,44.9,44.9,142,169260,7654260.3
8/5/25,46,46.1,45,45.3,211,389916,17774696.1
8/4/25,47.5,47.5,45.5,45.9,571,827008,38274653.2
8/1/25,47.9,49.5,47.3,48,1503,4419601,212984901
7/31/25,44.7,45.8,44.5,45.4,128,1499099,67513915.1
7/30/25,45.2,45.2,44.6,44.8,162,178406,8000110.9
7/29/25,45.1,45.7,44.8,45,120,143965,6476185.9
7/28/25,45,45.9,44.5,45,176,1098687,49345585.3
7/25/25,45,45.4,44.7,44.8,172,416209,18688636.6
7/24/25,45.9,45.9,44.9,45,100,160871,7262766.5
7/23/25,45.2,45.6,45,45.1,92,154916,7006267.9
7/22/25,46,46.4,45,45,141,168406,7600135.6
7/21/25,46.8,47,45.5,46,101,117617,5411665.8
7/18/25,45.8,48,45.7,46.8,475,2234028,104829026.7
7/17/25,45.5,45.5,44.5,44.7,96,280788,12518970.1
7/16/25,45.6,45.8,44.1,44.5,180,409760,18299644.5
7/15/25,45.5,45.8,44.3,45.5,206,805479,36090418.2
7/14/25,47,47.1,45,45.3,353,1009034,46909828.8
7/11/25,46,47.1,44.4,46.4,1056,7052408,320725380.1
7/9/25,47,47.2,46.9,47,302,2464514,116082518.4
7/8/25,46.7,46.9,45.7,46.6,365,1180865,54401861.2
7/7/25,46.1,47.8,45.5,47.2,356,958849,44974479
7/4/25,46.1,46.6,45.1,46.5,299,2049069,94544243.9
7/3/25,45.8,46.7,45.3,46.3,351,3443323,158489812.8
7/2/25,45.8,46.5,45.2,45.4,236,843023,38435647.5
7/1/25,46.1,46.5,45.5,45.8,381,1501932,69061421.6
6/30/25,45,47,44.9,46.5,499,1994608,90827811.3
6/27/25,44,45,43.8,44.5,508,1888630,83952911
6/26/25,42.5,43.3,42,43.1,302,1581482,67716824.4
6/25/25,41,42.4,40.9,42,199,1960246,80288066
6/24/25,41.2,42,40.5,41,138,1704346,69194972.7
6/23/25,41.1,42,39.8,40,221,585099,24048394.2
6/20/25,42.1,42.1,41.4,42,56,103184,4327315
6/19/25,41.1,42.4,40.1,40.4,147,133132,5443031.8
6/18/25,41.8,42.4,41,41.3,164,452391,18615697.9
6/17/25,43.3,43.5,41.1,41.7,164,441064,18537492
6/16/25,43,43.1,42.1,43,99,161056,6905675.2
6/13/25,43.5,43.5,43,43,94,252221,10861290
6/12/25,43.9,43.9,43,43.5,75,122726,5316255.3
