Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/21/25,27.9,27.9,27.4,27.8,134,399272,11016304
10/17/25,28,28,27.1,27.5,129,135614,3730999.2
10/16/25,28.4,28.5,27.5,27.9,166,254501,7181846.6
10/15/25,29.2,29.9,27.5,28.3,422,1038264,30073468.5
10/14/25,26.4,29.7,26.2,29.1,838,3868867,110811231.4
10/13/25,26.3,26.9,25.3,26.1,195,683367,17765808.6
10/10/25,26,27,25,25.2,280,1152135,29513551.5
10/9/25,27.2,27.4,25.5,26,137,637725,16816991.9
10/8/25,27.2,27.2,26.1,26.6,132,413375,10931426.2
10/7/25,27,27.4,26.7,26.9,93,189755,5111335.8
10/3/25,27.2,27.5,26.9,27,86,188603,5100169.1
10/2/25,27,28,26.9,27,105,226526,6135792.8
10/1/25,27,28.3,26.9,27.1,172,384042,10599793.8
9/30/25,27.5,27.7,26.9,27.1,158,531349,14503461
9/29/25,27.8,28,27.4,27.6,89,152042,4199646.3
9/26/25,28.4,28.5,27.4,27.5,131,358335,9887717.3
9/25/25,28.9,28.9,27.7,28.5,182,747338,21274122.5
9/24/25,27.3,27.8,27,27.5,208,1554807,42506018.9
9/23/25,27.9,27.9,25.9,26.7,296,900181,24012014
9/22/25,28.7,29.2,27.4,27.6,192,474471,13390248.1
9/19/25,27.2,29.3,27.2,28.7,267,669569,19221014.7
9/18/25,28.7,28.9,27,27.9,380,744249,20895245.7
9/17/25,26.3,29.8,26.3,28.7,968,3391767,95239495.1
9/16/25,23.5,26.2,23.5,25.9,602,2563245,65011169.6
9/15/25,24.2,24.2,23.3,23.4,80,274678,6459272.6
9/12/25,24,24.1,23.1,23.5,159,618080,14548958.5
9/11/25,24.9,25,23.5,23.8,146,544316,13096721.1
9/10/25,24,25,23.2,24.7,358,1381673,33752513.5
9/9/25,24.3,25.2,23,23.6,342,2257471,54226848.4
9/8/25,25,25,23.1,24.1,263,648111,15594712.7
9/4/25,24.4,26.2,24,24.7,585,1889051,47475278.9
9/3/25,22.4,24.8,22.3,24.2,526,1960976,47134003.8
9/2/25,23.3,24,22,22.4,489,1243129,28235239.6
9/1/25,24,24.7,23.2,23.5,359,1331169,31709311.3
8/29/25,24.8,25.2,23.1,24,1228,4495439,107931562.7
