Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/21/25,93.6,93.6,91,91.3,176,246247,22528190.2
10/17/25,92,93.1,88.5,92.8,249,642001,59146295.3
10/16/25,89,92.8,89,89.1,497,544898,49594940.3
10/15/25,84,90.9,84,89.1,373,623936,55258482.3
10/14/25,80.5,83.9,80.2,83.1,152,402499,33114800.3
10/13/25,79.8,80.9,79.8,80.2,159,588881,47341050.2
10/10/25,81,81.5,80,80.3,183,116021,9319175.8
10/9/25,82,82,80.4,80.9,185,135938,11025023.2
10/8/25,82.5,82.5,81.5,81.6,120,88617,7258787.7
10/7/25,83,83.6,82,82.3,187,185069,15337176.7
10/3/25,83,83,82,82.8,159,117210,9687162.1
10/2/25,83.8,83.8,82.5,82.9,147,91803,7632607.5
10/1/25,83.8,84.4,82.7,83.7,192,123903,10328293.9
9/30/25,84.5,85,82,83.8,254,586038,49076704.7
9/29/25,83.6,84.4,83,84.2,147,204359,17050708
9/26/25,83,84.8,82.5,83.6,154,312609,26044748.3
9/25/25,83.3,83.5,82,82.7,192,183082,15148201.7
9/24/25,80.3,84,80.1,83.3,142,78362,6529971.8
9/23/25,85,85,80,83.6,182,289530,24377549.4
9/22/25,86,86.9,84,84.6,295,631949,53355480.1
9/19/25,82.5,86,79.5,83,423,1276801,104956887.9
9/18/25,79,84,79,82.5,670,1952340,159922076.9
9/17/25,74.9,79.5,74.9,78.7,823,2742995,209543280.6
9/16/25,67.5,74.3,67.5,73.6,743,2696216,192380546.7
9/15/25,66.2,69,66.2,67.1,207,3059095,205108028.2
9/12/25,65,68.5,63,67,235,1634177,107817520.2
9/11/25,65.5,67,65,65.5,135,704449,46318262
9/10/25,65.7,67,65.2,66.1,129,184577,12213214.3
9/9/25,67.3,67.3,66,66,135,783533,52261064.3
9/8/25,67.5,67.9,66,67,189,515107,34451678.7
9/4/25,68,68.2,67.5,67.9,138,135197,9184676.1
9/3/25,69,69,68,68,110,409906,27921775.1
9/2/25,68.5,69.9,68.1,69.1,190,603190,41502425.2
9/1/25,68.5,68.8,67.5,68.5,177,1654124,112588337
8/29/25,67.1,68.5,66.5,67.4,190,370342,24931526.6
8/28/25,66.9,67.8,66.6,67.1,124,123440,8278219.6
8/27/25,68,68,60,66.6,224,548715,36291247.3
8/26/25,66,68.6,65.8,66.8,357,2923580,193658533.6
8/25/25,67.3,67.4,66,66.2,204,390235,25911107.4
8/25/25,67.3,67.4,66,66.2,204,390235,25911107.4
8/22/25,69,69,67.4,67.6,122,139072,9446000.2
8/21/25,69,69.8,68,68.2,134,124930,8578332.5
8/20/25,68.9,68.9,67.1,67.9,295,384391,25993941.1
8/19/25,69.4,71,68.5,68.9,305,1022561,70926364.7
8/18/25,71.9,71.9,69,69.4,420,451280,31653156.6
8/15/25,66.5,72.5,66,71.9,642,4071082,282387030.3
8/14/25,68,68.5,65,66.1,325,1312602,87374444
8/13/25,66.8,68,64.3,67.4,499,3243972,214160769.1
8/12/25,65.1,66.5,64.1,65.9,322,239168,15668829.1
8/11/25,66.5,66.5,64.7,65.1,356,248588,16234305.8
8/7/25,67.9,68,66,66.4,483,499675,33307547.3
8/6/25,65,68,64.7,67.7,907,1910521,127599822.1
8/5/25,64.3,65.2,63.5,64.4,839,1895663,122045375.6
8/4/25,62,65,62,62.8,596,1110303,70278352.6
8/1/25,61.5,62,60.5,62,142,324263,19933549.5
7/31/25,60.5,62,60.1,61.4,123,547792,33757423.3
7/30/25,62,62.4,60.1,61.2,85,132087,8150788.4
7/29/25,61,62,59.9,61.7,150,186963,11471429.9
7/28/25,61.4,62.5,61,61.2,147,266604,16486129.2
7/25/25,61.9,61.9,60.8,61.1,175,265055,16242697.5
7/24/25,61.9,63,61.5,61.6,287,530061,32907907.2
7/23/25,59.9,62.4,59.1,61.4,484,2189864,132460801.6
7/22/25,60,60,57.5,59.8,224,1085649,64306842.5
7/21/25,55,60.3,55,59.3,747,3363183,197043117.6
7/18/25,51.5,57,50.5,55,322,748869,40201502.9
7/17/25,50.3,51.5,49.4,51.2,166,623799,31452435.7
7/16/25,50.8,51,50.1,50.4,123,460737,23256860.4
7/15/25,52.3,52.5,50.6,50.8,207,394966,20221681.9
7/14/25,49.5,52.5,49.5,52,270,1425612,73136315.2
7/11/25,48,50,48,49.5,203,786860,38662493.8
7/9/25,45.9,48.5,45.6,48,141,917865,43123209.5
7/8/25,45.7,45.9,45,45.8,84,744168,33772791.1
7/7/25,45.8,46.3,45.8,45.9,64,134189,6163047.9
7/4/25,46.1,46.3,45,45.8,76,117485,5371640.4
7/3/25,46.9,46.9,46,46,61,145879,6728906.4
7/2/25,46.1,47.4,45.8,46.4,102,840140,38819619
