Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/21/25,77,80,77,79.1,261,415921,32746479.3
10/17/25,74.2,77.8,72.5,77,365,632103,48118106.9
10/16/25,72,75.5,72,74.5,346,651314,48371846.4
10/15/25,68.4,75,67,72.6,484,423853,30544281.8
10/14/25,64.8,70,60.5,68.2,587,809298,53473707.2
10/13/25,65,66,64.9,65.1,56,12289,801093
10/10/25,65.3,66.1,65.2,65.9,78,114571,7544303.3
10/9/25,66.3,66.9,65,65.2,46,49171,3238379.5
10/8/25,65,67.2,64.8,65,77,57630,3760298.8
10/7/25,65.7,68,65,66.2,93,132110,8777846.2
10/3/25,65,66.8,64.6,65.9,105,102524,6705141.1
10/2/25,65.4,66,64.5,64.8,132,64769,4225086.4
10/1/25,65.5,67,65.3,65.4,87,26907,1773334.8
9/30/25,65.2,66.7,65.2,66,90,31545,2077480
9/29/25,68.4,68.4,63,66.6,184,132743,8682853.8
9/26/25,70.8,70.8,68,68.4,185,134124,9244094
9/25/25,71,74,68.6,70.3,437,529789,38145962.5
9/24/25,63.7,72,63.6,70.5,763,862535,59367999.8
9/23/25,61,64.9,60,63.7,248,171208,10839686.7
9/22/25,59,62,59,60.9,185,616815,37690536.2
9/19/25,59.8,59.8,58.3,59,112,262345,15498189.5
9/18/25,59,60,57.1,59.3,173,313046,18518907.1
9/17/25,56.5,61.9,56.5,57.5,301,292248,17151799.1
9/16/25,53.9,56.1,53,55.6,160,201616,10958777.3
9/15/25,54,54.5,52.9,53.3,63,17143,919314.4
9/12/25,56.6,56.6,52.8,54.5,102,78875,4261518
9/11/25,54,59,53.9,56.3,185,112309,6401814.1
9/10/25,53.7,54.5,53,53.4,83,29794,1603999.5
9/9/25,56,56.4,53,54.1,97,24374,1328992.1
9/8/25,56.4,57.5,55.9,56,96,57027,3226117.3
9/4/25,56.9,56.9,56,56.3,82,29323,1648933.8
9/3/25,58,58,56.5,56.9,85,25453,1462578.9
9/2/25,59.8,59.9,56.7,57.8,151,70766,4163723.8
9/1/25,55.1,60,49,57,417,348523,19451332.6
8/29/25,65.3,65.8,64.8,65.4,280,298754,19466136.2
8/28/25,66.4,66.4,65,65.1,311,439717,28629159.3
8/27/25,67.3,68,66,66.3,156,118854,7925600.8
8/26/25,68.5,68.5,65,67.1,190,424514,28671283.8
8/25/25,70,70,68,68.2,113,101826,7051947.8
8/25/25,70,70,68,68.2,113,101826,7051947.8
8/22/25,71,71,68.4,69.7,161,154473,10751419.5
8/21/25,69.1,71,63,69.8,423,1034203,71222382.7
8/20/25,61.6,70.2,61.2,68.5,753,1041176,70614194.3
8/19/25,56,63,56,60.9,497,698447,41760277.2
8/18/25,52.6,55.5,52.6,55,481,1188969,65086507.8
8/15/25,50.5,52.6,49.6,51.2,229,335868,17030100.6
8/14/25,51,51,49.7,50,212,295694,14819816.9
8/13/25,49,50.8,49,50.6,234,195895,9860924.7
8/12/25,49.9,50,47.6,47.9,208,82220,3954361.4
8/11/25,50,50.9,48.7,48.7,98,176441,8713741.5
8/7/25,50,50.5,48.6,49,158,209882,10313530.9
8/6/25,49.3,50.2,49,49.5,108,132232,6539526.9
8/5/25,50,50.5,48.6,49.1,146,126591,6218039.7
8/4/25,50.1,50.8,49.7,49.7,105,237988,11918481.4
8/1/25,50.4,50.5,49.3,50,162,706682,35279786.4
7/31/25,48.6,50.4,48.6,49.8,50,73921,3686324.4
7/30/25,50.5,50.8,47.5,49.7,240,188583,9207096.1
7/29/25,50.5,52,49.5,50.5,122,154470,7868063.9
7/28/25,51.5,52,49.9,50.4,156,173331,8769683.5
7/25/25,52.5,52.5,50,51.6,126,148327,7543979.7
7/24/25,53.4,53.9,51.3,51.6,162,238209,12549809.7
7/23/25,54.5,55,51.5,52.7,419,467605,24823268.8
7/22/25,50,54,48.6,53.5,481,938496,48404855.3
7/21/25,43,50,42.8,49.2,407,1311770,60608239.9
7/18/25,42,43.1,41.3,43,116,508325,21580966.7
7/17/25,41.5,42,41.3,41.5,91,281724,11717716.5
7/16/25,43,43.2,41.5,42,138,326987,13872619.4
7/15/25,42.4,43,41.6,42.1,108,637043,27223692.9
7/14/25,43.1,43.8,41.6,42.6,161,416041,17791416
7/11/25,40,44.4,40,43,241,979811,41720982.6
7/9/25,39.2,41.3,38.7,40.8,287,2964152,118287458.1
7/8/25,38.1,39.1,37.6,38.7,150,531198,20339663.7
7/7/25,38.5,39.2,38,38.1,64,124258,4773002.8
7/4/25,38.2,38.9,37.8,38.3,133,361079,13787159.1
7/3/25,39.8,39.8,38.1,38.4,118,287395,11130458.5
7/2/25,39,39.8,38.6,39.4,225,950694,37476869.1
7/1/25,39.2,39.8,38.1,39,169,877842,34281909.5
6/30/25,37.9,39.7,37.9,39.2,267,1335416,51606406.2
6/27/25,36.3,38,35.6,37.8,290,1355187,50406195.7
6/26/25,35.1,36.3,35.1,36,182,1249062,44825930.5
6/25/25,35,35,34.6,35,176,771893,27010888.8
