Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
10/21/25,43.6,45.8,43.5,45.1,443,1273372,56940271.5
10/17/25,43.3,43.6,34.5,43.4,324,338426,14424111.2
10/16/25,43.5,43.7,43.1,43.3,197,223421,9707545.2
10/15/25,43.1,44,43.1,43.8,212,228808,9946574.2
10/14/25,43.8,44.1,43.5,43.6,193,153653,6722107.4
10/13/25,43.7,44,43.5,43.8,160,238121,10423987.5
10/10/25,43.8,44,43.2,43.9,206,355221,15455533.1
10/9/25,43.8,43.8,42.9,43.6,208,261883,11338164.6
10/8/25,43.5,43.5,42.6,43.3,361,516065,22253102.9
10/7/25,43.9,44.2,43.5,43.9,310,375986,16514708.3
10/3/25,43.3,44.4,43.2,44,383,652272,28613031.2
10/2/25,43.3,43.7,43.2,43.3,311,317637,13765514.5
10/1/25,44.5,44.5,43,43.3,666,1685159,73518826.7
9/30/25,40.6,44.6,40.6,44.4,1611,3652626,158202156.3
9/29/25,38.3,40.6,38.2,40.4,988,2739224,109186013.8
9/26/25,37.1,38.5,37,38.1,503,1176867,44532641
9/25/25,36,37.2,36,36.6,265,1494257,54628433.9
9/24/25,36,36.1,35.6,36,124,243609,8732702.4
9/23/25,36.2,36.3,35.8,35.9,151,147818,5313154.1
9/22/25,36.2,36.2,35.9,35.9,143,159020,5731508.8
9/19/25,36,36.2,35.7,36.1,138,275499,9924954.9
9/18/25,36,36.1,35.5,35.8,189,401738,14336642.9
9/17/25,36,36.2,35.8,35.8,159,160895,5792848.5
9/16/25,35.6,36.4,35.6,36.1,155,168430,6089351.9
9/15/25,36.4,36.5,35.3,35.7,206,294623,10646501.1
9/12/25,34.7,39,34.4,36.1,305,348579,12556138.4
9/11/25,34.3,35,34.2,34.7,210,211541,7306559.7
9/10/25,35.1,35.1,33.7,34.4,414,518238,17912086.3
9/9/25,35.8,35.8,35.1,35.2,144,133319,4698617.4
9/8/25,35.9,35.9,35,35.1,304,246066,8664474
9/4/25,36,36.1,35,35.8,274,247248,8777345
9/3/25,36.1,36.1,35.8,36,123,238681,8589917.9
9/2/25,36,36.1,35.8,36,154,150256,5402318
9/1/25,36.1,36.2,35.8,36.1,220,764596,27570814.8
8/29/25,36,36.2,35.5,36,260,275322,9872635.7
8/28/25,36.2,36.3,35.9,36,181,174769,6300712.7
8/27/25,35.8,36.2,35.8,36.2,172,348424,12583134.6
8/26/25,36,36.1,35.8,35.9,210,301166,10823822.1
8/25/25,36,36.2,35.5,35.8,167,235297,8439490.5
8/25/25,36,36.2,35.5,35.8,167,235297,8439490.5
8/22/25,36,36.2,35.9,36,181,194501,7015154.2
8/21/25,35.6,36,35.5,35.8,148,190173,6784636.4
8/20/25,35.9,36,35.5,35.6,180,188126,6712462
8/19/25,35.7,36.2,35.7,35.9,288,866084,31239539.5
8/18/25,35.3,35.6,34.9,35.5,192,324394,11413557.9
8/15/25,35.2,35.5,34.9,35,197,209341,7349415.7
8/14/25,35,35.4,35,35.2,122,397350,13955806
8/13/25,34.9,35,34.8,35,146,342595,11961433.9
8/12/25,35,35,34.9,34.9,157,273850,9569803.6
8/11/25,35.1,35.4,34.9,35,164,141111,4943963.6
8/7/25,35.5,35.5,34.9,35.4,115,125910,4441746.2
8/6/25,35.2,35.5,34.7,35.2,141,236223,8277227.3
8/5/25,35.8,35.9,34.8,34.9,231,166549,5859879
8/4/25,36.1,36.1,35.2,35.3,302,539585,19334912.6
8/1/25,35.6,36.4,35.6,35.7,430,524073,18899099.9
7/31/25,35,35.9,34.7,35.5,544,3494620,123144973.9
7/30/25,34.8,34.9,34.5,34.7,150,843555,29428953.4
7/29/25,34.5,35.1,34.3,34.7,204,851998,29786272.1
7/28/25,34.6,35,34.4,34.5,242,1113893,38811914.6
7/25/25,34,34.5,33.9,34.1,249,462818,15822195.5
7/24/25,34.8,35,34,34.1,369,310737,10706179.8
7/23/25,34.1,35.2,34.1,35,639,1758523,61345951.3
7/22/25,33,34.4,33,34,477,1699884,57502438.4
7/21/25,33.2,33.6,32.8,33,229,637570,21030526.8
7/18/25,33,33.1,32.8,33,186,287466,9479004.8
7/17/25,33.2,33.3,32.7,32.8,217,391452,12895518.6
7/16/25,33.2,33.5,33,33.1,123,133540,4421153.7
7/15/25,33.5,33.8,32.9,33.1,198,338476,11239098.7
7/14/25,33,33.8,33,33.5,214,303676,10138983.3
7/11/25,32.6,33.5,32.5,33.3,177,257868,8549855.5
7/9/25,32.2,32.5,32.2,32.4,86,111305,3598147.7
7/8/25,32.2,32.3,32.1,32.2,111,268670,8645773.9
7/7/25,32.4,32.4,32,32.1,223,254510,8160411.7
7/4/25,32.4,32.4,32,32.4,113,79813,2572446.6
7/3/25,32.5,32.5,32,32.3,288,379739,12187149
7/2/25,32.6,32.8,32.4,32.5,210,292745,9520843.5
7/1/25,32.7,33,32.4,32.6,223,247843,8082028.6
6/30/25,33,33.2,32.3,32.8,444,954723,31316687.7
6/27/25,33.7,34,33.6,34,271,793040,26880834.2
6/26/25,33.8,33.8,33.3,33.6,176,377777,12687586.3
6/25/25,34,34,33.5,33.6,219,495180,16715339.7
6/24/25,31.4,33.3,31.2,32.9,294,1021847,33543534
6/23/25,31,31.7,30.5,31.1,338,360936,11241988.5
6/20/25,30.9,32,30.9,31.8,221,212337,6731929.4
6/19/25,32,32.3,30.9,31.2,497,606270,19088914.4
6/18/25,32.6,33,32,32.1,265,336677,10961515.2
6/17/25,32.3,33.3,32.3,32.5,200,484694,15965471.9
6/16/25,32.6,32.6,31.9,32.3,403,568906,18336948.9
6/13/25,33,33,32.3,32.8,390,452637,14795192
6/12/25,33.2,33.6,32.6,33.2,249,360901,11916592.7
6/11/25,33.3,33.9,33,33.2,250,191467,6354297
6/9/25,33.2,33.5,33.1,33.3,176,169659,5655036.8
6/6/25,33.5,33.7,33,33,248,276901,9234752.5
6/5/25,33.2,33.9,33.1,33.5,219,435908,14594341
6/4/25,33.4,33.8,33,33.2,237,261069,8714255.6
6/3/25,32.8,33.6,32.7,33.3,266,455701,15176801.9
6/2/25,32.8,33,32,32.7,398,1021454,33086780.1
5/30/25,34,34,32.8,33,559,965518,32046013.4
5/29/25,34.7,34.7,33.8,33.9,539,1821595,61965930.3
5/28/25,34,34.6,33.1,34.3,1045,3462193,117028612.6
5/27/25,32,34,31.8,33.5,710,3471526,113349495.5
5/26/25,31.7,31.9,31.6,31.9,249,1258082,40057414.9
5/23/25,31.3,31.7,31.1,31.5,293,2039099,64183262.2
5/22/25,30.5,31.3,30.5,31.2,201,706211,21900451.2
5/21/25,31,31,30.6,30.7,134,122517,3773898
5/20/25,31.5,31.5,30.7,30.9,194,262702,8125499.5
5/19/25,30.6,31.9,30.6,31.1,339,381973,11913987.1
5/16/25,30.2,30.7,30,30.5,358,2874150,87474890.5
5/15/25,30.2,30.2,30,30.1,180,344563,10376740.8
5/14/25,29.7,30.2,29.7,30,246,1830723,54821637.1
5/9/25,29.7,29.8,29.4,29.6,134,168094,4992616.8
5/8/25,29.1,29.8,29.1,29.7,105,236717,7024582.8
5/7/25,29.5,29.8,29,29.7,194,196585,5790569.5
5/6/25,29.5,29.8,29.5,29.7,126,285401,8463594.5
5/5/25,29.8,29.8,29.6,29.7,141,184599,5476664.9
5/2/25,29.7,29.9,29.6,29.8,152,397694,11838451.4
4/30/25,29.9,30,29.5,29.8,199,913064,27198351
4/29/25,29.9,30.3,29.7,29.8,276,1309935,39227673.1
4/28/25,29.7,29.9,29.5,29.8,225,607487,18080588.5
4/25/25,28.7,29.7,28.5,29.6,365,1452872,42478664.3
4/24/25,28.4,28.7,28.2,28.5,114,216753,6173626.1
4/23/25,28.6,28.7,28,28.5,180,144712,4105129.4
4/22/25,28.8,28.8,28.3,28.6,148,113184,3233063.6
4/21/25,28.5,28.8,28.4,28.7,168,327932,9386861.1
4/17/25,28.4,28.5,28.2,28.4,158,233977,6645707.5
4/16/25,28.1,28.5,27.7,28.4,178,283525,8026635.2
4/11/25,28.1,28.1,27.2,28.1,121,98222,2743132.9
4/10/25,27.8,28.4,27.8,28.1,202,494227,13867539.3
4/9/25,27.5,27.8,26.9,27.2,154,111283,3020739.8
4/8/25,26,28,26,27.9,256,384176,10508375.8
4/7/25,27,27,25.5,25.9,614,857993,22305751.7
4/4/25,27.5,27.6,26.5,27.3,417,558938,15076746.3
4/3/25,27.9,28.2,27.6,28,252,563339,15717575.6
4/2/25,28.3,28.3,28,28,141,155296,4359537.7
4/1/25,28,28.2,27.9,28.2,227,335560,9397083.1
3/28/25,28.2,28.2,27.9,28,126,76888,2156499.7
3/27/25,28,28.2,27.9,28.1,127,144871,4067176
3/26/25,27.9,28.3,27.8,28,155,291295,8161491.8
3/25/25,28,28,27.7,27.9,183,441499,12322065.3
3/24/25,27.9,28.1,27.5,27.9,370,629676,17583271.9
3/21/25,28.5,28.9,28.5,28.6,341,1706142,48732943.1
3/20/25,28.2,28.6,28.2,28.4,311,591744,16811794
