date,company_code,company_name,closing_price,sentiment_score
2022-01-03,BFL.N0000,Bairaha Farms PLC,284.5,0.0
2022-01-04,BFL.N0000,Bairaha Farms PLC,275.5,0.0
2022-01-05,BFL.N0000,Bairaha Farms PLC,275.75,0.0
2022-01-06,BFL.N0000,Bairaha Farms PLC,272.25,0.0
2022-01-07,BFL.N0000,Bairaha Farms PLC,273.5,0.0
2022-01-10,BFL.N0000,Bairaha Farms PLC,274.75,0.0
2022-01-11,BFL.N0000,Bairaha Farms PLC,274.5,0.0
2022-01-12,BFL.N0000,Bairaha Farms PLC,268.25,0.0
2022-01-13,BFL.N0000,Bairaha Farms PLC,275.0,0.0
2022-01-18,BFL.N0000,Bairaha Farms PLC,286.25,0.0
2022-01-19,BFL.N0000,Bairaha Farms PLC,282.75,0.0
2022-01-20,BFL.N0000,Bairaha Farms PLC,277.5,0.0
2022-01-21,BFL.N0000,Bairaha Farms PLC,281.0,0.0
2022-01-24,BFL.N0000,Bairaha Farms PLC,279.75,0.0
2022-01-25,BFL.N0000,Bairaha Farms PLC,277.5,0.0
2022-01-26,BFL.N0000,Bairaha Farms PLC,287.0,0.0
2022-01-27,BFL.N0000,Bairaha Farms PLC,288.0,0.0
2022-01-28,BFL.N0000,Bairaha Farms PLC,286.5,0.0
2022-01-31,BFL.N0000,Bairaha Farms PLC,280.25,0.0
2022-02-01,BFL.N0000,Bairaha Farms PLC,291.5,0.0
2022-02-02,BFL.N0000,Bairaha Farms PLC,287.25,0.0
2022-02-03,BFL.N0000,Bairaha Farms PLC,286.25,0.0
2022-02-07,BFL.N0000,Bairaha Farms PLC,275.75,0.0
2022-02-08,BFL.N0000,Bairaha Farms PLC,281.25,0.0
2022-02-09,BFL.N0000,Bairaha Farms PLC,270.25,0.0
2022-02-10,BFL.N0000,Bairaha Farms PLC,270.0,0.0
2022-02-11,BFL.N0000,Bairaha Farms PLC,279.25,0.0
2022-02-14,BFL.N0000,Bairaha Farms PLC,273.5,0.0
2022-02-15,BFL.N0000,Bairaha Farms PLC,269.75,0.0
2022-02-17,BFL.N0000,Bairaha Farms PLC,266.5,0.0
2022-02-18,BFL.N0000,Bairaha Farms PLC,261.25,0.0
2022-02-21,BFL.N0000,Bairaha Farms PLC,246.5,0.0
2022-02-22,BFL.N0000,Bairaha Farms PLC,249.5,0.0
2022-02-23,BFL.N0000,Bairaha Farms PLC,240.5,0.0
2022-02-24,BFL.N0000,Bairaha Farms PLC,210.0,0.0
2022-02-25,BFL.N0000,Bairaha Farms PLC,230.75,0.0
2022-02-28,BFL.N0000,Bairaha Farms PLC,250.0,0.0
2022-03-02,BFL.N0000,Bairaha Farms PLC,239.0,0.0
2022-03-03,BFL.N0000,Bairaha Farms PLC,235.75,0.0
2022-03-04,BFL.N0000,Bairaha Farms PLC,233.75,0.0
2022-03-07,BFL.N0000,Bairaha Farms PLC,223.0,0.0
2022-03-08,BFL.N0000,Bairaha Farms PLC,211.5,0.0
2022-03-09,BFL.N0000,Bairaha Farms PLC,206.0,0.0
2022-03-10,BFL.N0000,Bairaha Farms PLC,212.0,0.0
2022-03-11,BFL.N0000,Bairaha Farms PLC,201.25,0.0
2022-03-14,BFL.N0000,Bairaha Farms PLC,200.0,0.0
2022-03-15,BFL.N0000,Bairaha Farms PLC,196.0,0.0
2022-03-16,BFL.N0000,Bairaha Farms PLC,199.0,0.0
2022-03-18,BFL.N0000,Bairaha Farms PLC,199.75,0.0
2022-03-21,BFL.N0000,Bairaha Farms PLC,201.25,0.0
2022-03-22,BFL.N0000,Bairaha Farms PLC,197.0,0.0
2022-03-23,BFL.N0000,Bairaha Farms PLC,200.0,0.0
2022-03-24,BFL.N0000,Bairaha Farms PLC,192.0,0.0
2022-03-25,BFL.N0000,Bairaha Farms PLC,185.25,0.0
2022-03-28,BFL.N0000,Bairaha Farms PLC,179.5,0.0
2022-03-29,BFL.N0000,Bairaha Farms PLC,164.0,0.0
2022-03-30,BFL.N0000,Bairaha Farms PLC,158.25,0.0
2022-03-31,BFL.N0000,Bairaha Farms PLC,151.25,0.0
2022-04-01,BFL.N0000,Bairaha Farms PLC,150.0,0.0
2022-04-04,BFL.N0000,Bairaha Farms PLC,154.25,0.0
2022-04-05,BFL.N0000,Bairaha Farms PLC,166.5,0.0
2022-04-06,BFL.N0000,Bairaha Farms PLC,158.75,0.0
2022-04-07,BFL.N0000,Bairaha Farms PLC,144.0,0.0
2022-04-08,BFL.N0000,Bairaha Farms PLC,145.0,0.0
2022-04-25,BFL.N0000,Bairaha Farms PLC,133.5,0.0
2022-04-26,BFL.N0000,Bairaha Farms PLC,118.0,0.0
2022-04-27,BFL.N0000,Bairaha Farms PLC,129.25,0.0
2022-04-28,BFL.N0000,Bairaha Farms PLC,130.75,0.0
2022-04-29,BFL.N0000,Bairaha Farms PLC,130.0,0.0
