date,company_code,company_name,closing_price,sentiment_score
2022-01-03,DIPP.N0000,Dipped Products PLC,50.5,0.0
2022-01-04,DIPP.N0000,Dipped Products PLC,51.4,0.0
2022-01-05,DIPP.N0000,Dipped Products PLC,51.2,0.0
2022-01-06,DIPP.N0000,Dipped Products PLC,50.9,0.0
2022-01-07,DIPP.N0000,Dipped Products PLC,51.9,0.0
2022-01-10,DIPP.N0000,Dipped Products PLC,50.2,0.0
2022-01-11,DIPP.N0000,Dipped Products PLC,49.7,0.0
2022-01-12,DIPP.N0000,Dipped Products PLC,49.6,0.0
2022-01-13,DIPP.N0000,Dipped Products PLC,49.2,0.0
2022-01-18,DIPP.N0000,Dipped Products PLC,49.6,0.0
2022-01-19,DIPP.N0000,Dipped Products PLC,49.5,0.0
2022-01-20,DIPP.N0000,Dipped Products PLC,49.2,0.0
2022-01-21,DIPP.N0000,Dipped Products PLC,49.2,0.0
2022-01-24,DIPP.N0000,Dipped Products PLC,49.7,0.0
2022-01-25,DIPP.N0000,Dipped Products PLC,49.0,0.0
2022-01-26,DIPP.N0000,Dipped Products PLC,48.7,0.0
2022-01-27,DIPP.N0000,Dipped Products PLC,48.6,0.0
2022-01-28,DIPP.N0000,Dipped Products PLC,48.1,0.0
2022-01-31,DIPP.N0000,Dipped Products PLC,48.1,0.0
2022-02-01,DIPP.N0000,Dipped Products PLC,47.7,0.0
2022-02-02,DIPP.N0000,Dipped Products PLC,46.6,0.0
2022-02-03,DIPP.N0000,Dipped Products PLC,47.0,0.0
2022-02-07,DIPP.N0000,Dipped Products PLC,46.8,0.0
2022-02-08,DIPP.N0000,Dipped Products PLC,45.7,0.0
2022-02-09,DIPP.N0000,Dipped Products PLC,44.5,0.0
2022-02-10,DIPP.N0000,Dipped Products PLC,44.5,0.0
2022-02-11,DIPP.N0000,Dipped Products PLC,41.8,0.0
2022-02-14,DIPP.N0000,Dipped Products PLC,41.7,0.0
2022-02-15,DIPP.N0000,Dipped Products PLC,41.3,0.0
2022-02-17,DIPP.N0000,Dipped Products PLC,41.5,0.0
2022-02-18,DIPP.N0000,Dipped Products PLC,40.4,0.0
2022-02-21,DIPP.N0000,Dipped Products PLC,40.1,0.0
2022-02-22,DIPP.N0000,Dipped Products PLC,40.3,0.0
2022-02-23,DIPP.N0000,Dipped Products PLC,38.6,0.0
2022-02-24,DIPP.N0000,Dipped Products PLC,36.3,0.0
2022-02-25,DIPP.N0000,Dipped Products PLC,38.2,0.0
