date,company_code,company_name,closing_price,sentiment_score
2022-01-03,HAPU.N0000,Hapugastenne Plantations PLC ,47.9,0.0
2022-01-04,HAPU.N0000,Hapugastenne Plantations PLC ,45.7,0.0
2022-01-05,HAPU.N0000,Hapugastenne Plantations PLC ,45.2,0.0
2022-01-06,HAPU.N0000,Hapugastenne Plantations PLC ,43.4,0.0
2022-01-07,HAPU.N0000,Hapugastenne Plantations PLC ,42.1,0.0
2022-01-10,HAPU.N0000,Hapugastenne Plantations PLC ,41.9,0.0
2022-01-11,HAPU.N0000,Hapugastenne Plantations PLC ,40.5,0.0
2022-01-12,HAPU.N0000,Hapugastenne Plantations PLC ,44.1,0.0
2022-01-13,HAPU.N0000,Hapugastenne Plantations PLC ,45.0,0.0
2022-01-18,HAPU.N0000,Hapugastenne Plantations PLC ,43.8,0.0
2022-01-19,HAPU.N0000,Hapugastenne Plantations PLC ,41.6,0.0
2022-01-20,HAPU.N0000,Hapugastenne Plantations PLC ,41.5,0.0
2022-01-21,HAPU.N0000,Hapugastenne Plantations PLC ,40.4,0.0
2022-01-24,HAPU.N0000,Hapugastenne Plantations PLC ,40.4,0.0
2022-01-25,HAPU.N0000,Hapugastenne Plantations PLC ,37.9,0.0
2022-01-26,HAPU.N0000,Hapugastenne Plantations PLC ,37.4,0.0
2022-01-27,HAPU.N0000,Hapugastenne Plantations PLC ,38.1,0.0
2022-01-28,HAPU.N0000,Hapugastenne Plantations PLC ,35.6,0.0
2022-01-31,HAPU.N0000,Hapugastenne Plantations PLC ,35.2,0.0
2022-02-01,HAPU.N0000,Hapugastenne Plantations PLC ,38.1,0.0
2022-02-02,HAPU.N0000,Hapugastenne Plantations PLC ,36.2,0.0
2022-02-03,HAPU.N0000,Hapugastenne Plantations PLC ,37.3,0.0
2022-02-07,HAPU.N0000,Hapugastenne Plantations PLC ,36.0,0.0
2022-02-08,HAPU.N0000,Hapugastenne Plantations PLC ,33.0,0.0
2022-02-09,HAPU.N0000,Hapugastenne Plantations PLC ,33.0,0.0
2022-02-10,HAPU.N0000,Hapugastenne Plantations PLC ,33.1,0.0
2022-02-11,HAPU.N0000,Hapugastenne Plantations PLC ,33.0,0.0
2022-02-14,HAPU.N0000,Hapugastenne Plantations PLC ,31.0,0.0
2022-02-15,HAPU.N0000,Hapugastenne Plantations PLC ,30.3,0.0
2022-02-17,HAPU.N0000,Hapugastenne Plantations PLC ,31.0,0.0
2022-02-18,HAPU.N0000,Hapugastenne Plantations PLC ,30.0,0.0
2022-02-21,HAPU.N0000,Hapugastenne Plantations PLC ,28.0,0.0
2022-02-22,HAPU.N0000,Hapugastenne Plantations PLC ,27.7,0.0
2022-02-23,HAPU.N0000,Hapugastenne Plantations PLC ,27.9,0.0
2022-02-24,HAPU.N0000,Hapugastenne Plantations PLC ,26.6,0.0
2022-02-25,HAPU.N0000,Hapugastenne Plantations PLC ,27.0,0.0
