date,company_code,company_name,closing_price,sentiment_score
2022-01-03,HEXP.N0000,Hayleys Fibre PLC,80.5,0.0
2022-01-04,HEXP.N0000,Hayleys Fibre PLC,83.4,0.0
2022-01-05,HEXP.N0000,Hayleys Fibre PLC,83.1,0.0
2022-01-06,HEXP.N0000,Hayleys Fibre PLC,82.2,0.0
2022-01-07,HEXP.N0000,Hayleys Fibre PLC,83.2,0.0
2022-01-10,HEXP.N0000,Hayleys Fibre PLC,80.0,0.0
2022-01-11,HEXP.N0000,Hayleys Fibre PLC,80.2,0.0
2022-01-12,HEXP.N0000,Hayleys Fibre PLC,82.8,0.0
2022-01-13,HEXP.N0000,Hayleys Fibre PLC,80.6,0.0
2022-01-18,HEXP.N0000,Hayleys Fibre PLC,80.5,0.0
2022-01-19,HEXP.N0000,Hayleys Fibre PLC,79.6,0.0
2022-01-20,HEXP.N0000,Hayleys Fibre PLC,79.5,0.0
2022-01-21,HEXP.N0000,Hayleys Fibre PLC,78.8,0.0
2022-01-24,HEXP.N0000,Hayleys Fibre PLC,79.5,0.0
2022-01-25,HEXP.N0000,Hayleys Fibre PLC,77.9,0.0
2022-01-26,HEXP.N0000,Hayleys Fibre PLC,78.0,0.0
2022-01-27,HEXP.N0000,Hayleys Fibre PLC,76.6,0.0
2022-01-28,HEXP.N0000,Hayleys Fibre PLC,76.6,0.0
2022-01-31,HEXP.N0000,Hayleys Fibre PLC,76.8,0.0
2022-02-01,HEXP.N0000,Hayleys Fibre PLC,76.6,0.0
2022-02-02,HEXP.N0000,Hayleys Fibre PLC,75.6,0.0
2022-02-03,HEXP.N0000,Hayleys Fibre PLC,75.3,0.0
2022-02-07,HEXP.N0000,Hayleys Fibre PLC,73.8,0.0
2022-02-08,HEXP.N0000,Hayleys Fibre PLC,72.9,0.0
2022-02-09,HEXP.N0000,Hayleys Fibre PLC,72.6,0.0
2022-02-10,HEXP.N0000,Hayleys Fibre PLC,72.6,0.0
2022-02-11,HEXP.N0000,Hayleys Fibre PLC,72.0,0.0
2022-02-14,HEXP.N0000,Hayleys Fibre PLC,72.0,0.0
2022-02-15,HEXP.N0000,Hayleys Fibre PLC,71.3,0.0
2022-02-17,HEXP.N0000,Hayleys Fibre PLC,70.0,0.0
2022-02-18,HEXP.N0000,Hayleys Fibre PLC,70.3,0.0
2022-02-21,HEXP.N0000,Hayleys Fibre PLC,67.0,0.0
2022-02-22,HEXP.N0000,Hayleys Fibre PLC,66.9,0.0
2022-02-23,HEXP.N0000,Hayleys Fibre PLC,60.2,0.0
2022-02-24,HEXP.N0000,Hayleys Fibre PLC,57.3,0.0
2022-02-25,HEXP.N0000,Hayleys Fibre PLC,62.3,0.0
2022-02-28,HEXP.N0000,Hayleys Fibre PLC,64.5,0.0
2022-03-02,HEXP.N0000,Hayleys Fibre PLC,64.0,0.0
2022-03-03,HEXP.N0000,Hayleys Fibre PLC,63.8,0.0
2022-03-04,HEXP.N0000,Hayleys Fibre PLC,63.7,0.0
2022-03-07,HEXP.N0000,Hayleys Fibre PLC,61.0,0.0
2022-03-08,HEXP.N0000,Hayleys Fibre PLC,61.4,0.0
2022-03-09,HEXP.N0000,Hayleys Fibre PLC,60.4,0.0
2022-03-10,HEXP.N0000,Hayleys Fibre PLC,63.5,0.0
2022-03-11,HEXP.N0000,Hayleys Fibre PLC,71.7,0.0
2022-03-14,HEXP.N0000,Hayleys Fibre PLC,73.0,0.0
2022-03-15,HEXP.N0000,Hayleys Fibre PLC,67.9,0.0
2022-03-16,HEXP.N0000,Hayleys Fibre PLC,68.5,0.0
2022-03-18,HEXP.N0000,Hayleys Fibre PLC,72.5,0.0
2022-03-21,HEXP.N0000,Hayleys Fibre PLC,71.3,0.0
2022-03-22,HEXP.N0000,Hayleys Fibre PLC,70.0,0.0
2022-03-23,HEXP.N0000,Hayleys Fibre PLC,69.6,0.0
2022-03-24,HEXP.N0000,Hayleys Fibre PLC,69.2,0.0
2022-03-25,HEXP.N0000,Hayleys Fibre PLC,70.4,0.0
2022-03-28,HEXP.N0000,Hayleys Fibre PLC,69.4,0.0
2022-03-29,HEXP.N0000,Hayleys Fibre PLC,65.1,0.0
2022-03-30,HEXP.N0000,Hayleys Fibre PLC,55.4,0.0
2022-03-31,HEXP.N0000,Hayleys Fibre PLC,55.1,0.0
2022-04-01,HEXP.N0000,Hayleys Fibre PLC,52.5,0.0
2022-04-04,HEXP.N0000,Hayleys Fibre PLC,50.8,0.0
2022-04-05,HEXP.N0000,Hayleys Fibre PLC,56.3,0.0
2022-04-06,HEXP.N0000,Hayleys Fibre PLC,56.4,0.0
2022-04-07,HEXP.N0000,Hayleys Fibre PLC,53.5,0.0
2022-04-08,HEXP.N0000,Hayleys Fibre PLC,57.0,0.0
2022-04-25,HEXP.N0000,Hayleys Fibre PLC,53.2,0.0
2022-04-26,HEXP.N0000,Hayleys Fibre PLC,50.2,0.0
2022-04-27,HEXP.N0000,Hayleys Fibre PLC,52.6,0.0
2022-04-28,HEXP.N0000,Hayleys Fibre PLC,54.1,0.0
2022-04-29,HEXP.N0000,Hayleys Fibre PLC,49.5,0.0
