date,company_code,company_name,closing_price,sentiment_score
2022-01-03,KOTA.N0000,Kotagala Plantations PLC,8.0,0.0
2022-01-04,KOTA.N0000,Kotagala Plantations PLC,8.0,0.0
2022-01-05,KOTA.N0000,Kotagala Plantations PLC,8.2,0.0
2022-01-06,KOTA.N0000,Kotagala Plantations PLC,8.0,0.0
2022-01-07,KOTA.N0000,Kotagala Plantations PLC,8.0,0.0
2022-01-10,KOTA.N0000,Kotagala Plantations PLC,7.9,0.0
2022-01-11,KOTA.N0000,Kotagala Plantations PLC,7.9,0.0
2022-01-12,KOTA.N0000,Kotagala Plantations PLC,8.2,0.0
2022-01-13,KOTA.N0000,Kotagala Plantations PLC,8.3,0.0
2022-01-18,KOTA.N0000,Kotagala Plantations PLC,8.1,0.0
2022-01-19,KOTA.N0000,Kotagala Plantations PLC,8.3,0.0
2022-01-20,KOTA.N0000,Kotagala Plantations PLC,8.1,0.0
2022-01-21,KOTA.N0000,Kotagala Plantations PLC,8.0,0.0
2022-01-24,KOTA.N0000,Kotagala Plantations PLC,8.0,0.0
2022-01-25,KOTA.N0000,Kotagala Plantations PLC,8.0,0.0
2022-01-26,KOTA.N0000,Kotagala Plantations PLC,7.9,0.0
2022-01-27,KOTA.N0000,Kotagala Plantations PLC,7.9,0.0
2022-01-28,KOTA.N0000,Kotagala Plantations PLC,7.8,0.0
2022-01-31,KOTA.N0000,Kotagala Plantations PLC,8.0,0.0
2022-02-01,KOTA.N0000,Kotagala Plantations PLC,7.9,0.0
2022-02-02,KOTA.N0000,Kotagala Plantations PLC,7.8,0.0
2022-02-03,KOTA.N0000,Kotagala Plantations PLC,7.7,0.0
2022-02-07,KOTA.N0000,Kotagala Plantations PLC,7.6,0.0
2022-02-08,KOTA.N0000,Kotagala Plantations PLC,7.5,0.0
2022-02-09,KOTA.N0000,Kotagala Plantations PLC,7.3,0.0
2022-02-10,KOTA.N0000,Kotagala Plantations PLC,7.4,0.0
2022-02-11,KOTA.N0000,Kotagala Plantations PLC,7.2,0.0
2022-02-14,KOTA.N0000,Kotagala Plantations PLC,7.1,0.0
2022-02-15,KOTA.N0000,Kotagala Plantations PLC,7.2,0.0
2022-02-17,KOTA.N0000,Kotagala Plantations PLC,6.7,0.0
2022-02-18,KOTA.N0000,Kotagala Plantations PLC,6.6,0.0
2022-02-21,KOTA.N0000,Kotagala Plantations PLC,6.3,0.0
2022-02-22,KOTA.N0000,Kotagala Plantations PLC,6.2,0.0
2022-02-23,KOTA.N0000,Kotagala Plantations PLC,5.9,0.0
2022-02-24,KOTA.N0000,Kotagala Plantations PLC,5.5,0.0
2022-02-25,KOTA.N0000,Kotagala Plantations PLC,5.8,0.0
2022-02-28,KOTA.N0000,Kotagala Plantations PLC,6.0,0.0
2022-03-02,KOTA.N0000,Kotagala Plantations PLC,6.4,0.0
2022-03-03,KOTA.N0000,Kotagala Plantations PLC,6.2,0.0
2022-03-04,KOTA.N0000,Kotagala Plantations PLC,6.1,0.0
2022-03-07,KOTA.N0000,Kotagala Plantations PLC,5.9,0.0
2022-03-08,KOTA.N0000,Kotagala Plantations PLC,5.6,0.0
2022-03-09,KOTA.N0000,Kotagala Plantations PLC,5.4,0.0
2022-03-10,KOTA.N0000,Kotagala Plantations PLC,5.9,0.0
2022-03-11,KOTA.N0000,Kotagala Plantations PLC,5.7,0.0
2022-03-14,KOTA.N0000,Kotagala Plantations PLC,5.6,0.0
2022-03-15,KOTA.N0000,Kotagala Plantations PLC,5.3,0.0
2022-03-16,KOTA.N0000,Kotagala Plantations PLC,5.4,0.0
2022-03-18,KOTA.N0000,Kotagala Plantations PLC,5.5,0.0
2022-03-21,KOTA.N0000,Kotagala Plantations PLC,5.6,0.0
2022-03-22,KOTA.N0000,Kotagala Plantations PLC,5.3,0.0
2022-03-23,KOTA.N0000,Kotagala Plantations PLC,5.2,0.0
2022-03-24,KOTA.N0000,Kotagala Plantations PLC,5.3,0.0
2022-03-25,KOTA.N0000,Kotagala Plantations PLC,5.3,0.0
2022-03-28,KOTA.N0000,Kotagala Plantations PLC,5.0,0.0
2022-03-29,KOTA.N0000,Kotagala Plantations PLC,4.7,0.0
2022-03-30,KOTA.N0000,Kotagala Plantations PLC,4.2,0.0
2022-03-31,KOTA.N0000,Kotagala Plantations PLC,4.2,0.0
2022-04-01,KOTA.N0000,Kotagala Plantations PLC,4.0,0.0
2022-04-04,KOTA.N0000,Kotagala Plantations PLC,4.0,0.0
2022-04-05,KOTA.N0000,Kotagala Plantations PLC,4.0,0.0
2022-04-06,KOTA.N0000,Kotagala Plantations PLC,4.0,0.0
2022-04-07,KOTA.N0000,Kotagala Plantations PLC,4.0,0.0
2022-04-08,KOTA.N0000,Kotagala Plantations PLC,4.0,0.0
2022-04-25,KOTA.N0000,Kotagala Plantations PLC,3.6,0.0
2022-04-26,KOTA.N0000,Kotagala Plantations PLC,3.5,0.0
2022-04-27,KOTA.N0000,Kotagala Plantations PLC,3.9,0.0
2022-04-28,KOTA.N0000,Kotagala Plantations PLC,4.2,0.0
2022-04-29,KOTA.N0000,Kotagala Plantations PLC,4.0,0.0
2022-05-04,KOTA.N0000,Kotagala Plantations PLC,3.8,0.0
2022-05-05,KOTA.N0000,Kotagala Plantations PLC,3.9,0.0
2022-05-06,KOTA.N0000,Kotagala Plantations PLC,3.9,0.0
2022-05-09,KOTA.N0000,Kotagala Plantations PLC,3.8,0.0
2022-05-12,KOTA.N0000,Kotagala Plantations PLC,4.0,0.0
2022-05-13,KOTA.N0000,Kotagala Plantations PLC,4.5,0.0
2022-05-17,KOTA.N0000,Kotagala Plantations PLC,4.5,0.0
2022-05-18,KOTA.N0000,Kotagala Plantations PLC,4.5,0.0
2022-05-19,KOTA.N0000,Kotagala Plantations PLC,4.3,0.0
2022-05-20,KOTA.N0000,Kotagala Plantations PLC,4.5,0.0
2022-05-23,KOTA.N0000,Kotagala Plantations PLC,4.7,0.0
2022-05-24,KOTA.N0000,Kotagala Plantations PLC,4.5,0.0
2022-05-25,KOTA.N0000,Kotagala Plantations PLC,4.4,0.0
2022-05-26,KOTA.N0000,Kotagala Plantations PLC,4.4,0.0
2022-05-27,KOTA.N0000,Kotagala Plantations PLC,4.3,0.0
2022-05-30,KOTA.N0000,Kotagala Plantations PLC,4.3,0.0
2022-05-31,KOTA.N0000,Kotagala Plantations PLC,4.1,0.0
2022-06-01,KOTA.N0000,Kotagala Plantations PLC,4.0,0.0
2022-06-02,KOTA.N0000,Kotagala Plantations PLC,4.2,0.0
2022-06-03,KOTA.N0000,Kotagala Plantations PLC,4.3,0.0
2022-06-06,KOTA.N0000,Kotagala Plantations PLC,4.0,0.0
2022-06-07,KOTA.N0000,Kotagala Plantations PLC,4.0,0.0
2022-06-08,KOTA.N0000,Kotagala Plantations PLC,4.2,0.0
2022-06-09,KOTA.N0000,Kotagala Plantations PLC,4.2,0.0
2022-06-10,KOTA.N0000,Kotagala Plantations PLC,4.1,0.0
2022-06-13,KOTA.N0000,Kotagala Plantations PLC,4.1,0.0
2022-06-15,KOTA.N0000,Kotagala Plantations PLC,4.0,0.0
2022-06-16,KOTA.N0000,Kotagala Plantations PLC,4.0,0.0
2022-06-17,KOTA.N0000,Kotagala Plantations PLC,3.9,0.0
2022-06-20,KOTA.N0000,Kotagala Plantations PLC,3.9,0.0
2022-06-21,KOTA.N0000,Kotagala Plantations PLC,3.9,0.0
2022-06-22,KOTA.N0000,Kotagala Plantations PLC,3.9,0.0
2022-06-23,KOTA.N0000,Kotagala Plantations PLC,4.0,0.0
2022-06-24,KOTA.N0000,Kotagala Plantations PLC,4.0,0.0
2022-06-27,KOTA.N0000,Kotagala Plantations PLC,3.8,0.0
2022-06-28,KOTA.N0000,Kotagala Plantations PLC,3.7,0.0
2022-06-29,KOTA.N0000,Kotagala Plantations PLC,3.8,0.0
2022-06-30,KOTA.N0000,Kotagala Plantations PLC,3.7,0.0
2022-07-01,KOTA.N0000,Kotagala Plantations PLC,4.0,0.0
2022-07-04,KOTA.N0000,Kotagala Plantations PLC,3.8,0.0
2022-07-05,KOTA.N0000,Kotagala Plantations PLC,3.6,0.0
2022-07-06,KOTA.N0000,Kotagala Plantations PLC,3.5,0.0
2022-07-07,KOTA.N0000,Kotagala Plantations PLC,3.4,0.0
2022-07-08,KOTA.N0000,Kotagala Plantations PLC,3.6,0.0
2022-07-11,KOTA.N0000,Kotagala Plantations PLC,3.8,0.0
2022-07-12,KOTA.N0000,Kotagala Plantations PLC,3.9,0.0
2022-07-14,KOTA.N0000,Kotagala Plantations PLC,4.2,0.0
2022-07-15,KOTA.N0000,Kotagala Plantations PLC,4.3,0.0
2022-07-18,KOTA.N0000,Kotagala Plantations PLC,4.5,0.0
2022-07-19,KOTA.N0000,Kotagala Plantations PLC,5.4,0.0
2022-07-20,KOTA.N0000,Kotagala Plantations PLC,5.5,0.0
2022-07-21,KOTA.N0000,Kotagala Plantations PLC,5.5,0.0
2022-07-22,KOTA.N0000,Kotagala Plantations PLC,5.4,0.0
2022-07-25,KOTA.N0000,Kotagala Plantations PLC,5.2,0.0
2022-07-26,KOTA.N0000,Kotagala Plantations PLC,5.3,0.0
2022-07-27,KOTA.N0000,Kotagala Plantations PLC,5.5,0.0
2022-07-27,KOTA.N0000,Kotagala Plantations PLC,5.5,0.0
2022-07-28,KOTA.N0000,Kotagala Plantations PLC,6.3,0.0
2022-07-29,KOTA.N0000,Kotagala Plantations PLC,6.3,0.0
2022-08-01,KOTA.N0000,Kotagala Plantations PLC,6.2,0.0
2022-08-02,KOTA.N0000,Kotagala Plantations PLC,5.9,0.0
2022-08-03,KOTA.N0000,Kotagala Plantations PLC,5.9,0.0
2022-08-04,KOTA.N0000,Kotagala Plantations PLC,5.7,0.0
2022-08-05,KOTA.N0000,Kotagala Plantations PLC,5.6,0.0
2022-08-08,KOTA.N0000,Kotagala Plantations PLC,6.0,0.0
2022-08-09,KOTA.N0000,Kotagala Plantations PLC,6.0,0.0
2022-08-10,KOTA.N0000,Kotagala Plantations PLC,6.8,0.0
2022-08-12,KOTA.N0000,Kotagala Plantations PLC,7.0,0.0
2022-08-15,KOTA.N0000,Kotagala Plantations PLC,7.0,0.0
2022-08-16,KOTA.N0000,Kotagala Plantations PLC,6.6,0.0
2022-08-17,KOTA.N0000,Kotagala Plantations PLC,6.2,0.0
2022-08-18,KOTA.N0000,Kotagala Plantations PLC,6.9,0.0
2022-08-19,KOTA.N0000,Kotagala Plantations PLC,7.3,0.0
