date,company_code,company_name,closing_price,sentiment_score
2023-09-04,AGPL.N0000,Agarapatana Plantations PLC,9.2,0.1666666666666667
2023-09-05,AGPL.N0000,Agarapatana Plantations PLC,9.1,0.0
2023-09-06,AGPL.N0000,Agarapatana Plantations PLC,9.2,0.5
2023-09-07,AGPL.N0000,Agarapatana Plantations PLC,9.5,0.0
2023-09-08,AGPL.N0000,Agarapatana Plantations PLC,9.6,0.0
2023-09-11,AGPL.N0000,Agarapatana Plantations PLC,9.4,0.3333333333333333
2023-09-12,AGPL.N0000,Agarapatana Plantations PLC,9.3,-0.3333333333333333
2023-09-13,AGPL.N0000,Agarapatana Plantations PLC,9.3,0.0
2023-09-14,AGPL.N0000,Agarapatana Plantations PLC,9.4,0.1428571428571428
2023-09-15,AGPL.N0000,Agarapatana Plantations PLC,9.4,0.0
2023-09-18,AGPL.N0000,Agarapatana Plantations PLC,9.3,-0.2857142857142857
2023-09-19,AGPL.N0000,Agarapatana Plantations PLC,9.3,0.2857142857142857
2023-09-20,AGPL.N0000,Agarapatana Plantations PLC,9.3,0.2222222222222222
2023-09-21,AGPL.N0000,Agarapatana Plantations PLC,9.1,0.1666666666666667
2023-09-22,AGPL.N0000,Agarapatana Plantations PLC,9.1,0.4
2023-09-25,AGPL.N0000,Agarapatana Plantations PLC,9.0,0.6666666666666666
2023-09-26,AGPL.N0000,Agarapatana Plantations PLC,9.1,0.0909090909090909
2023-09-27,AGPL.N0000,Agarapatana Plantations PLC,9.0,-0.1428571428571428
2023-10-02,AGPL.N0000,Agarapatana Plantations PLC,8.9,0.0
2023-10-03,AGPL.N0000,Agarapatana Plantations PLC,9.0,0.0
2023-10-04,AGPL.N0000,Agarapatana Plantations PLC,9.1,-0.1428571428571428
2023-10-05,AGPL.N0000,Agarapatana Plantations PLC,9.0,0.1428571428571428
2023-10-06,AGPL.N0000,Agarapatana Plantations PLC,9.0,0.0
2023-10-09,AGPL.N0000,Agarapatana Plantations PLC,9.1,0.0
2023-10-10,AGPL.N0000,Agarapatana Plantations PLC,8.8,0.0
2023-10-11,AGPL.N0000,Agarapatana Plantations PLC,8.7,0.0
2023-10-12,AGPL.N0000,Agarapatana Plantations PLC,8.6,0.3333333333333333
2023-10-13,AGPL.N0000,Agarapatana Plantations PLC,8.5,0.25
2023-10-16,AGPL.N0000,Agarapatana Plantations PLC,8.4,0.3333333333333333
2023-10-17,AGPL.N0000,Agarapatana Plantations PLC,8.3,0.0
2023-10-18,AGPL.N0000,Agarapatana Plantations PLC,8.3,0.0
2023-10-19,AGPL.N0000,Agarapatana Plantations PLC,8.3,0.2727272727272727
2023-10-20,AGPL.N0000,Agarapatana Plantations PLC,8.6,0.4
2023-10-23,AGPL.N0000,Agarapatana Plantations PLC,8.4,0.2
2023-10-24,AGPL.N0000,Agarapatana Plantations PLC,8.4,0.0
