date,company_code,company_name,closing_price,sentiment_score
2022-01-03,MCPL.N0000,Mahaweli Coconut Plantations PLC,50.2,0.0
2022-01-04,MCPL.N0000,Mahaweli Coconut Plantations PLC,52.9,0.0
2022-01-05,MCPL.N0000,Mahaweli Coconut Plantations PLC,51.6,0.0
2022-01-06,MCPL.N0000,Mahaweli Coconut Plantations PLC,53.1,0.0
2022-01-07,MCPL.N0000,Mahaweli Coconut Plantations PLC,51.9,0.0
2022-01-10,MCPL.N0000,Mahaweli Coconut Plantations PLC,52.0,0.0
2022-01-12,MCPL.N0000,Mahaweli Coconut Plantations PLC,50.7,0.0
2022-01-13,MCPL.N0000,Mahaweli Coconut Plantations PLC,55.0,0.0
2022-01-18,MCPL.N0000,Mahaweli Coconut Plantations PLC,57.0,0.0
2022-01-19,MCPL.N0000,Mahaweli Coconut Plantations PLC,54.4,0.0
2022-01-20,MCPL.N0000,Mahaweli Coconut Plantations PLC,53.0,0.0
2022-01-24,MCPL.N0000,Mahaweli Coconut Plantations PLC,57.1,0.0
2022-01-25,MCPL.N0000,Mahaweli Coconut Plantations PLC,58.8,0.0
2022-01-26,MCPL.N0000,Mahaweli Coconut Plantations PLC,56.2,0.0
2022-01-27,MCPL.N0000,Mahaweli Coconut Plantations PLC,53.6,0.0
2022-01-28,MCPL.N0000,Mahaweli Coconut Plantations PLC,53.6,0.0
2022-01-31,MCPL.N0000,Mahaweli Coconut Plantations PLC,52.0,0.0
2022-02-01,MCPL.N0000,Mahaweli Coconut Plantations PLC,56.9,0.0
2022-02-02,MCPL.N0000,Mahaweli Coconut Plantations PLC,52.0,0.0
2022-02-03,MCPL.N0000,Mahaweli Coconut Plantations PLC,52.0,0.0
2022-02-07,MCPL.N0000,Mahaweli Coconut Plantations PLC,52.1,0.0
2022-02-08,MCPL.N0000,Mahaweli Coconut Plantations PLC,51.7,0.0
2022-02-10,MCPL.N0000,Mahaweli Coconut Plantations PLC,49.2,0.0
2022-02-11,MCPL.N0000,Mahaweli Coconut Plantations PLC,49.2,0.0
2022-02-14,MCPL.N0000,Mahaweli Coconut Plantations PLC,50.0,0.0
2022-02-17,MCPL.N0000,Mahaweli Coconut Plantations PLC,47.9,0.0
2022-02-21,MCPL.N0000,Mahaweli Coconut Plantations PLC,47.9,0.0
2022-02-23,MCPL.N0000,Mahaweli Coconut Plantations PLC,47.9,0.0
2022-02-24,MCPL.N0000,Mahaweli Coconut Plantations PLC,41.6,0.0
2022-02-25,MCPL.N0000,Mahaweli Coconut Plantations PLC,41.6,0.0
2022-03-03,MCPL.N0000,Mahaweli Coconut Plantations PLC,49.0,0.0
2022-03-04,MCPL.N0000,Mahaweli Coconut Plantations PLC,49.0,0.0
2022-03-07,MCPL.N0000,Mahaweli Coconut Plantations PLC,49.0,0.0
2022-03-08,MCPL.N0000,Mahaweli Coconut Plantations PLC,46.9,0.0
2022-03-09,MCPL.N0000,Mahaweli Coconut Plantations PLC,46.9,0.0
2022-03-10,MCPL.N0000,Mahaweli Coconut Plantations PLC,47.5,0.0
2022-03-11,MCPL.N0000,Mahaweli Coconut Plantations PLC,47.5,0.0
2022-03-14,MCPL.N0000,Mahaweli Coconut Plantations PLC,47.1,0.0
2022-03-15,MCPL.N0000,Mahaweli Coconut Plantations PLC,47.1,0.0
2022-03-16,MCPL.N0000,Mahaweli Coconut Plantations PLC,40.0,0.0
2022-03-18,MCPL.N0000,Mahaweli Coconut Plantations PLC,40.0,0.0
2022-03-21,MCPL.N0000,Mahaweli Coconut Plantations PLC,43.0,0.0
2022-03-22,MCPL.N0000,Mahaweli Coconut Plantations PLC,43.0,0.0
2022-03-24,MCPL.N0000,Mahaweli Coconut Plantations PLC,44.7,0.0
2022-03-25,MCPL.N0000,Mahaweli Coconut Plantations PLC,44.9,0.0
2022-03-28,MCPL.N0000,Mahaweli Coconut Plantations PLC,41.2,0.0
2022-03-29,MCPL.N0000,Mahaweli Coconut Plantations PLC,40.9,0.0
2022-03-30,MCPL.N0000,Mahaweli Coconut Plantations PLC,43.4,0.0
2022-04-04,MCPL.N0000,Mahaweli Coconut Plantations PLC,43.4,0.0
2022-04-05,MCPL.N0000,Mahaweli Coconut Plantations PLC,39.9,0.0
2022-04-06,MCPL.N0000,Mahaweli Coconut Plantations PLC,43.7,0.0
2022-04-07,MCPL.N0000,Mahaweli Coconut Plantations PLC,39.9,0.0
2022-04-26,MCPL.N0000,Mahaweli Coconut Plantations PLC,39.9,0.0
2022-04-27,MCPL.N0000,Mahaweli Coconut Plantations PLC,36.2,0.0
2022-04-29,MCPL.N0000,Mahaweli Coconut Plantations PLC,36.2,0.0
2022-05-04,MCPL.N0000,Mahaweli Coconut Plantations PLC,36.2,0.0
2022-05-05,MCPL.N0000,Mahaweli Coconut Plantations PLC,36.2,0.0
2022-05-06,MCPL.N0000,Mahaweli Coconut Plantations PLC,36.2,0.0
2022-05-09,MCPL.N0000,Mahaweli Coconut Plantations PLC,36.2,0.0
2022-05-12,MCPL.N0000,Mahaweli Coconut Plantations PLC,36.5,0.0
2022-05-18,MCPL.N0000,Mahaweli Coconut Plantations PLC,36.7,0.0
2022-05-19,MCPL.N0000,Mahaweli Coconut Plantations PLC,35.0,0.0
2022-05-20,MCPL.N0000,Mahaweli Coconut Plantations PLC,35.0,0.0
2022-05-23,MCPL.N0000,Mahaweli Coconut Plantations PLC,35.0,0.0
2022-05-25,MCPL.N0000,Mahaweli Coconut Plantations PLC,35.0,0.0
2022-05-26,MCPL.N0000,Mahaweli Coconut Plantations PLC,35.4,0.0
2022-05-27,MCPL.N0000,Mahaweli Coconut Plantations PLC,35.4,0.0
2022-05-30,MCPL.N0000,Mahaweli Coconut Plantations PLC,35.0,0.0
2022-05-31,MCPL.N0000,Mahaweli Coconut Plantations PLC,34.0,0.0
2022-06-01,MCPL.N0000,Mahaweli Coconut Plantations PLC,33.7,0.0
2022-06-02,MCPL.N0000,Mahaweli Coconut Plantations PLC,32.5,0.0
2022-06-06,MCPL.N0000,Mahaweli Coconut Plantations PLC,32.5,0.0
2022-06-07,MCPL.N0000,Mahaweli Coconut Plantations PLC,34.5,0.0
2022-06-09,MCPL.N0000,Mahaweli Coconut Plantations PLC,34.2,0.0
2022-06-10,MCPL.N0000,Mahaweli Coconut Plantations PLC,34.2,0.0
2022-06-13,MCPL.N0000,Mahaweli Coconut Plantations PLC,34.2,0.0
2022-06-17,MCPL.N0000,Mahaweli Coconut Plantations PLC,34.2,0.0
2022-06-20,MCPL.N0000,Mahaweli Coconut Plantations PLC,34.2,0.0
2022-06-23,MCPL.N0000,Mahaweli Coconut Plantations PLC,33.0,0.0
2022-06-28,MCPL.N0000,Mahaweli Coconut Plantations PLC,33.5,0.0
2022-07-04,MCPL.N0000,Mahaweli Coconut Plantations PLC,35.8,0.0
2022-07-05,MCPL.N0000,Mahaweli Coconut Plantations PLC,37.2,0.0
2022-07-06,MCPL.N0000,Mahaweli Coconut Plantations PLC,37.2,0.0
2022-07-07,MCPL.N0000,Mahaweli Coconut Plantations PLC,32.0,0.0
2022-07-11,MCPL.N0000,Mahaweli Coconut Plantations PLC,32.0,0.0
2022-07-12,MCPL.N0000,Mahaweli Coconut Plantations PLC,34.9,0.0
2022-07-14,MCPL.N0000,Mahaweli Coconut Plantations PLC,34.0,0.0
2022-07-15,MCPL.N0000,Mahaweli Coconut Plantations PLC,34.0,0.0
2022-07-18,MCPL.N0000,Mahaweli Coconut Plantations PLC,34.0,0.0
2022-07-19,MCPL.N0000,Mahaweli Coconut Plantations PLC,34.0,0.0
2022-07-20,MCPL.N0000,Mahaweli Coconut Plantations PLC,35.9,0.0
2022-07-27,MCPL.N0000,Mahaweli Coconut Plantations PLC,36.5,0.0
2022-07-27,MCPL.N0000,Mahaweli Coconut Plantations PLC,36.5,0.0
2022-07-28,MCPL.N0000,Mahaweli Coconut Plantations PLC,36.5,0.0
2022-07-29,MCPL.N0000,Mahaweli Coconut Plantations PLC,36.2,0.0
2022-08-02,MCPL.N0000,Mahaweli Coconut Plantations PLC,36.2,0.0
2022-08-03,MCPL.N0000,Mahaweli Coconut Plantations PLC,36.4,0.0
2022-08-04,MCPL.N0000,Mahaweli Coconut Plantations PLC,37.7,0.0
2022-08-09,MCPL.N0000,Mahaweli Coconut Plantations PLC,37.5,0.0
2022-08-10,MCPL.N0000,Mahaweli Coconut Plantations PLC,37.0,0.0
2022-08-12,MCPL.N0000,Mahaweli Coconut Plantations PLC,37.7,0.0
2022-08-15,MCPL.N0000,Mahaweli Coconut Plantations PLC,37.0,0.0
2022-08-16,MCPL.N0000,Mahaweli Coconut Plantations PLC,37.0,0.0
2022-08-17,MCPL.N0000,Mahaweli Coconut Plantations PLC,37.0,0.0
2022-08-18,MCPL.N0000,Mahaweli Coconut Plantations PLC,37.0,0.0
2022-08-19,MCPL.N0000,Mahaweli Coconut Plantations PLC,38.0,0.0
2022-08-22,MCPL.N0000,Mahaweli Coconut Plantations PLC,38.0,0.0
2022-08-23,MCPL.N0000,Mahaweli Coconut Plantations PLC,38.0,0.0
2022-08-24,MCPL.N0000,Mahaweli Coconut Plantations PLC,43.5,0.0
2022-08-25,MCPL.N0000,Mahaweli Coconut Plantations PLC,39.3,0.0
2022-08-29,MCPL.N0000,Mahaweli Coconut Plantations PLC,42.2,0.0
2022-08-30,MCPL.N0000,Mahaweli Coconut Plantations PLC,43.5,0.0
2022-08-31,MCPL.N0000,Mahaweli Coconut Plantations PLC,43.5,0.0
2022-09-01,MCPL.N0000,Mahaweli Coconut Plantations PLC,42.2,0.0
2022-09-02,MCPL.N0000,Mahaweli Coconut Plantations PLC,44.9,0.0
2022-09-05,MCPL.N0000,Mahaweli Coconut Plantations PLC,44.9,0.0
2022-09-06,MCPL.N0000,Mahaweli Coconut Plantations PLC,44.2,0.0
2022-09-07,MCPL.N0000,Mahaweli Coconut Plantations PLC,40.1,0.0
2022-09-09,MCPL.N0000,Mahaweli Coconut Plantations PLC,40.1,0.0
2022-09-12,MCPL.N0000,Mahaweli Coconut Plantations PLC,42.4,0.0
2022-09-13,MCPL.N0000,Mahaweli Coconut Plantations PLC,42.4,0.0
2022-09-14,MCPL.N0000,Mahaweli Coconut Plantations PLC,43.7,0.0
2022-09-15,MCPL.N0000,Mahaweli Coconut Plantations PLC,43.7,0.0
2022-09-16,MCPL.N0000,Mahaweli Coconut Plantations PLC,43.7,0.0
2022-09-19,MCPL.N0000,Mahaweli Coconut Plantations PLC,39.1,0.0
2022-09-20,MCPL.N0000,Mahaweli Coconut Plantations PLC,39.1,0.0
2022-09-21,MCPL.N0000,Mahaweli Coconut Plantations PLC,43.0,0.0
2022-09-22,MCPL.N0000,Mahaweli Coconut Plantations PLC,40.6,0.0
2022-09-23,MCPL.N0000,Mahaweli Coconut Plantations PLC,44.0,0.0
2022-09-26,MCPL.N0000,Mahaweli Coconut Plantations PLC,42.1,0.0
2022-09-27,MCPL.N0000,Mahaweli Coconut Plantations PLC,41.7,0.0
2022-09-28,MCPL.N0000,Mahaweli Coconut Plantations PLC,41.5,0.0
