date,company_code,company_name,closing_price,sentiment_score
2022-01-03,MGT.N0000,Hayleys Fabric PLC,41.3,0.0
2022-01-04,MGT.N0000,Hayleys Fabric PLC,42.1,0.0
2022-01-05,MGT.N0000,Hayleys Fabric PLC,42.8,0.0
2022-01-06,MGT.N0000,Hayleys Fabric PLC,42.8,0.0
2022-01-07,MGT.N0000,Hayleys Fabric PLC,43.5,0.0
2022-01-10,MGT.N0000,Hayleys Fabric PLC,42.2,0.0
2022-01-11,MGT.N0000,Hayleys Fabric PLC,42.0,0.0
2022-01-12,MGT.N0000,Hayleys Fabric PLC,41.4,0.0
2022-01-13,MGT.N0000,Hayleys Fabric PLC,41.3,0.0
2022-01-18,MGT.N0000,Hayleys Fabric PLC,43.2,0.0
2022-01-19,MGT.N0000,Hayleys Fabric PLC,43.7,0.0
2022-01-20,MGT.N0000,Hayleys Fabric PLC,42.9,0.0
2022-01-21,MGT.N0000,Hayleys Fabric PLC,43.7,0.0
2022-01-24,MGT.N0000,Hayleys Fabric PLC,43.5,0.0
2022-01-25,MGT.N0000,Hayleys Fabric PLC,42.1,0.0
2022-01-26,MGT.N0000,Hayleys Fabric PLC,41.3,0.0
2022-01-27,MGT.N0000,Hayleys Fabric PLC,40.9,0.0
2022-01-28,MGT.N0000,Hayleys Fabric PLC,40.3,0.0
2022-01-31,MGT.N0000,Hayleys Fabric PLC,40.9,0.0
2022-02-01,MGT.N0000,Hayleys Fabric PLC,40.0,0.0
2022-02-02,MGT.N0000,Hayleys Fabric PLC,38.7,0.0
2022-02-03,MGT.N0000,Hayleys Fabric PLC,38.9,0.0
2022-02-07,MGT.N0000,Hayleys Fabric PLC,38.0,0.0
2022-02-08,MGT.N0000,Hayleys Fabric PLC,37.0,0.0
2022-02-09,MGT.N0000,Hayleys Fabric PLC,35.8,0.0
2022-02-10,MGT.N0000,Hayleys Fabric PLC,36.7,0.0
2022-02-11,MGT.N0000,Hayleys Fabric PLC,37.8,0.0
2022-02-14,MGT.N0000,Hayleys Fabric PLC,37.6,0.0
2022-02-15,MGT.N0000,Hayleys Fabric PLC,36.3,0.0
2022-02-17,MGT.N0000,Hayleys Fabric PLC,35.7,0.0
2022-02-18,MGT.N0000,Hayleys Fabric PLC,35.5,0.0
2022-02-21,MGT.N0000,Hayleys Fabric PLC,34.1,0.0
2022-02-22,MGT.N0000,Hayleys Fabric PLC,35.1,0.0
2022-02-23,MGT.N0000,Hayleys Fabric PLC,34.1,0.0
2022-02-24,MGT.N0000,Hayleys Fabric PLC,31.7,0.0
2022-02-25,MGT.N0000,Hayleys Fabric PLC,34.9,0.0
2022-02-28,MGT.N0000,Hayleys Fabric PLC,35.9,0.0
2022-03-02,MGT.N0000,Hayleys Fabric PLC,34.6,0.0
2022-03-03,MGT.N0000,Hayleys Fabric PLC,33.8,0.0
2022-03-04,MGT.N0000,Hayleys Fabric PLC,35.4,0.0
2022-03-07,MGT.N0000,Hayleys Fabric PLC,32.9,0.0
2022-03-08,MGT.N0000,Hayleys Fabric PLC,32.9,0.0
2022-03-09,MGT.N0000,Hayleys Fabric PLC,31.7,0.0
2022-03-10,MGT.N0000,Hayleys Fabric PLC,34.9,0.0
2022-03-11,MGT.N0000,Hayleys Fabric PLC,34.3,0.0
2022-03-14,MGT.N0000,Hayleys Fabric PLC,34.6,0.0
2022-03-15,MGT.N0000,Hayleys Fabric PLC,33.0,0.0
2022-03-16,MGT.N0000,Hayleys Fabric PLC,33.9,0.0
2022-03-18,MGT.N0000,Hayleys Fabric PLC,34.0,0.0
2022-03-21,MGT.N0000,Hayleys Fabric PLC,34.0,0.0
2022-03-22,MGT.N0000,Hayleys Fabric PLC,33.6,0.0
2022-03-23,MGT.N0000,Hayleys Fabric PLC,33.5,0.0
2022-03-24,MGT.N0000,Hayleys Fabric PLC,33.6,0.0
2022-03-25,MGT.N0000,Hayleys Fabric PLC,34.0,0.0
2022-03-28,MGT.N0000,Hayleys Fabric PLC,32.9,0.0
2022-03-29,MGT.N0000,Hayleys Fabric PLC,31.2,0.0
2022-03-30,MGT.N0000,Hayleys Fabric PLC,30.5,0.0
2022-03-31,MGT.N0000,Hayleys Fabric PLC,29.1,0.0
2022-04-01,MGT.N0000,Hayleys Fabric PLC,28.1,0.0
2022-04-04,MGT.N0000,Hayleys Fabric PLC,26.9,0.0
2022-04-05,MGT.N0000,Hayleys Fabric PLC,29.5,0.0
2022-04-06,MGT.N0000,Hayleys Fabric PLC,29.0,0.0
2022-04-07,MGT.N0000,Hayleys Fabric PLC,28.2,0.0
2022-04-08,MGT.N0000,Hayleys Fabric PLC,28.0,0.0
2022-04-25,MGT.N0000,Hayleys Fabric PLC,22.8,0.0
2022-04-26,MGT.N0000,Hayleys Fabric PLC,20.9,0.0
2022-04-27,MGT.N0000,Hayleys Fabric PLC,24.4,0.0
2022-04-28,MGT.N0000,Hayleys Fabric PLC,28.3,0.0
2022-04-29,MGT.N0000,Hayleys Fabric PLC,28.1,0.0
2022-05-04,MGT.N0000,Hayleys Fabric PLC,27.8,0.0
2022-05-05,MGT.N0000,Hayleys Fabric PLC,26.9,0.0
2022-05-06,MGT.N0000,Hayleys Fabric PLC,25.7,0.0
2022-05-09,MGT.N0000,Hayleys Fabric PLC,27.0,0.0
2022-05-12,MGT.N0000,Hayleys Fabric PLC,29.0,0.0
2022-05-13,MGT.N0000,Hayleys Fabric PLC,32.8,0.0
2022-05-17,MGT.N0000,Hayleys Fabric PLC,35.3,0.0
2022-05-18,MGT.N0000,Hayleys Fabric PLC,34.0,0.0
2022-05-19,MGT.N0000,Hayleys Fabric PLC,32.1,0.0
2022-05-20,MGT.N0000,Hayleys Fabric PLC,32.7,0.0
2022-05-23,MGT.N0000,Hayleys Fabric PLC,35.0,0.0
2022-05-24,MGT.N0000,Hayleys Fabric PLC,34.1,0.0
2022-05-25,MGT.N0000,Hayleys Fabric PLC,33.7,0.0
2022-05-26,MGT.N0000,Hayleys Fabric PLC,33.6,0.0
2022-05-27,MGT.N0000,Hayleys Fabric PLC,33.3,0.0
2022-05-30,MGT.N0000,Hayleys Fabric PLC,33.6,0.0
2022-05-31,MGT.N0000,Hayleys Fabric PLC,33.0,0.0
2022-06-01,MGT.N0000,Hayleys Fabric PLC,31.5,0.0
2022-06-02,MGT.N0000,Hayleys Fabric PLC,32.2,0.0
2022-06-03,MGT.N0000,Hayleys Fabric PLC,32.4,0.0
2022-06-06,MGT.N0000,Hayleys Fabric PLC,31.6,0.0
2022-06-07,MGT.N0000,Hayleys Fabric PLC,30.2,0.0
2022-06-08,MGT.N0000,Hayleys Fabric PLC,31.1,0.0
2022-06-09,MGT.N0000,Hayleys Fabric PLC,31.7,0.0
2022-06-10,MGT.N0000,Hayleys Fabric PLC,33.9,0.0
2022-06-13,MGT.N0000,Hayleys Fabric PLC,32.9,0.0
2022-06-15,MGT.N0000,Hayleys Fabric PLC,31.7,0.0
2022-06-16,MGT.N0000,Hayleys Fabric PLC,31.8,0.0
2022-06-17,MGT.N0000,Hayleys Fabric PLC,30.0,0.0
2022-06-20,MGT.N0000,Hayleys Fabric PLC,30.1,0.0
2022-06-21,MGT.N0000,Hayleys Fabric PLC,30.9,0.0
2022-06-22,MGT.N0000,Hayleys Fabric PLC,31.0,0.0
2022-06-23,MGT.N0000,Hayleys Fabric PLC,31.2,0.0
2022-06-24,MGT.N0000,Hayleys Fabric PLC,31.0,0.0
2022-06-27,MGT.N0000,Hayleys Fabric PLC,29.6,0.0
2022-06-28,MGT.N0000,Hayleys Fabric PLC,29.5,0.0
2022-06-29,MGT.N0000,Hayleys Fabric PLC,29.5,0.0
2022-06-30,MGT.N0000,Hayleys Fabric PLC,29.0,0.0
2022-07-01,MGT.N0000,Hayleys Fabric PLC,29.6,0.0
2022-07-04,MGT.N0000,Hayleys Fabric PLC,29.5,0.0
2022-07-05,MGT.N0000,Hayleys Fabric PLC,28.8,0.0
2022-07-06,MGT.N0000,Hayleys Fabric PLC,28.6,0.0
2022-07-07,MGT.N0000,Hayleys Fabric PLC,27.8,0.0
2022-07-08,MGT.N0000,Hayleys Fabric PLC,28.0,0.0
2022-07-11,MGT.N0000,Hayleys Fabric PLC,29.0,0.0
2022-07-12,MGT.N0000,Hayleys Fabric PLC,29.1,0.0
2022-07-14,MGT.N0000,Hayleys Fabric PLC,29.5,0.0
2022-07-15,MGT.N0000,Hayleys Fabric PLC,30.0,0.0
2022-07-18,MGT.N0000,Hayleys Fabric PLC,30.6,0.0
2022-07-19,MGT.N0000,Hayleys Fabric PLC,30.4,0.0
2022-07-20,MGT.N0000,Hayleys Fabric PLC,30.6,0.0
2022-07-21,MGT.N0000,Hayleys Fabric PLC,30.7,0.0
2022-07-22,MGT.N0000,Hayleys Fabric PLC,31.0,0.0
2022-07-25,MGT.N0000,Hayleys Fabric PLC,32.0,0.0
2022-07-26,MGT.N0000,Hayleys Fabric PLC,34.0,0.0
2022-07-27,MGT.N0000,Hayleys Fabric PLC,34.3,0.0
2022-07-27,MGT.N0000,Hayleys Fabric PLC,34.3,0.0
2022-07-28,MGT.N0000,Hayleys Fabric PLC,34.3,0.0
2022-07-29,MGT.N0000,Hayleys Fabric PLC,35.7,0.0
2022-08-01,MGT.N0000,Hayleys Fabric PLC,36.9,0.0
2022-08-02,MGT.N0000,Hayleys Fabric PLC,38.2,0.0
2022-08-03,MGT.N0000,Hayleys Fabric PLC,37.1,0.0
2022-08-04,MGT.N0000,Hayleys Fabric PLC,37.2,0.0
2022-08-05,MGT.N0000,Hayleys Fabric PLC,36.7,0.0
2022-08-08,MGT.N0000,Hayleys Fabric PLC,35.5,0.0
2022-08-09,MGT.N0000,Hayleys Fabric PLC,34.4,0.0
2022-08-10,MGT.N0000,Hayleys Fabric PLC,36.1,0.0
2022-08-12,MGT.N0000,Hayleys Fabric PLC,36.9,0.0
2022-08-15,MGT.N0000,Hayleys Fabric PLC,37.3,0.0
2022-08-16,MGT.N0000,Hayleys Fabric PLC,37.8,0.0
2022-08-17,MGT.N0000,Hayleys Fabric PLC,36.8,0.0
2022-08-18,MGT.N0000,Hayleys Fabric PLC,37.8,0.0
2022-08-19,MGT.N0000,Hayleys Fabric PLC,40.3,0.0
2022-08-22,MGT.N0000,Hayleys Fabric PLC,40.8,0.0
2022-08-23,MGT.N0000,Hayleys Fabric PLC,39.3,0.0
2022-08-24,MGT.N0000,Hayleys Fabric PLC,38.1,0.0
2022-08-25,MGT.N0000,Hayleys Fabric PLC,36.9,0.0
2022-08-26,MGT.N0000,Hayleys Fabric PLC,36.8,0.0
2022-08-29,MGT.N0000,Hayleys Fabric PLC,35.3,0.0
2022-08-30,MGT.N0000,Hayleys Fabric PLC,36.5,0.0
2022-08-31,MGT.N0000,Hayleys Fabric PLC,37.8,0.0
2022-09-01,MGT.N0000,Hayleys Fabric PLC,38.2,0.0
2022-09-02,MGT.N0000,Hayleys Fabric PLC,37.3,0.0
2022-09-05,MGT.N0000,Hayleys Fabric PLC,36.7,0.0
2022-09-06,MGT.N0000,Hayleys Fabric PLC,36.1,0.0
2022-09-07,MGT.N0000,Hayleys Fabric PLC,36.9,0.0
2022-09-08,MGT.N0000,Hayleys Fabric PLC,37.1,0.0
2022-09-09,MGT.N0000,Hayleys Fabric PLC,36.9,0.0
2022-09-12,MGT.N0000,Hayleys Fabric PLC,37.2,0.0
2022-09-13,MGT.N0000,Hayleys Fabric PLC,37.0,0.0
2022-09-14,MGT.N0000,Hayleys Fabric PLC,36.4,0.0
2022-09-15,MGT.N0000,Hayleys Fabric PLC,37.0,0.0
2022-09-16,MGT.N0000,Hayleys Fabric PLC,36.2,0.0
2022-09-19,MGT.N0000,Hayleys Fabric PLC,36.3,0.0
2022-09-20,MGT.N0000,Hayleys Fabric PLC,36.0,0.0
2022-09-21,MGT.N0000,Hayleys Fabric PLC,35.2,0.0
2022-09-22,MGT.N0000,Hayleys Fabric PLC,35.0,0.0
2022-09-23,MGT.N0000,Hayleys Fabric PLC,34.7,0.0
2022-09-26,MGT.N0000,Hayleys Fabric PLC,34.5,0.0
2022-09-27,MGT.N0000,Hayleys Fabric PLC,34.5,0.0
2022-09-28,MGT.N0000,Hayleys Fabric PLC,35.1,0.0
2022-09-29,MGT.N0000,Hayleys Fabric PLC,35.1,0.0
2022-09-30,MGT.N0000,Hayleys Fabric PLC,34.5,0.0
2022-10-03,MGT.N0000,Hayleys Fabric PLC,32.8,0.0
2022-10-04,MGT.N0000,Hayleys Fabric PLC,32.0,0.0
2022-10-05,MGT.N0000,Hayleys Fabric PLC,32.9,0.0
2022-10-06,MGT.N0000,Hayleys Fabric PLC,31.7,0.0
2022-10-07,MGT.N0000,Hayleys Fabric PLC,31.4,0.0
2022-10-11,MGT.N0000,Hayleys Fabric PLC,29.4,0.0
2022-10-12,MGT.N0000,Hayleys Fabric PLC,29.9,0.0
2022-10-13,MGT.N0000,Hayleys Fabric PLC,31.2,0.0
2022-10-14,MGT.N0000,Hayleys Fabric PLC,30.8,0.0
2022-10-17,MGT.N0000,Hayleys Fabric PLC,30.5,0.0
2022-10-18,MGT.N0000,Hayleys Fabric PLC,30.2,0.0
2022-10-19,MGT.N0000,Hayleys Fabric PLC,30.2,0.0
2022-10-20,MGT.N0000,Hayleys Fabric PLC,29.1,0.0
2022-10-21,MGT.N0000,Hayleys Fabric PLC,28.7,0.0
2022-10-25,MGT.N0000,Hayleys Fabric PLC,27.9,0.0
2022-10-26,MGT.N0000,Hayleys Fabric PLC,28.1,0.0
2022-10-27,MGT.N0000,Hayleys Fabric PLC,29.0,0.0
2022-10-28,MGT.N0000,Hayleys Fabric PLC,28.0,0.0
2022-10-31,MGT.N0000,Hayleys Fabric PLC,27.5,0.0
2022-11-01,MGT.N0000,Hayleys Fabric PLC,28.0,0.0
2022-11-02,MGT.N0000,Hayleys Fabric PLC,27.9,0.0
2022-11-03,MGT.N0000,Hayleys Fabric PLC,27.0,0.0
2022-11-04,MGT.N0000,Hayleys Fabric PLC,27.3,0.0
2022-11-08,MGT.N0000,Hayleys Fabric PLC,25.9,0.0
2022-11-09,MGT.N0000,Hayleys Fabric PLC,25.2,0.0
2022-11-10,MGT.N0000,Hayleys Fabric PLC,26.6,0.0
2022-11-11,MGT.N0000,Hayleys Fabric PLC,26.7,0.0
2022-11-14,MGT.N0000,Hayleys Fabric PLC,26.9,0.0
2022-11-15,MGT.N0000,Hayleys Fabric PLC,26.9,0.0
2022-11-16,MGT.N0000,Hayleys Fabric PLC,25.1,0.0
2022-11-17,MGT.N0000,Hayleys Fabric PLC,25.2,0.0
2022-11-18,MGT.N0000,Hayleys Fabric PLC,24.3,0.0
2022-11-21,MGT.N0000,Hayleys Fabric PLC,24.0,0.0
2022-11-22,MGT.N0000,Hayleys Fabric PLC,25.8,0.0
2022-11-23,MGT.N0000,Hayleys Fabric PLC,25.1,0.0
2022-11-24,MGT.N0000,Hayleys Fabric PLC,24.7,0.0
2022-11-25,MGT.N0000,Hayleys Fabric PLC,24.8,0.0
2022-11-28,MGT.N0000,Hayleys Fabric PLC,24.5,0.0
2022-11-29,MGT.N0000,Hayleys Fabric PLC,24.7,0.0
2022-11-30,MGT.N0000,Hayleys Fabric PLC,24.8,0.0
2022-12-01,MGT.N0000,Hayleys Fabric PLC,25.1,0.0
2022-12-02,MGT.N0000,Hayleys Fabric PLC,24.9,0.0
2022-12-05,MGT.N0000,Hayleys Fabric PLC,25.0,0.0
2022-12-06,MGT.N0000,Hayleys Fabric PLC,25.0,0.0
2022-12-08,MGT.N0000,Hayleys Fabric PLC,25.0,0.0
2022-12-09,MGT.N0000,Hayleys Fabric PLC,24.5,0.0
2022-12-12,MGT.N0000,Hayleys Fabric PLC,24.8,0.0
2022-12-13,MGT.N0000,Hayleys Fabric PLC,24.5,0.0
2022-12-14,MGT.N0000,Hayleys Fabric PLC,24.0,0.0
2022-12-15,MGT.N0000,Hayleys Fabric PLC,24.5,0.0
2022-12-16,MGT.N0000,Hayleys Fabric PLC,24.1,0.0
2022-12-19,MGT.N0000,Hayleys Fabric PLC,24.1,0.0
2022-12-20,MGT.N0000,Hayleys Fabric PLC,24.0,0.0
2022-12-21,MGT.N0000,Hayleys Fabric PLC,23.5,0.0
2022-12-22,MGT.N0000,Hayleys Fabric PLC,23.2,0.0
2022-12-23,MGT.N0000,Hayleys Fabric PLC,22.8,0.0
2022-12-27,MGT.N0000,Hayleys Fabric PLC,22.6,0.0
2022-12-28,MGT.N0000,Hayleys Fabric PLC,22.0,0.0
2022-12-29,MGT.N0000,Hayleys Fabric PLC,22.5,0.0
2022-12-30,MGT.N0000,Hayleys Fabric PLC,22.6,0.0
2023-01-02,MGT.N0000,Hayleys Fabric PLC,23.0,0.0
2023-01-03,MGT.N0000,Hayleys Fabric PLC,24.1,0.0
2023-01-04,MGT.N0000,Hayleys Fabric PLC,23.9,0.0
2023-01-05,MGT.N0000,Hayleys Fabric PLC,23.7,0.0
2023-01-09,MGT.N0000,Hayleys Fabric PLC,23.7,0.0
2023-01-10,MGT.N0000,Hayleys Fabric PLC,23.4,0.0
2023-01-11,MGT.N0000,Hayleys Fabric PLC,23.0,0.0
2023-01-12,MGT.N0000,Hayleys Fabric PLC,22.6,0.0
2023-01-13,MGT.N0000,Hayleys Fabric PLC,22.1,0.0
2023-01-17,MGT.N0000,Hayleys Fabric PLC,22.0,0.0
2023-01-18,MGT.N0000,Hayleys Fabric PLC,21.9,0.0
2023-01-19,MGT.N0000,Hayleys Fabric PLC,22.5,0.0
2023-01-20,MGT.N0000,Hayleys Fabric PLC,24.1,0.0
2023-01-23,MGT.N0000,Hayleys Fabric PLC,23.8,0.0
2023-01-24,MGT.N0000,Hayleys Fabric PLC,23.4,0.0
2023-01-25,MGT.N0000,Hayleys Fabric PLC,23.5,0.0
2023-01-26,MGT.N0000,Hayleys Fabric PLC,22.9,0.0
2023-01-27,MGT.N0000,Hayleys Fabric PLC,22.6,0.0
2023-01-30,MGT.N0000,Hayleys Fabric PLC,23.0,0.0
2023-01-31,MGT.N0000,Hayleys Fabric PLC,23.6,0.0
2023-02-01,MGT.N0000,Hayleys Fabric PLC,23.7,0.0
2023-02-02,MGT.N0000,Hayleys Fabric PLC,24.8,0.0
2023-02-03,MGT.N0000,Hayleys Fabric PLC,26.2,0.0
2023-02-06,MGT.N0000,Hayleys Fabric PLC,27.3,0.0
2023-02-07,MGT.N0000,Hayleys Fabric PLC,26.5,0.0
2023-02-08,MGT.N0000,Hayleys Fabric PLC,25.0,0.0
2023-02-09,MGT.N0000,Hayleys Fabric PLC,25.5,0.0
2023-02-10,MGT.N0000,Hayleys Fabric PLC,25.1,0.0
2023-02-13,MGT.N0000,Hayleys Fabric PLC,25.0,0.0
2023-02-14,MGT.N0000,Hayleys Fabric PLC,24.5,0.0
2023-02-15,MGT.N0000,Hayleys Fabric PLC,24.2,0.0
2023-02-16,MGT.N0000,Hayleys Fabric PLC,24.5,0.0
2023-02-17,MGT.N0000,Hayleys Fabric PLC,25.5,0.0
2023-02-20,MGT.N0000,Hayleys Fabric PLC,26.4,0.0
2023-02-21,MGT.N0000,Hayleys Fabric PLC,26.3,0.0
2023-02-22,MGT.N0000,Hayleys Fabric PLC,26.0,0.0
2023-02-23,MGT.N0000,Hayleys Fabric PLC,26.9,0.0
2023-02-24,MGT.N0000,Hayleys Fabric PLC,28.0,0.0
2023-02-27,MGT.N0000,Hayleys Fabric PLC,27.8,0.0
2023-02-28,MGT.N0000,Hayleys Fabric PLC,27.5,0.0
2023-03-01,MGT.N0000,Hayleys Fabric PLC,26.8,0.0
2023-03-02,MGT.N0000,Hayleys Fabric PLC,26.9,0.0
2023-03-03,MGT.N0000,Hayleys Fabric PLC,26.7,0.0
2023-03-07,MGT.N0000,Hayleys Fabric PLC,25.0,0.0
2023-03-08,MGT.N0000,Hayleys Fabric PLC,25.0,0.0
2023-03-09,MGT.N0000,Hayleys Fabric PLC,25.9,0.0
2023-03-10,MGT.N0000,Hayleys Fabric PLC,25.9,0.0
2023-03-13,MGT.N0000,Hayleys Fabric PLC,25.1,0.0
2023-03-14,MGT.N0000,Hayleys Fabric PLC,25.0,0.0
2023-03-15,MGT.N0000,Hayleys Fabric PLC,25.0,0.0
2023-03-16,MGT.N0000,Hayleys Fabric PLC,24.6,0.0
2023-03-17,MGT.N0000,Hayleys Fabric PLC,24.9,0.0
2023-03-20,MGT.N0000,Hayleys Fabric PLC,24.9,0.0
2023-03-21,MGT.N0000,Hayleys Fabric PLC,25.0,0.0
2023-03-22,MGT.N0000,Hayleys Fabric PLC,24.6,0.0
2023-03-23,MGT.N0000,Hayleys Fabric PLC,24.4,0.0
2023-03-24,MGT.N0000,Hayleys Fabric PLC,24.7,0.0
2023-03-27,MGT.N0000,Hayleys Fabric PLC,24.5,0.0
2023-03-28,MGT.N0000,Hayleys Fabric PLC,24.2,0.0
2023-03-29,MGT.N0000,Hayleys Fabric PLC,25.3,0.0
2023-03-30,MGT.N0000,Hayleys Fabric PLC,25.2,0.0
2023-03-31,MGT.N0000,Hayleys Fabric PLC,25.2,0.0
2023-04-03,MGT.N0000,Hayleys Fabric PLC,25.1,0.0
2023-04-04,MGT.N0000,Hayleys Fabric PLC,25.0,0.0
2023-04-06,MGT.N0000,Hayleys Fabric PLC,25.1,0.0
2023-04-10,MGT.N0000,Hayleys Fabric PLC,25.1,0.0
2023-04-11,MGT.N0000,Hayleys Fabric PLC,25.5,0.0
2023-04-12,MGT.N0000,Hayleys Fabric PLC,25.3,0.0
2023-04-17,MGT.N0000,Hayleys Fabric PLC,25.4,0.0
2023-04-18,MGT.N0000,Hayleys Fabric PLC,25.5,0.0
2023-04-19,MGT.N0000,Hayleys Fabric PLC,25.5,0.0
2023-04-20,MGT.N0000,Hayleys Fabric PLC,25.4,0.0
2023-04-21,MGT.N0000,Hayleys Fabric PLC,25.5,0.0
2023-04-24,MGT.N0000,Hayleys Fabric PLC,25.3,0.0
2023-04-25,MGT.N0000,Hayleys Fabric PLC,25.4,0.0
2023-04-26,MGT.N0000,Hayleys Fabric PLC,25.3,0.0
2023-04-27,MGT.N0000,Hayleys Fabric PLC,25.3,0.0
2023-04-28,MGT.N0000,Hayleys Fabric PLC,25.1,0.0
2023-05-02,MGT.N0000,Hayleys Fabric PLC,24.8,0.0
2023-05-03,MGT.N0000,Hayleys Fabric PLC,24.9,0.0
2023-05-04,MGT.N0000,Hayleys Fabric PLC,25.0,0.0
2023-05-08,MGT.N0000,Hayleys Fabric PLC,24.7,0.0
2023-05-09,MGT.N0000,Hayleys Fabric PLC,24.3,0.0
2023-05-10,MGT.N0000,Hayleys Fabric PLC,24.1,0.0
2023-05-11,MGT.N0000,Hayleys Fabric PLC,24.2,0.0
2023-05-12,MGT.N0000,Hayleys Fabric PLC,24.1,0.0
2023-05-15,MGT.N0000,Hayleys Fabric PLC,23.8,0.0
2023-05-16,MGT.N0000,Hayleys Fabric PLC,22.8,0.0
2023-05-17,MGT.N0000,Hayleys Fabric PLC,23.3,0.0
2023-05-18,MGT.N0000,Hayleys Fabric PLC,23.4,0.0
2023-05-19,MGT.N0000,Hayleys Fabric PLC,23.6,0.0
2023-05-22,MGT.N0000,Hayleys Fabric PLC,22.9,0.0
2023-05-23,MGT.N0000,Hayleys Fabric PLC,22.7,0.0
2023-05-24,MGT.N0000,Hayleys Fabric PLC,22.7,0.0
2023-05-25,MGT.N0000,Hayleys Fabric PLC,22.7,0.0
2023-05-26,MGT.N0000,Hayleys Fabric PLC,22.9,0.0
2023-05-29,MGT.N0000,Hayleys Fabric PLC,22.8,0.0
2023-05-30,MGT.N0000,Hayleys Fabric PLC,22.7,0.0
2023-05-31,MGT.N0000,Hayleys Fabric PLC,22.6,0.0
2023-06-01,MGT.N0000,Hayleys Fabric PLC,23.0,0.0
2023-06-02,MGT.N0000,Hayleys Fabric PLC,23.3,0.0
2023-06-05,MGT.N0000,Hayleys Fabric PLC,22.9,0.0
2023-06-06,MGT.N0000,Hayleys Fabric PLC,22.9,0.0
2023-06-07,MGT.N0000,Hayleys Fabric PLC,23.0,0.0
2023-06-08,MGT.N0000,Hayleys Fabric PLC,22.6,0.0
2023-06-09,MGT.N0000,Hayleys Fabric PLC,23.0,0.0
2023-06-12,MGT.N0000,Hayleys Fabric PLC,23.3,0.0
2023-06-13,MGT.N0000,Hayleys Fabric PLC,23.4,0.0
