date,company_code,company_name,closing_price,sentiment_score
2022-01-03,WATA.N0000,Watawala Plantations PLC,138.25,0.0
2022-01-04,WATA.N0000,Watawala Plantations PLC,160.0,0.0
2022-01-05,WATA.N0000,Watawala Plantations PLC,164.75,0.0
2022-01-06,WATA.N0000,Watawala Plantations PLC,173.75,0.0
2022-01-07,WATA.N0000,Watawala Plantations PLC,169.75,0.0
2022-01-10,WATA.N0000,Watawala Plantations PLC,183.5,0.0
2022-01-11,WATA.N0000,Watawala Plantations PLC,190.25,0.0
2022-01-12,WATA.N0000,Watawala Plantations PLC,189.25,0.0
2022-01-13,WATA.N0000,Watawala Plantations PLC,181.5,0.0
2022-01-18,WATA.N0000,Watawala Plantations PLC,180.5,0.0
2022-01-19,WATA.N0000,Watawala Plantations PLC,176.75,0.0
2022-01-20,WATA.N0000,Watawala Plantations PLC,179.75,0.0
2022-01-21,WATA.N0000,Watawala Plantations PLC,179.0,0.0
2022-01-24,WATA.N0000,Watawala Plantations PLC,179.25,0.0
2022-01-25,WATA.N0000,Watawala Plantations PLC,171.75,0.0
2022-01-26,WATA.N0000,Watawala Plantations PLC,171.0,0.0
2022-01-27,WATA.N0000,Watawala Plantations PLC,165.0,0.0
2022-01-28,WATA.N0000,Watawala Plantations PLC,168.0,0.0
2022-01-31,WATA.N0000,Watawala Plantations PLC,174.0,0.0
2022-02-01,WATA.N0000,Watawala Plantations PLC,170.0,0.0
2022-02-02,WATA.N0000,Watawala Plantations PLC,162.0,0.0
2022-02-03,WATA.N0000,Watawala Plantations PLC,143.25,0.0
2022-02-07,WATA.N0000,Watawala Plantations PLC,134.0,0.0
2022-02-08,WATA.N0000,Watawala Plantations PLC,124.0,0.0
2022-02-09,WATA.N0000,Watawala Plantations PLC,118.75,0.0
2022-02-10,WATA.N0000,Watawala Plantations PLC,129.5,0.0
2022-02-11,WATA.N0000,Watawala Plantations PLC,138.75,0.0
2022-02-14,WATA.N0000,Watawala Plantations PLC,136.75,0.0
2022-02-15,WATA.N0000,Watawala Plantations PLC,134.5,0.0
2022-02-17,WATA.N0000,Watawala Plantations PLC,131.25,0.0
2022-02-18,WATA.N0000,Watawala Plantations PLC,128.75,0.0
2022-02-21,WATA.N0000,Watawala Plantations PLC,119.75,0.0
2022-02-22,WATA.N0000,Watawala Plantations PLC,120.25,0.0
2022-02-23,WATA.N0000,Watawala Plantations PLC,118.0,0.0
2022-02-24,WATA.N0000,Watawala Plantations PLC,115.25,0.0
2022-02-25,WATA.N0000,Watawala Plantations PLC,123.75,0.0
2022-02-28,WATA.N0000,Watawala Plantations PLC,133.75,0.0
2022-03-02,WATA.N0000,Watawala Plantations PLC,138.0,0.0
2022-03-03,WATA.N0000,Watawala Plantations PLC,133.75,0.0
2022-03-04,WATA.N0000,Watawala Plantations PLC,134.75,0.0
2022-03-07,WATA.N0000,Watawala Plantations PLC,126.5,0.0
2022-03-08,WATA.N0000,Watawala Plantations PLC,124.25,0.0
2022-03-09,WATA.N0000,Watawala Plantations PLC,115.75,0.0
2022-03-10,WATA.N0000,Watawala Plantations PLC,136.0,0.0
2022-03-11,WATA.N0000,Watawala Plantations PLC,129.75,0.0
2022-03-14,WATA.N0000,Watawala Plantations PLC,123.5,0.0
2022-03-15,WATA.N0000,Watawala Plantations PLC,116.0,0.0
2022-03-16,WATA.N0000,Watawala Plantations PLC,116.25,0.0
2022-03-18,WATA.N0000,Watawala Plantations PLC,115.75,0.0
2022-03-21,WATA.N0000,Watawala Plantations PLC,117.25,0.0
2022-03-22,WATA.N0000,Watawala Plantations PLC,118.75,0.0
2022-03-23,WATA.N0000,Watawala Plantations PLC,116.75,0.0
2022-03-24,WATA.N0000,Watawala Plantations PLC,115.0,0.0
2022-03-25,WATA.N0000,Watawala Plantations PLC,117.75,0.0
2022-03-28,WATA.N0000,Watawala Plantations PLC,114.75,0.0
2022-03-29,WATA.N0000,Watawala Plantations PLC,106.0,0.0
2022-03-30,WATA.N0000,Watawala Plantations PLC,93.8,0.0
2022-03-31,WATA.N0000,Watawala Plantations PLC,93.3,0.0
2022-04-01,WATA.N0000,Watawala Plantations PLC,80.0,0.0
2022-04-04,WATA.N0000,Watawala Plantations PLC,80.4,0.0
2022-04-05,WATA.N0000,Watawala Plantations PLC,87.8,0.0
2022-04-06,WATA.N0000,Watawala Plantations PLC,84.5,0.0
2022-04-07,WATA.N0000,Watawala Plantations PLC,75.7,0.0
2022-04-08,WATA.N0000,Watawala Plantations PLC,69.4,0.0
2022-04-25,WATA.N0000,Watawala Plantations PLC,63.0,0.0
2022-04-26,WATA.N0000,Watawala Plantations PLC,54.3,0.0
2022-04-27,WATA.N0000,Watawala Plantations PLC,68.9,0.0
2022-04-28,WATA.N0000,Watawala Plantations PLC,84.4,0.0
2022-04-29,WATA.N0000,Watawala Plantations PLC,92.3,0.0
2022-05-04,WATA.N0000,Watawala Plantations PLC,89.5,0.0
2022-05-05,WATA.N0000,Watawala Plantations PLC,83.9,0.0
2022-05-06,WATA.N0000,Watawala Plantations PLC,83.5,0.0
2022-05-09,WATA.N0000,Watawala Plantations PLC,87.9,0.0
2022-05-12,WATA.N0000,Watawala Plantations PLC,92.8,0.0
2022-05-13,WATA.N0000,Watawala Plantations PLC,96.5,0.0
2022-05-17,WATA.N0000,Watawala Plantations PLC,108.5,0.0
2022-05-18,WATA.N0000,Watawala Plantations PLC,101.75,0.0
2022-05-19,WATA.N0000,Watawala Plantations PLC,97.7,0.0
2022-05-20,WATA.N0000,Watawala Plantations PLC,102.25,0.0
2022-05-23,WATA.N0000,Watawala Plantations PLC,107.5,0.0
2022-05-24,WATA.N0000,Watawala Plantations PLC,103.25,0.0
