order,seasonal,score,score_std,seasonal_period
"(2, 1, 1)","(1, 0, 1, 20)",4.525025913406666,2.496088746152811,20
"(1, 1, 0)","(1, 0, 1, 20)",4.534163700860046,2.528811570823548,20
"(0, 1, 1)","(1, 0, 1, 20)",4.575905596531707,2.5093893878478934,20
"(1, 1, 1)","(1, 0, 1, 20)",4.578160296627709,2.5415337640716067,20
"(2, 1, 2)","(1, 0, 1, 20)",4.587893394929636,2.4671538311280363,20
"(2, 1, 2)","(1, 0, 0, 7)",4.628366763486839,2.044383584156742,7
"(1, 1, 2)","(1, 0, 1, 20)",4.639213325503943,2.5213879630598592,20
"(2, 1, 2)","(0, 0, 1, 5)",4.655452977465384,2.1283392567102415,5
"(2, 1, 0)","(1, 0, 1, 20)",4.662672858522979,2.6146628243751375,20
"(2, 1, 2)","(1, 0, 0, 5)",4.665884789230292,2.129638102839611,5
"(2, 1, 2)","(1, 0, 1, 5)",4.669440010969244,2.1489848851781006,5
"(0, 1, 0)","(0, 0, 1, 7)",4.678050274898407,2.1238630713821216,7
"(2, 1, 1)","(0, 0, 0, 5)",4.678114165422712,2.16942980028459,5
"(2, 1, 1)","(0, 0, 0, 20)",4.678114165422712,2.16942980028459,20
"(2, 1, 1)","(0, 0, 0, 7)",4.678114165422712,2.16942980028459,7
"(0, 1, 0)","(1, 0, 1, 7)",4.679403865446142,2.1224856328137927,7
"(0, 1, 2)","(1, 0, 1, 20)",4.680048194033151,2.531233913572286,20
"(2, 1, 2)","(0, 0, 0, 20)",4.687042354756403,2.1234487293109616,20
"(2, 1, 2)","(0, 0, 0, 5)",4.687042354756403,2.1234487293109616,5
"(2, 1, 2)","(0, 0, 0, 7)",4.687042354756403,2.1234487293109616,7
