order,seasonal,score,score_std,seasonal_period
"(1, 1, 1)","(0, 0, 0, 5)",3.2321705560569476,2.1264564404175443,5
"(1, 1, 1)","(0, 0, 0, 10)",3.2321705560569476,2.1264564404175443,10
"(0, 1, 0)","(0, 0, 0, 10)",3.3998884172221326,2.094686733396566,10
"(0, 1, 0)","(0, 0, 0, 5)",3.3998884172221326,2.094686733396566,5
"(0, 1, 1)","(0, 0, 0, 5)",3.4164844513136985,2.087511900621263,5
"(0, 1, 1)","(0, 0, 0, 10)",3.4164844513136985,2.087511900621263,10
"(1, 1, 0)","(0, 0, 0, 10)",3.4175374393825257,2.0864841538496055,10
"(1, 1, 0)","(0, 0, 0, 5)",3.4175374393825257,2.0864841538496055,5
"(1, 2, 1)","(0, 0, 0, 5)",5.247648076360782,1.4586571772601513,5
"(1, 2, 1)","(0, 0, 0, 10)",5.247648076360782,1.4586571772601513,10
"(0, 2, 1)","(0, 0, 0, 10)",5.426898127244326,1.7608118632802348,10
"(0, 2, 1)","(0, 0, 0, 5)",5.426898127244326,1.7608118632802348,5
"(1, 1, 1)","(0, 1, 0, 5)",11.279888553636846,8.308567929384308,5
"(0, 1, 1)","(0, 1, 0, 5)",11.727317276084094,8.398634898554933,5
"(1, 1, 0)","(0, 1, 0, 5)",11.731668062144754,8.368933118927707,5
"(0, 1, 0)","(0, 1, 0, 5)",12.328210556731797,8.791897630248908,5
"(0, 1, 0)","(0, 1, 0, 10)",13.163463988433458,3.592522715597753,10
"(1, 1, 1)","(0, 1, 0, 10)",13.225097795355088,3.646344955923533,10
"(0, 1, 1)","(0, 1, 0, 10)",13.252773488841,3.547174541073412,10
"(1, 1, 0)","(0, 1, 0, 10)",13.255752561080392,3.5586551968858333,10
