order,seasonal,score,score_std,seasonal_period
"(1, 0, 1)","(1, 0, 1, 7)",3.9312911064393794,1.189692148150773,7
"(1, 0, 0)","(1, 0, 1, 5)",4.0119826983824005,2.7615489576819128,5
"(1, 0, 1)","(1, 0, 1, 5)",4.106675217169049,3.3472627527242853,5
"(1, 0, 1)","(0, 0, 1, 5)",4.339283151230344,2.5368826409913745,5
"(1, 0, 0)","(0, 0, 1, 5)",4.557119144444043,3.175130449587585,5
"(1, 0, 1)","(1, 0, 0, 5)",4.564224072577317,2.939209046757891,5
"(1, 0, 2)","(1, 0, 1, 7)",4.571560161143274,2.7869282718796886,7
"(1, 0, 0)","(0, 0, 0, 5)",4.577486347919753,3.152926568593816,5
"(1, 0, 0)","(0, 0, 0, 7)",4.577486347919753,3.152926568593816,7
"(1, 0, 0)","(0, 0, 0, 20)",4.577486347919753,3.152926568593816,20
"(2, 0, 0)","(1, 0, 1, 5)",4.587804239742345,3.169781749237134,5
"(1, 0, 1)","(0, 0, 0, 7)",4.588363237103606,2.881099699680457,7
"(1, 0, 1)","(0, 0, 0, 20)",4.588363237103606,2.881099699680457,20
"(1, 0, 1)","(0, 0, 0, 5)",4.588363237103606,2.881099699680457,5
"(2, 0, 1)","(1, 0, 1, 20)",4.5924118976463255,2.615171867114139,20
"(1, 0, 2)","(0, 0, 0, 5)",4.5931089627917325,3.289948603826108,5
"(1, 0, 2)","(0, 0, 0, 20)",4.5931089627917325,3.289948603826108,20
"(1, 0, 2)","(0, 0, 0, 7)",4.5931089627917325,3.289948603826108,7
"(1, 0, 0)","(0, 0, 1, 7)",4.629060963593321,3.0835702735200754,7
"(2, 0, 1)","(1, 0, 1, 5)",4.629278319445231,3.1885835312121715,5
