order,seasonal,score,score_std,seasonal_period
"(2, 0, 0)","(1, 0, 0, 5)",14.63398433008475,8.48867083860509,5
"(2, 1, 2)","(0, 1, 0, 10)",17.499594801195286,4.121074516363483,10
"(0, 1, 0)","(0, 1, 0, 10)",22.92275868090466,20.53570169563005,10
"(1, 1, 0)","(0, 1, 0, 10)",23.64371181630303,19.354745233586108,10
"(0, 1, 1)","(0, 1, 0, 10)",24.030796266743426,19.02706474199108,10
"(0, 0, 2)","(0, 1, 1, 10)",24.647306868231443,10.736261782585936,10
"(0, 0, 1)","(1, 1, 1, 10)",24.670404378666948,10.957392652814528,10
"(0, 0, 2)","(1, 1, 0, 10)",24.68195396198838,11.162020846637294,10
"(0, 0, 2)","(1, 1, 1, 10)",24.74229069777755,11.194261603221003,10
"(0, 0, 1)","(1, 1, 0, 10)",24.753307749006748,11.021449476877795,10
"(0, 0, 1)","(0, 1, 1, 10)",24.826582525416494,10.920447203141412,10
"(2, 0, 2)","(0, 1, 0, 10)",25.002618824641047,10.139057415160924,10
"(2, 1, 0)","(0, 1, 0, 10)",25.068197775759728,18.53678069481244,10
"(1, 0, 0)","(0, 1, 0, 10)",25.082415118478025,10.104762991363913,10
"(1, 0, 2)","(0, 1, 0, 10)",25.13354545012869,10.339935776752931,10
"(0, 0, 1)","(0, 1, 0, 10)",25.19211932318156,11.067455527372049,10
"(1, 0, 1)","(0, 1, 0, 10)",25.20327900012876,10.204471493695895,10
"(2, 0, 1)","(0, 1, 0, 10)",25.222652699940966,10.220066654649134,10
"(0, 0, 2)","(0, 1, 0, 10)",25.233265720170156,11.166343430389258,10
"(0, 0, 1)","(0, 1, 1, 5)",25.235519589004543,11.505167978277491,5
