order,seasonal,score,score_std,seasonal_period
"(1, 0, 1)","(1, 0, 1, 10)",8.90958656494031,6.950965837081727,10
"(2, 0, 0)","(1, 0, 1, 7)",9.308855829684795,3.979083733474762,7
"(1, 0, 1)","(0, 0, 1, 5)",9.577106121526848,4.905839469809337,5
"(1, 0, 2)","(0, 0, 1, 5)",9.665171037225145,4.474702676298134,5
"(1, 0, 1)","(0, 0, 1, 7)",9.696695539299087,4.291491299475064,7
"(1, 0, 1)","(1, 0, 1, 7)",9.712033606210376,4.22922774984621,7
"(2, 0, 2)","(1, 0, 0, 7)",9.761308882615394,4.8305126551361,7
"(1, 0, 1)","(1, 0, 0, 7)",9.786941334377206,3.52206859772314,7
"(1, 0, 2)","(1, 0, 1, 7)",9.865757203146215,5.195192337369618,7
"(2, 0, 0)","(0, 0, 1, 5)",9.884116560231574,5.1590502487346175,5
"(1, 0, 2)","(1, 0, 0, 7)",9.895384408697309,4.3547472104257405,7
"(2, 0, 0)","(1, 0, 0, 7)",9.895986883477333,4.0245032156633025,7
"(1, 0, 2)","(0, 0, 1, 7)",9.954463251260316,5.249942611026045,7
"(2, 0, 0)","(0, 0, 1, 7)",10.00075078336338,3.2937282842416167,7
"(2, 0, 2)","(0, 0, 0, 10)",10.06590226322349,4.356851076431048,10
"(2, 0, 2)","(0, 0, 0, 5)",10.06590226322349,4.356851076431048,5
"(2, 0, 2)","(0, 0, 0, 7)",10.06590226322349,4.356851076431048,7
"(1, 0, 1)","(0, 0, 0, 10)",10.076889615521287,3.9469423047735672,10
"(1, 0, 1)","(0, 0, 0, 7)",10.076889615521287,3.9469423047735672,7
"(1, 0, 1)","(0, 0, 0, 5)",10.076889615521287,3.9469423047735672,5
