order,seasonal,score,score_std,seasonal_period
"(1, 0, 1)","(1, 1, 0, 10)",7.031358876310173,2.0349394930984346,10
"(2, 0, 0)","(1, 1, 0, 10)",7.08652380658146,1.8610451798393908,10
"(1, 0, 2)","(1, 1, 0, 7)",7.118058638394445,1.9873759248333822,7
"(1, 0, 1)","(1, 1, 0, 7)",7.371728428381357,1.7264601276449594,7
"(1, 0, 0)","(1, 1, 0, 10)",7.458566672109885,1.6859414111079702,10
"(2, 0, 1)","(0, 1, 0, 10)",7.497760367965893,2.0541613689785,10
"(1, 0, 2)","(0, 1, 0, 10)",7.577174084849294,2.0336952851914267,10
"(1, 0, 2)","(1, 1, 0, 5)",7.608015830323808,1.5616921666352934,5
"(2, 0, 1)","(1, 1, 0, 5)",7.629475809560205,1.563937392133475,5
"(1, 0, 1)","(0, 1, 0, 10)",7.717437829306043,2.027514087976432,10
"(1, 0, 1)","(1, 1, 0, 5)",7.734312824788797,1.593942583733623,5
"(2, 0, 2)","(1, 1, 0, 7)",7.778044400572763,1.152985138068243,7
"(2, 0, 0)","(0, 1, 0, 10)",7.837833551840052,2.04357287857883,10
"(2, 0, 0)","(1, 1, 0, 5)",7.871275256400921,1.6546239233771702,5
"(1, 0, 0)","(0, 1, 0, 10)",7.948209129085853,2.058828135420069,10
"(1, 1, 1)","(1, 0, 1, 5)",7.953651042835525,1.3249322940680024,5
"(2, 0, 0)","(1, 1, 0, 7)",7.963661999472431,1.7550248404416016,7
"(1, 0, 0)","(1, 1, 0, 5)",7.981362109251269,1.7652602023350918,5
"(2, 1, 2)","(1, 0, 1, 5)",8.006997138410489,1.3624701352211166,5
"(0, 1, 1)","(1, 0, 1, 5)",8.061762267643127,1.1823577024311824,5
