order,seasonal,score,score_std,seasonal_period
"(2, 0, 2)","(0, 0, 1, 20)",20.79623971229471,14.126450667510131,20
"(2, 0, 2)","(1, 0, 1, 5)",21.19845953823795,15.588820789489079,5
"(1, 0, 2)","(0, 0, 1, 20)",21.78794759318765,13.95571990463859,20
"(1, 0, 0)","(1, 0, 1, 20)",22.098672496588986,13.04841467114951,20
"(1, 0, 2)","(1, 0, 0, 20)",22.266016397064536,14.096987246578022,20
"(1, 0, 0)","(0, 0, 1, 20)",22.34572093562048,14.09225588754335,20
"(1, 0, 0)","(1, 0, 0, 20)",22.382757214258163,14.119303340669601,20
"(2, 0, 1)","(1, 0, 1, 20)",22.398473235889046,13.26435682335227,20
"(1, 0, 2)","(1, 0, 1, 20)",22.73040396620767,11.120064687051595,20
"(0, 1, 0)","(1, 0, 1, 7)",22.78437823381297,6.941920183374539,7
"(2, 0, 0)","(1, 0, 1, 20)",22.78737061023104,12.926943689453752,20
"(1, 1, 0)","(1, 0, 1, 7)",22.844949239462736,6.918279036094456,7
"(2, 1, 0)","(1, 0, 0, 7)",22.90574221539121,7.352268824991001,7
"(2, 1, 2)","(1, 0, 0, 7)",22.919391885055422,7.448865350361881,7
"(2, 1, 0)","(1, 0, 1, 7)",22.92833398574408,7.374664264426555,7
"(2, 1, 0)","(0, 0, 1, 7)",22.9635298500276,7.371431193038166,7
"(1, 0, 1)","(1, 0, 1, 20)",23.00294098802892,13.11706724038909,20
"(1, 1, 1)","(1, 0, 1, 7)",23.00547212313269,7.169686912535139,7
"(0, 1, 2)","(1, 0, 0, 7)",23.010396700536507,7.304115826328219,7
"(2, 1, 1)","(1, 0, 0, 7)",23.020076432562934,7.507675232178068,7
