order,seasonal,score,score_std,seasonal_period
"(2, 1, 2)","(0, 0, 0, 5)",4.656151931883257,1.5580636891648172,5
"(2, 1, 2)","(0, 0, 0, 7)",4.656151931883257,1.5580636891648172,7
"(2, 1, 2)","(0, 0, 0, 20)",4.656151931883257,1.5580636891648172,20
"(2, 1, 2)","(1, 0, 1, 7)",4.702126970802296,1.577262768561207,7
"(2, 1, 2)","(0, 0, 1, 7)",4.704208580168781,1.5794438338188417,7
"(2, 1, 2)","(1, 0, 0, 7)",4.70767039291505,1.5830562871942526,7
"(2, 1, 2)","(0, 0, 1, 20)",4.735841084869373,1.5818951419255176,20
"(2, 1, 2)","(1, 0, 0, 20)",4.7372031351515735,1.5763316655120798,20
"(2, 1, 2)","(1, 0, 1, 20)",4.747196571554224,1.5648982650829208,20
"(2, 1, 2)","(1, 0, 0, 5)",4.904673565830673,1.4960522460931858,5
"(2, 1, 2)","(0, 0, 1, 5)",4.911530559172225,1.4597166042481173,5
"(2, 1, 2)","(1, 0, 1, 5)",4.947147915478845,1.4435306712843,5
"(0, 1, 2)","(0, 0, 1, 5)",4.970988521143507,1.411919537414998,5
"(2, 1, 1)","(0, 0, 1, 5)",4.972429670040268,1.409115763856734,5
"(2, 1, 0)","(0, 0, 1, 5)",4.972630466989586,1.4112203727409782,5
"(2, 1, 1)","(1, 0, 0, 5)",4.9753937574992415,1.4055346969788785,5
"(0, 1, 2)","(1, 0, 0, 5)",4.975996035957336,1.4064037641864584,5
"(0, 1, 2)","(1, 0, 1, 5)",4.976793583875058,1.4025740337337262,5
"(2, 1, 0)","(1, 0, 0, 5)",4.978332894994205,1.4058439675049053,5
"(2, 1, 0)","(1, 0, 1, 5)",4.978479227338788,1.4030374410533633,5
