order,seasonal,score,score_std,seasonal_period
"(0, 1, 0)","(0, 0, 0, 5)",2.0071501633742095,0.8653498872017396,5
"(0, 1, 0)","(0, 0, 0, 10)",2.0071501633742095,0.8653498872017396,10
"(0, 1, 1)","(0, 0, 0, 10)",2.1009481186589665,0.9852640835285883,10
"(0, 1, 1)","(0, 0, 0, 5)",2.1009481186589665,0.9852640835285883,5
"(1, 1, 1)","(0, 0, 0, 5)",2.1135951273676294,1.0013178853830829,5
"(1, 1, 1)","(0, 0, 0, 10)",2.1135951273676294,1.0013178853830829,10
"(1, 1, 0)","(0, 0, 0, 10)",2.129497275517019,1.0261602052858458,10
"(1, 1, 0)","(0, 0, 0, 5)",2.129497275517019,1.0261602052858458,5
"(0, 2, 1)","(0, 0, 0, 5)",3.381814655531292,0.1623556037751291,5
"(0, 2, 1)","(0, 0, 0, 10)",3.381814655531292,0.1623556037751291,10
"(1, 2, 1)","(0, 0, 0, 10)",4.264309264144642,0.7628260832265413,10
"(1, 2, 1)","(0, 0, 0, 5)",4.264309264144642,0.7628260832265413,5
"(1, 1, 0)","(0, 1, 0, 10)",7.54505206856495,6.0630302831544345,10
"(1, 1, 1)","(0, 1, 0, 10)",7.571009979276906,6.262693114803487,10
"(0, 1, 1)","(0, 1, 0, 10)",7.586071747704004,6.4020780584453645,10
"(0, 1, 0)","(0, 1, 0, 10)",8.497168982092324,5.685737776631675,10
"(1, 2, 1)","(0, 1, 0, 5)",8.651762723540363,3.083289992957641,5
"(0, 2, 1)","(0, 1, 0, 5)",11.382157838722348,3.3746441315191817,5
"(1, 2, 1)","(0, 1, 0, 10)",13.648445795746033,5.552973936489635,10
"(0, 1, 0)","(0, 1, 0, 5)",14.241690798024296,9.866164412078156,5
