Company,Company_Name,Best_Model,SARIMAX_MAE,SARIMAX_RMSE,SARIMAX_MAPE,XGBoost_MAE,XGBoost_RMSE,XGBoost_MAPE,Ensemble_MAPE,Best_Order,Best_Seasonal,CV_MAPE,Training_Size,Testing_Size,Use_Log,Use_Diff,Model_Path,Plot_Path
MCPL.N0000,Mahaweli Coconut Plantations PLC,XGBoost,5.14,5.93,12.29,2.7,4.75,5.44,,"(1, 0, 1)","(1, 1, 0, 10)",7.03,648,163,False,False,price_models_enhanced/MCPL.N0000_xgboost.joblib,N/A
WATA.N0000,Watawala Plantations PLC,XGBoost,90.46,97.05,274.3,35.61,37.6,108.74,,"(1, 1, 0)","(0, 0, 0, 5)",1.43,721,181,True,False,price_models_enhanced/WATA.N0000_xgboost.joblib,N/A
AGPL.N0000,Agarapatana Plantations PLC,XGBoost,1.94,2.08,9.25,1.93,2.19,8.96,,"(2, 1, 1)","(1, 0, 1, 20)",4.53,409,103,True,False,price_models_enhanced/AGPL.N0000_xgboost.joblib,N/A
HAPU.N0000,Hapugastenne Plantations PLC ,XGBoost,8.84,9.95,17.8,0.97,1.69,1.63,,"(2, 1, 2)","(0, 1, 0, 10)",17.01,678,170,False,False,price_models_enhanced/HAPU.N0000_xgboost.joblib,N/A
KOTA.N0000,Kotagala Plantations PLC,XGBoost,0.65,0.75,7.08,0.13,0.17,1.43,,"(2, 0, 2)","(0, 0, 1, 5)",8.65,724,182,False,False,price_models_enhanced/KOTA.N0000_xgboost.joblib,N/A
BFL.N0000,Bairaha Farms PLC,XGBoost,43.32,64.71,17.46,20.79,48.0,6.42,,"(1, 1, 1)","(0, 0, 0, 5)",2.21,722,181,True,False,price_models_enhanced/BFL.N0000_xgboost.joblib,N/A
RWSL.N0000,Raigam Wayamba Salterns PLC ,SARIMAX,5.59,8.55,29.84,6.01,8.92,31.79,,"(2, 1, 2)","(0, 0, 0, 5)",4.66,723,181,True,False,price_models_enhanced/RWSL.N0000_sarimax.joblib,N/A
DIPP.N0000,Dipped Products PLC,XGBoost,5.15,6.42,8.52,2.1,3.1,3.59,,"(1, 0, 1)","(1, 0, 1, 7)",3.93,724,181,True,False,price_models_enhanced/DIPP.N0000_xgboost.joblib,N/A
MGT.N0000,Hayleys Fabric PLC,XGBoost,8.76,9.43,20.02,0.52,0.79,1.17,,"(1, 1, 0)","(1, 0, 1, 7)",20.19,724,182,False,False,price_models_enhanced/MGT.N0000_xgboost.joblib,N/A
HEXP.N0000,Hayleys Fibre PLC,XGBoost,13.8,24.62,16.38,4.73,9.24,5.23,,"(1, 0, 1)","(1, 0, 1, 7)",9.02,717,180,False,False,price_models_enhanced/HEXP.N0000_xgboost.joblib,N/A
