Company,Company_Name,Best_Model,XGBoost_MAPE,SARIMAX_MAPE,Best_MAPE,Was_Split,Split_Ratio,Train_Size,Test_Size
MCPL.N0000,Mahaweli Coconut Plantations PLC,XGBoost,3.48,14.65,3.48,False,1.0,633,159
WATA.N0000,Watawala Plantations PLC,XGBoost,860.64,1823.85,860.64,True,5.0,706,177
AGPL.N0000,Agarapatana Plantations PLC,XGBoost,7.78,28.77,7.78,False,1.0,394,99
HAPU.N0000,Hapugastenne Plantations PLC,XGBoost,1.43,11.19,1.43,False,1.0,663,166
KOTA.N0000,Kotagala Plantations PLC,XGBoost,2.55,7.49,2.55,False,1.0,709,178
BFL.N0000,Bairaha Farms PLC,XGBoost,7.06,17.11,7.06,True,5.0,707,177
RWSL.N0000,Raigam Wayamba Salterns PLC,XGBoost,30.95,32.02,30.95,False,1.0,708,177
DIPP.N0000,Dipped Products PLC,XGBoost,3.29,6.65,3.29,False,1.0,708,178
MGT.N0000,Hayleys Fabric PLC,XGBoost,0.73,26.52,0.73,False,1.0,709,178
HEXP.N0000,Hayleys Fibre PLC,XGBoost,4.74,16.75,4.74,False,1.0,702,176
