Company,Company_Name,Best_Model,Best_MAPE,SARIMAX_MAPE,XGBoost_MAPE,XGBoost_Direction,Use_Log,Train_Size,Test_Size
MGT.N0000,Hayleys Fabric PLC,XGBoost,6.674837941174321,,6.674837941174321,44.134078212290504,False,724,182
HAPU.N0000,Hapugastenne Plantations PLC,XGBoost,7.801410569826572,,7.801410569826572,37.72455089820359,False,678,170
MCPL.N0000,Mahaweli Coconut Plantations PLC,XGBoost,8.170925796091465,,8.170925796091465,33.75,False,648,163
BFL.N0000,Bairaha Farms PLC,XGBoost,9.580103661038537,,9.580103661038537,38.764044943820224,True,722,181
KOTA.N0000,Kotagala Plantations PLC,XGBoost,11.222744585710318,,11.222744585710318,31.28491620111732,False,724,182
HEXP.N0000,Hayleys Fibre PLC,XGBoost,11.737078179847556,,11.737078179847556,23.163841807909606,False,717,180
DIPP.N0000,Dipped Products PLC,XGBoost,25.39173659963122,,25.39173659963122,2.793296089385475,True,724,181
RWSL.N0000,Raigam Wayamba Salterns PLC,XGBoost,36.0111206156837,,36.0111206156837,7.865168539325842,True,723,181
AGPL.N0000,Agarapatana Plantations PLC,XGBoost,37.16216678827522,,37.16216678827522,0.0,True,409,103
WATA.N0000,Watawala Plantations PLC,XGBoost,120.92504183275261,,120.92504183275261,1.6853932584269662,True,721,181
