order,seasonal,aic
"(1, 0, 0)","(0, 0, 0, 5)",32.644380246446545
"(1, 0, 1)","(0, 0, 0, 5)",34.532395636946205
"(2, 0, 0)","(0, 0, 0, 5)",34.6130681861989
"(2, 1, 1)","(0, 0, 0, 5)",35.69283967081748
"(2, 1, 2)","(0, 0, 0, 5)",35.76309542465003
"(1, 0, 0)","(0, 0, 1, 5)",36.64496362375658
"(1, 0, 2)","(0, 0, 0, 5)",36.76642886893953
"(2, 0, 1)","(0, 0, 0, 5)",37.60985444761121
"(2, 0, 0)","(0, 0, 1, 5)",37.83456728038314
"(1, 0, 1)","(1, 0, 0, 5)",37.88224412112484
"(2, 1, 1)","(0, 0, 1, 5)",38.288390646147164
"(1, 0, 1)","(0, 0, 1, 5)",38.43061873101718
"(2, 1, 1)","(1, 0, 0, 5)",38.4526450698405
"(2, 0, 0)","(1, 0, 0, 5)",38.55422361567349
"(2, 0, 2)","(0, 0, 0, 5)",40.52009472610854
"(2, 1, 2)","(0, 0, 1, 5)",40.532464833022004
"(2, 1, 2)","(1, 0, 0, 5)",40.70121523668067
"(1, 0, 2)","(0, 0, 1, 5)",40.80443056999238
"(0, 1, 0)","(0, 0, 0, 5)",40.99277320903845
"(1, 1, 0)","(0, 0, 0, 5)",41.291250169186554
"(0, 1, 1)","(0, 0, 0, 5)",41.942390009139245
"(2, 0, 1)","(0, 0, 1, 5)",42.25371588116215
"(2, 1, 2)","(1, 0, 1, 5)",42.50413329702708
"(1, 1, 2)","(0, 0, 0, 5)",42.51029151477755
"(0, 1, 2)","(0, 0, 0, 5)",43.44860337874819
"(2, 1, 0)","(0, 0, 0, 5)",43.70594388123021
"(2, 1, 1)","(1, 0, 1, 5)",43.74097318522912
"(1, 1, 1)","(0, 0, 0, 5)",43.92382171378301
"(0, 1, 0)","(1, 0, 0, 5)",44.317881623675646
"(0, 1, 1)","(1, 0, 0, 5)",44.56313319642855
"(0, 1, 0)","(0, 0, 1, 5)",45.051921271091686
"(1, 1, 0)","(0, 0, 1, 5)",45.349567832565256
"(1, 1, 0)","(1, 0, 0, 5)",45.37396927295151
"(2, 0, 2)","(0, 0, 1, 5)",45.48944015273753
"(0, 1, 1)","(0, 0, 1, 5)",46.18450223228368
