order,seasonal,aic
"(2, 1, 2)","(0, 0, 1, 5)",4092.6598100296433
"(2, 1, 2)","(1, 0, 0, 5)",4098.517232831866
"(2, 1, 2)","(1, 0, 1, 5)",4099.6422615482425
"(1, 1, 2)","(1, 0, 1, 5)",4099.662637337351
"(0, 1, 2)","(1, 0, 1, 5)",4105.44907010197
"(0, 1, 1)","(1, 0, 1, 5)",4107.480159259095
"(1, 1, 1)","(1, 0, 1, 5)",4108.8086696232685
"(2, 1, 0)","(1, 0, 1, 5)",4109.622663676818
"(0, 1, 0)","(1, 0, 1, 5)",4111.479493800754
"(1, 1, 0)","(1, 0, 1, 5)",4113.726082059017
"(2, 1, 1)","(1, 0, 1, 5)",4115.181811788764
"(2, 0, 2)","(1, 1, 1, 5)",4121.162911191044
"(1, 0, 2)","(0, 1, 1, 5)",4123.234052460888
"(2, 1, 2)","(0, 0, 0, 5)",4125.295951123053
"(0, 1, 2)","(0, 1, 1, 5)",4125.419538824934
"(2, 0, 2)","(0, 1, 1, 5)",4125.715638979081
"(1, 1, 2)","(0, 1, 1, 5)",4127.244606735241
"(1, 0, 2)","(1, 1, 1, 5)",4127.948853172239
"(1, 0, 1)","(0, 1, 1, 5)",4128.265954274116
"(0, 1, 2)","(1, 1, 1, 5)",4128.303156241267
"(0, 1, 1)","(0, 1, 1, 5)",4129.118303640535
"(2, 1, 2)","(0, 1, 1, 5)",4129.234522683099
"(2, 0, 1)","(0, 1, 1, 5)",4130.064244573341
"(1, 0, 1)","(1, 1, 1, 5)",4130.263675668866
"(2, 0, 0)","(1, 1, 1, 5)",4130.358132797781
"(1, 1, 1)","(0, 1, 1, 5)",4130.654040091846
"(1, 1, 2)","(1, 1, 1, 5)",4131.65532150648
"(2, 1, 2)","(1, 1, 1, 5)",4132.047173810083
"(2, 0, 1)","(1, 1, 1, 5)",4132.082199351844
"(2, 1, 1)","(0, 1, 1, 5)",4132.6044299518235
"(0, 1, 2)","(0, 0, 1, 5)",4133.071597454394
"(0, 1, 1)","(1, 1, 1, 5)",4133.866223544431
"(2, 0, 0)","(0, 1, 1, 5)",4134.354975396343
"(1, 0, 0)","(0, 1, 1, 5)",4134.814916227648
"(1, 1, 2)","(0, 0, 1, 5)",4135.064368394655
"(1, 1, 1)","(1, 1, 1, 5)",4135.239930789834
"(2, 1, 0)","(1, 1, 1, 5)",4135.581872810664
"(1, 1, 0)","(0, 1, 1, 5)",4135.99783459512
"(1, 0, 0)","(1, 1, 1, 5)",4136.8148606417035
"(2, 1, 1)","(1, 1, 1, 5)",4137.188207857673
"(2, 1, 0)","(0, 1, 1, 5)",4137.948330921684
"(0, 1, 0)","(0, 1, 1, 5)",4138.611049272362
"(0, 1, 1)","(0, 0, 1, 5)",4138.656831979904
"(2, 1, 0)","(1, 0, 0, 5)",4139.782130286127
"(1, 1, 1)","(0, 0, 1, 5)",4140.023380028983
