order,seasonal,aic
"(2, 1, 2)","(0, 0, 1, 5)",1851.051227601686
"(2, 1, 0)","(1, 0, 0, 5)",1851.0626756739418
"(2, 1, 1)","(0, 0, 1, 5)",1851.1840637501623
"(2, 1, 1)","(1, 0, 0, 5)",1851.192389321898
"(1, 1, 2)","(0, 0, 1, 5)",1852.6918860199874
"(2, 1, 0)","(0, 0, 1, 5)",1852.7238406772194
"(2, 1, 2)","(1, 0, 0, 5)",1852.989825497453
"(2, 1, 2)","(1, 0, 1, 5)",1853.0346878626485
"(2, 1, 0)","(1, 0, 1, 5)",1853.0417752728195
"(2, 1, 1)","(1, 0, 1, 5)",1853.1837421146963
"(0, 1, 2)","(0, 0, 1, 5)",1854.0441983325109
"(1, 1, 2)","(1, 0, 1, 5)",1854.6918765330706
"(0, 1, 2)","(1, 0, 1, 5)",1856.0006390606948
"(1, 1, 2)","(1, 0, 0, 5)",1856.0914072458245
"(0, 1, 1)","(0, 0, 1, 5)",1857.0280950437623
"(1, 1, 1)","(0, 0, 1, 5)",1857.2451906639772
"(0, 1, 1)","(1, 0, 1, 5)",1858.9577852487469
"(1, 1, 1)","(1, 0, 0, 5)",1858.9606734490565
"(1, 1, 1)","(1, 0, 1, 5)",1859.172524669485
"(0, 1, 2)","(1, 0, 0, 5)",1859.4015196825248
"(0, 1, 1)","(1, 0, 0, 5)",1860.5831734162812
"(1, 0, 2)","(0, 0, 1, 5)",1861.828754672893
"(2, 1, 0)","(0, 0, 0, 5)",1863.694215893859
"(2, 1, 1)","(0, 0, 0, 5)",1864.1108386144056
"(2, 1, 2)","(0, 0, 0, 5)",1864.2272974073485
"(1, 1, 2)","(0, 0, 0, 5)",1865.6292212616609
"(0, 1, 2)","(0, 0, 0, 5)",1866.5852912550245
"(2, 1, 2)","(1, 1, 1, 5)",1866.6491152987953
"(1, 1, 0)","(1, 0, 0, 5)",1866.7296072444076
"(1, 1, 0)","(0, 0, 1, 5)",1866.7378822921341
"(2, 1, 2)","(0, 1, 1, 5)",1867.0617912030577
"(2, 1, 1)","(0, 1, 1, 5)",1867.5069530204044
"(1, 1, 2)","(1, 1, 1, 5)",1867.9711849862297
"(2, 1, 0)","(1, 1, 1, 5)",1868.0221233465522
"(1, 1, 2)","(0, 1, 1, 5)",1868.2751711589121
"(2, 1, 1)","(1, 1, 1, 5)",1868.4861509034938
"(2, 0, 0)","(1, 0, 0, 5)",1868.6622889992868
"(1, 1, 0)","(1, 0, 1, 5)",1868.702152355543
"(0, 1, 2)","(1, 1, 1, 5)",1869.2456496190466
"(2, 0, 2)","(1, 1, 1, 5)",1869.3765583552508
"(0, 1, 2)","(0, 1, 1, 5)",1869.3807253283435
"(0, 1, 1)","(0, 0, 0, 5)",1869.5505655173379
"(2, 1, 0)","(0, 1, 1, 5)",1869.6374672923048
"(1, 0, 2)","(1, 1, 1, 5)",1869.8132637035048
"(1, 1, 1)","(0, 0, 0, 5)",1869.846179572885
"(1, 0, 2)","(0, 1, 1, 5)",1870.0797214202973
"(1, 0, 2)","(0, 0, 0, 5)",1870.236570428924
"(2, 0, 0)","(0, 0, 1, 5)",1870.288017716761
"(1, 0, 1)","(1, 1, 1, 5)",1872.455803880704
"(1, 0, 1)","(0, 1, 1, 5)",1872.4766616621728
"(2, 0, 1)","(1, 1, 1, 5)",1872.8730799419411
"(0, 1, 1)","(0, 1, 1, 5)",1872.8856096448421
"(1, 1, 1)","(0, 1, 1, 5)",1873.0660605309474
"(2, 0, 1)","(0, 1, 1, 5)",1873.0762251595233
"(0, 1, 1)","(1, 1, 1, 5)",1873.1058332587363
"(1, 0, 1)","(0, 0, 0, 5)",1873.1245684760902
"(1, 1, 1)","(1, 1, 1, 5)",1873.2430607332426
"(2, 0, 2)","(0, 1, 1, 5)",1873.506400287275
"(1, 1, 0)","(0, 0, 0, 5)",1879.1506085583756
"(2, 0, 0)","(1, 1, 1, 5)",1880.3209928195733
"(2, 0, 0)","(0, 0, 0, 5)",1881.0234739700086
"(2, 0, 0)","(0, 1, 1, 5)",1882.3584747175234
"(1, 1, 0)","(0, 1, 1, 5)",1882.7406177408282
"(1, 1, 0)","(1, 1, 1, 5)",1883.6816553478027
"(2, 0, 0)","(1, 0, 1, 5)",1892.9630657711978
"(0, 1, 0)","(0, 0, 1, 5)",1894.2982109303532
"(2, 0, 1)","(0, 0, 1, 5)",1895.2140341742102
