order,seasonal,aic
"(2, 1, 2)","(0, 0, 1, 5)",2821.619070798873
"(2, 1, 2)","(1, 0, 1, 5)",2821.9077440291494
"(1, 1, 2)","(0, 0, 1, 5)",2822.9936919530173
"(0, 1, 2)","(0, 0, 1, 5)",2823.393692607379
"(1, 1, 1)","(1, 0, 1, 5)",2824.1425422682933
"(1, 1, 1)","(0, 0, 1, 5)",2824.1898181058946
"(1, 1, 2)","(1, 0, 1, 5)",2824.7034322754876
"(2, 1, 1)","(0, 0, 1, 5)",2824.914115464172
"(2, 1, 1)","(1, 0, 0, 5)",2824.9917712456217
"(0, 1, 2)","(1, 0, 1, 5)",2825.2124710223634
"(2, 1, 2)","(1, 0, 0, 5)",2825.868059078023
"(2, 1, 1)","(1, 0, 1, 5)",2826.1364699637725
"(1, 1, 1)","(0, 1, 1, 5)",2827.8656282998895
"(1, 1, 2)","(0, 1, 1, 5)",2827.8912268003173
"(2, 1, 2)","(0, 1, 1, 5)",2828.351188075708
"(0, 1, 2)","(0, 1, 1, 5)",2828.4611670957183
"(2, 1, 0)","(1, 0, 0, 5)",2829.6365240896284
"(2, 1, 1)","(0, 1, 1, 5)",2829.772792878977
"(1, 1, 1)","(1, 1, 1, 5)",2829.8639692984843
"(2, 1, 2)","(1, 1, 1, 5)",2830.359677660575
"(1, 1, 1)","(1, 0, 0, 5)",2830.6792488177025
"(0, 1, 1)","(0, 0, 1, 5)",2830.715518400821
"(0, 1, 2)","(1, 1, 1, 5)",2831.083217224347
"(1, 0, 2)","(0, 1, 1, 5)",2831.0920071628198
"(2, 1, 0)","(1, 0, 1, 5)",2831.4672807425104
"(2, 1, 1)","(1, 1, 1, 5)",2831.7473027479837
"(1, 1, 2)","(1, 0, 0, 5)",2831.791687340413
"(1, 1, 2)","(1, 1, 1, 5)",2832.1352663341304
"(0, 1, 1)","(1, 0, 1, 5)",2832.4535943215187
"(2, 0, 1)","(1, 0, 0, 5)",2833.090680889524
"(2, 0, 1)","(0, 1, 1, 5)",2833.2356867913277
"(1, 0, 2)","(1, 1, 1, 5)",2834.4035778009447
"(0, 1, 1)","(0, 1, 1, 5)",2835.001597104907
"(2, 0, 2)","(1, 1, 1, 5)",2835.600617342263
"(2, 1, 0)","(0, 0, 1, 5)",2835.8869598510655
"(2, 0, 1)","(1, 1, 1, 5)",2836.1862378303576
"(0, 1, 2)","(1, 0, 0, 5)",2836.4917971245154
"(2, 0, 2)","(0, 1, 1, 5)",2836.7406085309985
"(2, 1, 0)","(1, 1, 1, 5)",2836.9296028577337
"(1, 0, 1)","(0, 1, 1, 5)",2837.8023022877887
"(1, 1, 0)","(1, 0, 0, 5)",2838.0562745875372
"(1, 1, 0)","(1, 0, 1, 5)",2838.089489119964
"(1, 1, 0)","(0, 0, 1, 5)",2838.1362554016473
"(0, 1, 1)","(1, 1, 1, 5)",2838.9975273760356
"(1, 0, 1)","(1, 1, 1, 5)",2839.799040588852
"(2, 1, 2)","(0, 0, 0, 5)",2839.990750710236
"(1, 1, 2)","(0, 0, 0, 5)",2840.047657358572
"(0, 1, 1)","(1, 0, 0, 5)",2840.6098371846456
"(2, 0, 0)","(1, 1, 1, 5)",2840.616800966653
"(1, 1, 0)","(0, 1, 1, 5)",2840.818934429036
"(0, 1, 0)","(1, 0, 1, 5)",2841.514944311245
"(2, 1, 0)","(0, 1, 1, 5)",2841.8126821213527
"(0, 1, 0)","(0, 0, 1, 5)",2841.9525197098583
"(1, 1, 1)","(0, 0, 0, 5)",2842.3301207642053
"(0, 1, 2)","(0, 0, 0, 5)",2842.400091094273
"(2, 0, 0)","(0, 1, 1, 5)",2842.681617567958
