order,seasonal,aic
"(1, 1, 2)","(0, 0, 1, 5)",2926.2349531536966
"(2, 1, 2)","(0, 0, 1, 5)",2926.920502940883
"(1, 1, 2)","(1, 0, 1, 5)",2927.597595823395
"(0, 1, 2)","(0, 0, 1, 5)",2927.8513669652634
"(2, 1, 1)","(1, 0, 0, 5)",2927.9465926297203
"(2, 1, 1)","(0, 0, 1, 5)",2928.399297462106
"(2, 1, 2)","(1, 0, 1, 5)",2928.4785893517887
"(1, 0, 2)","(1, 1, 1, 5)",2928.811956013825
"(0, 1, 2)","(1, 0, 1, 5)",2929.589400264113
"(2, 1, 0)","(1, 0, 0, 5)",2929.747660989957
"(2, 1, 2)","(1, 0, 0, 5)",2929.8951049059774
"(2, 1, 1)","(1, 0, 1, 5)",2929.9435040344324
"(2, 1, 2)","(1, 1, 1, 5)",2929.9750115285224
"(1, 1, 2)","(1, 1, 1, 5)",2930.037570639176
"(0, 1, 2)","(1, 1, 1, 5)",2931.3337618115684
"(2, 1, 0)","(1, 0, 1, 5)",2931.7248933551637
"(2, 0, 2)","(1, 1, 1, 5)",2932.0905353033136
"(0, 1, 1)","(0, 0, 1, 5)",2932.2066598577167
"(2, 1, 1)","(1, 1, 1, 5)",2932.849247704701
"(1, 1, 1)","(0, 0, 1, 5)",2933.0589391813282
"(1, 0, 1)","(1, 1, 1, 5)",2933.8727247959505
"(2, 1, 0)","(1, 1, 1, 5)",2933.9639601079343
"(2, 1, 2)","(0, 1, 1, 5)",2934.0741516583244
"(0, 1, 1)","(1, 0, 1, 5)",2934.091258488791
"(2, 1, 0)","(0, 0, 1, 5)",2934.3538335545286
"(1, 1, 2)","(1, 0, 0, 5)",2934.8240020891526
"(1, 1, 1)","(1, 0, 1, 5)",2934.970592357725
"(2, 0, 1)","(1, 1, 1, 5)",2934.9759857518898
"(2, 0, 0)","(1, 1, 1, 5)",2935.817648083781
"(0, 1, 1)","(1, 1, 1, 5)",2936.2364943301263
"(1, 0, 2)","(0, 1, 1, 5)",2936.4316024246127
"(2, 0, 2)","(0, 1, 1, 5)",2936.9587374498433
"(1, 1, 1)","(1, 1, 1, 5)",2937.0497447852686
"(1, 1, 1)","(1, 0, 0, 5)",2937.7535528850176
"(1, 0, 1)","(0, 0, 1, 5)",2937.8499692847076
"(1, 1, 0)","(1, 0, 0, 5)",2939.7104603752755
"(1, 1, 0)","(0, 0, 1, 5)",2939.791739545918
"(0, 1, 2)","(1, 0, 0, 5)",2939.90731172971
"(0, 1, 1)","(1, 0, 0, 5)",2940.4123469995066
"(2, 0, 0)","(1, 0, 0, 5)",2940.458119084312
"(0, 1, 2)","(0, 1, 1, 5)",2940.929237993213
"(1, 1, 2)","(0, 1, 1, 5)",2940.9657561282575
"(1, 0, 1)","(0, 1, 1, 5)",2940.998911390198
"(2, 0, 1)","(0, 1, 1, 5)",2941.266554813591
"(1, 1, 0)","(1, 0, 1, 5)",2941.6714928006318
"(2, 1, 1)","(0, 1, 1, 5)",2943.0453650625736
"(1, 1, 0)","(1, 1, 1, 5)",2943.7020287781384
"(2, 0, 0)","(0, 0, 1, 5)",2943.7030151986746
"(0, 1, 1)","(0, 1, 1, 5)",2946.275670540278
"(1, 1, 1)","(0, 1, 1, 5)",2946.3502465796796
"(2, 0, 0)","(0, 1, 1, 5)",2947.38742547082
"(2, 1, 0)","(0, 1, 1, 5)",2948.18580889193
"(1, 0, 0)","(1, 1, 1, 5)",2949.2550563256536
"(2, 1, 2)","(0, 0, 0, 5)",2949.9221899515187
"(0, 1, 0)","(0, 0, 1, 5)",2952.0111077766287
"(1, 1, 0)","(0, 1, 1, 5)",2953.50130677489
"(0, 1, 0)","(1, 0, 1, 5)",2953.6779947340465
"(0, 1, 0)","(1, 0, 0, 5)",2954.9135138216034
"(0, 1, 0)","(1, 1, 1, 5)",2955.158773228172
"(1, 0, 0)","(1, 0, 0, 5)",2955.806332435088
"(1, 0, 0)","(0, 0, 1, 5)",2956.0776504751348
"(1, 1, 2)","(0, 0, 0, 5)",2956.786137408615
"(0, 1, 2)","(0, 0, 0, 5)",2956.8345417833643
"(2, 1, 1)","(0, 0, 0, 5)",2957.8035017478883
"(2, 1, 0)","(0, 0, 0, 5)",2957.964354827349
"(1, 0, 0)","(0, 1, 1, 5)",2958.5492802389626
"(0, 1, 1)","(0, 0, 0, 5)",2962.065503367049
"(1, 1, 1)","(0, 0, 0, 5)",2962.0909726386067
"(0, 1, 0)","(0, 1, 1, 5)",2965.2015952268043
"(1, 1, 0)","(0, 0, 0, 5)",2968.1822055815255
"(2, 0, 0)","(0, 0, 0, 5)",2968.8688571167027
"(2, 0, 1)","(0, 0, 0, 5)",2977.1724453752663
"(0, 1, 0)","(0, 0, 0, 5)",2980.014437157948
"(1, 0, 0)","(0, 0, 0, 5)",2986.3428500695763
"(1, 0, 2)","(0, 0, 0, 5)",3017.293798875583
"(1, 0, 1)","(0, 0, 0, 5)",3041.1272912684003
"(2, 0, 2)","(1, 1, 0, 5)",3174.6864892167614
"(2, 0, 0)","(1, 1, 0, 5)",3177.1224316928
"(2, 0, 1)","(1, 1, 0, 5)",3179.05893536431
"(1, 0, 0)","(1, 1, 0, 5)",3179.5858284279147
"(1, 0, 1)","(1, 1, 0, 5)",3181.2720705873626
"(1, 0, 2)","(1, 1, 0, 5)",3182.7568396407387
"(1, 1, 1)","(1, 1, 0, 5)",3184.2524653182377
"(2, 1, 0)","(1, 1, 0, 5)",3221.9619266275777
"(2, 1, 1)","(1, 1, 0, 5)",3222.215191088936
"(1, 0, 1)","(1, 0, 0, 5)",3224.1876760171917
"(1, 1, 2)","(1, 1, 0, 5)",3228.4624526987195
"(0, 1, 2)","(1, 1, 0, 5)",3231.5060958724916
"(1, 1, 0)","(1, 1, 0, 5)",3233.1108041920716
"(0, 1, 1)","(1, 1, 0, 5)",3235.3162309244644
"(0, 1, 0)","(1, 1, 0, 5)",3243.508092890571
"(2, 1, 2)","(1, 1, 0, 5)",3243.7525184250926
"(2, 0, 2)","(0, 1, 0, 5)",3289.8906817052693
"(0, 0, 2)","(0, 1, 1, 5)",3307.753244417033
"(0, 0, 2)","(1, 1, 1, 5)",3308.508430751398
