order,seasonal,aic
"(2, 1, 2)","(0, 0, 1, 5)",-102.47279605403915
"(2, 1, 2)","(1, 0, 0, 5)",-102.04472205717481
"(1, 1, 0)","(0, 0, 0, 5)",-101.9583682450193
"(0, 1, 1)","(0, 0, 0, 5)",-101.81110578749465
"(2, 1, 2)","(0, 0, 0, 5)",-101.79235339793824
"(2, 1, 2)","(1, 0, 1, 5)",-100.58656801961922
"(0, 1, 0)","(0, 0, 0, 5)",-100.44706605526244
"(2, 1, 0)","(0, 0, 0, 5)",-100.39130602382176
"(1, 0, 1)","(0, 0, 0, 5)",-100.17014578537771
"(1, 1, 1)","(0, 0, 0, 5)",-100.01056664611421
"(2, 0, 0)","(0, 0, 0, 5)",-99.96292810302205
"(0, 1, 2)","(0, 0, 0, 5)",-99.95067526555432
"(1, 0, 0)","(0, 0, 0, 5)",-99.59245860641325
"(1, 0, 2)","(0, 0, 0, 5)",-98.31267965380194
"(1, 1, 2)","(0, 0, 0, 5)",-98.29740470926161
"(2, 1, 1)","(0, 0, 0, 5)",-98.03505672604224
"(0, 1, 1)","(1, 0, 0, 5)",-97.57091420527011
"(0, 1, 1)","(0, 0, 1, 5)",-97.0914322349159
"(1, 1, 0)","(0, 0, 1, 5)",-96.24796797054312
"(1, 1, 0)","(1, 0, 0, 5)",-96.2194842189306
"(2, 0, 2)","(0, 0, 0, 5)",-95.94594695458109
"(0, 1, 2)","(1, 0, 0, 5)",-95.92893547339123
"(0, 1, 1)","(1, 0, 1, 5)",-95.89010294685824
"(0, 1, 0)","(1, 0, 0, 5)",-95.74464457845913
"(2, 1, 0)","(1, 0, 0, 5)",-95.63954282375816
"(1, 0, 1)","(1, 0, 0, 5)",-95.57231067487183
"(2, 0, 1)","(0, 0, 0, 5)",-95.36367916371186
"(1, 1, 1)","(0, 0, 1, 5)",-95.25922630539286
"(2, 1, 1)","(1, 0, 1, 5)",-95.18374598414084
"(2, 1, 0)","(0, 0, 1, 5)",-95.03882840742386
"(2, 1, 1)","(0, 0, 1, 5)",-94.99558679020674
"(1, 1, 0)","(1, 0, 1, 5)",-94.68262828425742
"(0, 1, 0)","(0, 0, 1, 5)",-94.62999219917843
"(1, 1, 1)","(1, 0, 0, 5)",-94.62825182120926
"(1, 0, 1)","(0, 0, 1, 5)",-94.46390316664801
"(0, 1, 2)","(0, 0, 1, 5)",-94.33432178282325
"(2, 0, 0)","(1, 0, 0, 5)",-94.2209977046677
"(2, 1, 0)","(1, 0, 1, 5)",-94.20371999885825
"(2, 1, 1)","(1, 0, 0, 5)",-93.81722779490056
"(1, 0, 0)","(0, 0, 1, 5)",-93.77147940739808
"(1, 0, 0)","(1, 0, 0, 5)",-93.74521334129207
"(2, 0, 0)","(1, 0, 1, 5)",-93.48691893659311
"(1, 0, 2)","(0, 0, 1, 5)",-93.28207514248632
"(1, 1, 1)","(1, 0, 1, 5)",-93.26739274350062
"(1, 1, 2)","(1, 0, 0, 5)",-93.14510216279297
"(0, 1, 2)","(1, 0, 1, 5)",-93.02126737343724
"(0, 1, 0)","(1, 0, 1, 5)",-92.9902695327909
"(1, 1, 2)","(0, 0, 1, 5)",-92.50189789228442
"(1, 0, 0)","(1, 0, 1, 5)",-92.42644995217228
"(1, 0, 1)","(1, 0, 1, 5)",-92.29356514230885
"(2, 0, 2)","(0, 0, 1, 5)",-91.60558806201101
"(1, 0, 2)","(1, 0, 1, 5)",-91.58414761511654
"(1, 1, 2)","(1, 0, 1, 5)",-91.45483834220747
"(2, 0, 1)","(1, 0, 0, 5)",-90.7921822190007
"(2, 0, 2)","(1, 0, 0, 5)",-90.73936513325611
"(1, 0, 2)","(1, 0, 0, 5)",-90.6348067587153
"(2, 0, 1)","(1, 0, 1, 5)",-90.22662861154352
"(2, 0, 1)","(0, 0, 1, 5)",-90.05010794368111
"(2, 0, 2)","(1, 0, 1, 5)",-89.8047042058443
"(2, 0, 0)","(0, 0, 1, 5)",-88.82084863175676
"(1, 0, 1)","(0, 1, 1, 5)",-72.75481615098647
"(0, 1, 1)","(0, 1, 1, 5)",-72.73637648171399
"(2, 0, 0)","(0, 1, 1, 5)",-72.55161186065126
"(1, 0, 2)","(0, 1, 1, 5)",-72.05350973868167
"(1, 1, 0)","(0, 1, 1, 5)",-71.7664057722027
"(1, 0, 0)","(0, 1, 1, 5)",-71.06775309834376
"(1, 1, 1)","(0, 1, 1, 5)",-71.03611470079996
"(2, 0, 1)","(0, 1, 1, 5)",-70.88941786799556
"(1, 0, 1)","(1, 1, 1, 5)",-70.75462204791603
"(0, 1, 2)","(0, 1, 1, 5)",-70.67308147544915
"(0, 1, 0)","(0, 1, 1, 5)",-70.64036993742823
"(2, 0, 0)","(1, 1, 1, 5)",-70.57370699646694
"(2, 1, 0)","(0, 1, 1, 5)",-70.51337046221064
"(2, 0, 2)","(0, 1, 1, 5)",-70.08739534349709
"(1, 0, 2)","(1, 1, 1, 5)",-70.05304061128317
"(1, 1, 0)","(1, 1, 1, 5)",-69.76617718981252
"(2, 1, 0)","(1, 1, 1, 5)",-69.45293585750863
"(2, 1, 1)","(0, 1, 1, 5)",-69.37808804275701
"(1, 0, 0)","(1, 1, 1, 5)",-69.06743145576078
"(2, 0, 1)","(1, 1, 1, 5)",-68.67866650254525
"(1, 1, 2)","(0, 1, 1, 5)",-68.61903371681767
"(0, 1, 1)","(1, 1, 1, 5)",-67.83791069616022
"(2, 0, 2)","(1, 1, 1, 5)",-67.74572632260865
"(1, 1, 1)","(1, 1, 1, 5)",-67.55170650012712
"(2, 1, 1)","(1, 1, 1, 5)",-67.15065754784798
"(1, 1, 2)","(1, 1, 1, 5)",-66.45133770645458
"(0, 1, 2)","(1, 1, 1, 5)",-65.77103523822575
"(2, 1, 2)","(0, 1, 1, 5)",-65.70362454508106
"(0, 1, 0)","(1, 1, 1, 5)",-65.08147208102105
"(2, 1, 2)","(1, 1, 1, 5)",-63.09587472061732
"(1, 0, 1)","(1, 1, 0, 5)",183.6374137819094
"(2, 0, 0)","(1, 1, 0, 5)",184.35365932485968
"(2, 0, 2)","(1, 1, 0, 5)",185.36662940427294
"(1, 0, 2)","(1, 1, 0, 5)",185.63664434719112
"(2, 0, 1)","(1, 1, 0, 5)",186.0822948210399
"(1, 0, 0)","(1, 1, 0, 5)",189.23501289432647
"(1, 1, 2)","(1, 1, 0, 5)",192.6855027215582
"(2, 1, 1)","(1, 1, 0, 5)",192.8371955702982
"(1, 1, 1)","(1, 1, 0, 5)",198.50462549274783
"(2, 1, 2)","(1, 1, 0, 5)",198.97360505394803
"(2, 1, 0)","(1, 1, 0, 5)",224.3611733077765
"(0, 1, 2)","(1, 1, 0, 5)",225.4710754894591
"(0, 1, 0)","(1, 1, 0, 5)",228.68381386199098
"(0, 1, 1)","(1, 1, 0, 5)",229.58233765010075
"(1, 1, 0)","(1, 1, 0, 5)",229.97168852866733
"(2, 0, 1)","(0, 1, 0, 5)",312.6272563384772
"(2, 0, 2)","(0, 1, 0, 5)",314.0311021081681
"(2, 0, 0)","(0, 1, 0, 5)",314.05974323337966
"(1, 0, 2)","(0, 1, 0, 5)",315.4070003274894
"(1, 0, 1)","(0, 1, 0, 5)",318.8034070145326
"(2, 1, 1)","(0, 1, 0, 5)",322.17263380469956
"(1, 1, 2)","(0, 1, 0, 5)",326.6444321152515
"(1, 0, 0)","(0, 1, 0, 5)",336.81051820598185
