order,seasonal,aic
"(2, 1, 2)","(1, 0, 1, 5)",2068.699206651896
"(2, 1, 2)","(0, 1, 1, 5)",2074.943436362796
"(0, 1, 2)","(1, 1, 1, 5)",2081.8061990827764
"(1, 1, 2)","(1, 1, 1, 5)",2083.068143127399
"(2, 1, 2)","(1, 1, 1, 5)",2083.2039520025382
"(0, 1, 2)","(0, 1, 1, 5)",2085.6887210448176
"(1, 1, 2)","(0, 1, 1, 5)",2086.254036179583
"(1, 1, 1)","(0, 1, 1, 5)",2087.8558872224726
"(2, 0, 1)","(0, 1, 1, 5)",2088.0522520263717
"(1, 0, 2)","(1, 1, 1, 5)",2088.2278022154246
"(1, 1, 1)","(1, 1, 1, 5)",2089.7610317820318
"(2, 1, 1)","(0, 1, 1, 5)",2089.8555493857184
"(2, 0, 1)","(1, 1, 1, 5)",2090.0521565118524
"(2, 1, 2)","(0, 0, 1, 5)",2090.577415747642
"(2, 1, 1)","(1, 1, 1, 5)",2091.462012371373
"(0, 1, 2)","(0, 0, 1, 5)",2092.293585639499
"(0, 1, 2)","(1, 0, 1, 5)",2092.904470694496
"(1, 0, 2)","(0, 1, 1, 5)",2093.9416358064755
"(1, 1, 2)","(0, 0, 1, 5)",2094.1724156979576
"(2, 0, 2)","(0, 1, 1, 5)",2094.4172456390124
"(1, 1, 2)","(1, 0, 1, 5)",2094.4780930659135
"(1, 0, 1)","(0, 1, 1, 5)",2094.779373334131
"(0, 1, 1)","(0, 1, 1, 5)",2095.4141549554406
"(2, 0, 2)","(1, 1, 1, 5)",2096.447023165021
"(2, 1, 1)","(1, 0, 0, 5)",2097.1462378851706
"(1, 1, 1)","(1, 0, 1, 5)",2097.3933627085244
"(1, 1, 1)","(0, 0, 1, 5)",2097.550107016251
"(2, 1, 1)","(0, 0, 1, 5)",2098.643242476628
"(1, 0, 1)","(1, 1, 1, 5)",2099.069437690679
"(0, 1, 1)","(1, 1, 1, 5)",2099.716798189835
"(2, 1, 1)","(1, 0, 1, 5)",2099.7505267310416
"(2, 1, 2)","(1, 0, 0, 5)",2101.5076751562447
"(2, 1, 0)","(1, 1, 1, 5)",2103.4285785877896
"(0, 1, 1)","(1, 0, 1, 5)",2108.3479962527254
"(0, 1, 1)","(0, 0, 1, 5)",2109.63185803417
"(1, 1, 1)","(1, 0, 0, 5)",2110.4523477626044
"(2, 1, 0)","(0, 1, 1, 5)",2110.543832619286
"(2, 0, 0)","(1, 1, 1, 5)",2111.891125686864
"(2, 1, 0)","(1, 0, 0, 5)",2112.123072494872
"(1, 1, 2)","(1, 0, 0, 5)",2112.379617795864
"(1, 1, 0)","(0, 1, 1, 5)",2112.8565741708453
"(2, 1, 0)","(1, 0, 1, 5)",2113.4040005746
"(0, 1, 2)","(1, 0, 0, 5)",2114.4022252061604
"(2, 1, 2)","(0, 0, 0, 5)",2114.8658211942893
"(1, 1, 0)","(1, 1, 1, 5)",2117.682552261803
"(2, 0, 0)","(0, 1, 1, 5)",2118.3154416788466
"(0, 1, 2)","(0, 0, 0, 5)",2119.4854500526512
"(1, 1, 2)","(0, 0, 0, 5)",2120.329381520552
"(1, 1, 1)","(0, 0, 0, 5)",2121.4997057001337
"(2, 0, 2)","(0, 0, 1, 5)",2121.899469464888
"(2, 1, 1)","(0, 0, 0, 5)",2123.4996150712873
"(1, 0, 2)","(0, 0, 0, 5)",2123.9993317843455
"(2, 1, 0)","(0, 0, 1, 5)",2124.163820353433
"(0, 1, 1)","(1, 0, 0, 5)",2124.975026799043
"(1, 0, 1)","(0, 0, 1, 5)",2128.4777497316572
"(1, 1, 0)","(1, 0, 1, 5)",2129.359560446559
"(0, 1, 1)","(0, 0, 0, 5)",2131.869088997294
"(1, 0, 1)","(1, 0, 0, 5)",2132.379306995259
"(2, 1, 0)","(0, 0, 0, 5)",2136.2970468364124
"(1, 1, 0)","(0, 0, 1, 5)",2138.0183676401784
"(1, 1, 0)","(1, 0, 0, 5)",2138.1235278261815
"(2, 0, 0)","(1, 0, 0, 5)",2139.3279204734913
"(2, 0, 0)","(0, 0, 1, 5)",2142.434613958945
"(1, 0, 1)","(0, 0, 0, 5)",2143.1872671488045
"(1, 1, 0)","(0, 0, 0, 5)",2151.2455538134163
"(2, 0, 2)","(0, 0, 0, 5)",2151.4180821433124
"(0, 1, 0)","(1, 1, 1, 5)",2151.5726924679284
"(2, 0, 0)","(0, 0, 0, 5)",2152.3162065397028
"(2, 0, 1)","(0, 0, 1, 5)",2152.743354149921
"(1, 0, 0)","(1, 1, 1, 5)",2153.097189763779
"(1, 0, 0)","(0, 1, 1, 5)",2153.5869040152193
"(0, 1, 0)","(0, 1, 1, 5)",2154.7428980762456
"(0, 1, 0)","(1, 0, 1, 5)",2160.665965254215
"(0, 1, 0)","(0, 0, 1, 5)",2170.0416196414326
"(0, 1, 0)","(1, 0, 0, 5)",2172.89003210319
"(1, 0, 0)","(0, 0, 1, 5)",2174.563620256453
"(1, 0, 0)","(1, 0, 1, 5)",2181.795697394779
"(0, 1, 0)","(0, 0, 0, 5)",2187.975364473671
"(1, 0, 0)","(0, 0, 0, 5)",2195.900057475608
"(2, 0, 0)","(1, 1, 0, 5)",2281.6308426678943
"(2, 0, 1)","(1, 1, 0, 5)",2283.1377735525125
"(2, 0, 2)","(1, 1, 0, 5)",2284.991261667318
"(2, 1, 1)","(1, 1, 0, 5)",2287.231485670612
"(2, 1, 2)","(1, 1, 0, 5)",2288.5409926638945
"(1, 0, 1)","(1, 1, 0, 5)",2290.2385607466504
"(1, 0, 2)","(1, 1, 0, 5)",2292.17291282296
"(1, 1, 1)","(1, 1, 0, 5)",2295.5987022375807
"(1, 0, 0)","(1, 1, 0, 5)",2297.903406127677
"(1, 1, 2)","(1, 1, 0, 5)",2307.129945244026
"(0, 1, 2)","(1, 1, 0, 5)",2339.3427281349254
"(2, 1, 0)","(1, 1, 0, 5)",2339.7088898930733
