order,seasonal,aic
"(0, 1, 2)","(0, 0, 1, 5)",1880.4593594533844
"(2, 1, 0)","(1, 0, 0, 5)",1881.666701570533
"(1, 1, 2)","(0, 0, 1, 5)",1881.770356890665
"(0, 1, 2)","(1, 0, 1, 5)",1881.8161390377604
"(2, 1, 0)","(1, 0, 1, 5)",1882.9463667772554
"(2, 1, 1)","(0, 0, 1, 5)",1883.1370769281652
"(1, 1, 2)","(1, 0, 1, 5)",1883.188237213557
"(2, 1, 1)","(1, 0, 0, 5)",1883.5558003908095
"(2, 1, 2)","(0, 0, 1, 5)",1883.5735552977965
"(2, 1, 0)","(0, 0, 1, 5)",1883.6055197562566
"(2, 1, 1)","(1, 0, 1, 5)",1884.838152068482
"(2, 1, 2)","(1, 0, 1, 5)",1885.015219105598
"(1, 1, 2)","(1, 0, 0, 5)",1885.330710994207
"(2, 1, 2)","(1, 0, 0, 5)",1885.3413079017414
"(1, 1, 1)","(0, 0, 1, 5)",1885.4217834222113
"(0, 1, 2)","(1, 0, 0, 5)",1885.776182087683
"(1, 1, 1)","(1, 0, 1, 5)",1886.4974654051991
"(1, 1, 1)","(1, 0, 0, 5)",1888.022258805739
"(0, 1, 1)","(0, 0, 1, 5)",1888.2022540760574
"(0, 1, 1)","(1, 0, 1, 5)",1889.0794663181603
"(0, 1, 1)","(1, 0, 0, 5)",1892.2215995192182
"(0, 1, 2)","(0, 0, 0, 5)",1892.4194220028562
"(0, 1, 2)","(0, 1, 1, 5)",1892.5288388272488
"(1, 1, 0)","(0, 0, 1, 5)",1892.9916059446873
"(1, 1, 2)","(0, 0, 0, 5)",1893.213295944814
"(1, 1, 0)","(1, 0, 0, 5)",1893.2666752621592
"(1, 1, 2)","(0, 1, 1, 5)",1893.384245630135
"(0, 1, 2)","(1, 1, 1, 5)",1893.489532400733
"(2, 1, 0)","(0, 0, 0, 5)",1893.8851576464865
"(1, 1, 0)","(1, 0, 1, 5)",1894.1414442384407
"(2, 1, 2)","(0, 0, 0, 5)",1895.194370232302
"(1, 1, 2)","(1, 1, 1, 5)",1895.223698441544
"(2, 1, 2)","(0, 1, 1, 5)",1895.3804790500483
"(2, 1, 0)","(1, 1, 1, 5)",1895.3962509356602
"(2, 1, 1)","(0, 0, 0, 5)",1895.535110342054
"(1, 0, 2)","(0, 1, 1, 5)",1896.1216249924064
"(2, 1, 1)","(0, 1, 1, 5)",1896.24448054159
"(2, 0, 0)","(0, 0, 1, 5)",1896.5672629541905
"(2, 1, 2)","(1, 1, 1, 5)",1896.596326889337
"(2, 0, 2)","(0, 1, 1, 5)",1897.0533103457367
"(2, 1, 1)","(1, 1, 1, 5)",1897.317618620736
"(1, 0, 2)","(1, 1, 1, 5)",1897.420527561866
"(1, 1, 1)","(0, 0, 0, 5)",1898.0130216241469
"(1, 1, 1)","(0, 1, 1, 5)",1898.4661885826754
"(2, 1, 0)","(0, 1, 1, 5)",1898.659786110121
"(2, 0, 2)","(1, 1, 1, 5)",1898.729669737067
"(1, 1, 1)","(1, 1, 1, 5)",1899.4590168903878
"(0, 1, 0)","(0, 0, 1, 5)",1900.021339051639
"(0, 1, 1)","(0, 0, 0, 5)",1900.1528464292658
"(0, 1, 1)","(0, 1, 1, 5)",1900.725843719024
"(0, 1, 0)","(1, 0, 1, 5)",1901.6289120233216
"(0, 1, 0)","(1, 0, 0, 5)",1901.8466897939406
"(0, 1, 1)","(1, 1, 1, 5)",1902.2136984740555
"(2, 0, 1)","(0, 1, 1, 5)",1902.30727679923
"(1, 0, 0)","(0, 0, 1, 5)",1903.60276425222
"(1, 0, 0)","(1, 0, 0, 5)",1903.7371501334674
"(2, 0, 1)","(1, 1, 1, 5)",1904.3316153973565
"(1, 0, 1)","(0, 1, 1, 5)",1904.4407165413786
"(1, 1, 0)","(0, 0, 0, 5)",1904.6252147978753
"(1, 1, 0)","(0, 1, 1, 5)",1905.7536248033693
"(2, 0, 0)","(0, 0, 0, 5)",1906.5884518186124
"(1, 0, 1)","(1, 1, 1, 5)",1906.9666698533615
"(1, 1, 0)","(1, 1, 1, 5)",1908.5385435851083
