order,seasonal,aic
"(0, 1, 1)","(1, 0, 0, 5)",-346.5102007852478
"(2, 1, 2)","(1, 0, 0, 5)",-345.5975990631292
"(0, 1, 2)","(1, 0, 0, 5)",-345.34191001996373
"(1, 1, 2)","(1, 0, 0, 5)",-344.99203324728956
"(2, 1, 2)","(0, 0, 1, 5)",-344.8853382013891
"(1, 1, 0)","(1, 0, 0, 5)",-344.7137932817309
"(1, 1, 1)","(1, 0, 0, 5)",-344.62831526300016
"(1, 1, 0)","(0, 0, 1, 5)",-344.61176319824983
"(0, 1, 1)","(0, 0, 1, 5)",-343.8096899075222
"(2, 0, 1)","(0, 0, 1, 5)",-343.6121953137705
"(2, 0, 0)","(0, 0, 1, 5)",-343.57072003456136
"(1, 1, 2)","(0, 0, 1, 5)",-343.34425319454397
"(1, 1, 1)","(0, 0, 1, 5)",-343.2267634141424
"(2, 1, 0)","(0, 0, 1, 5)",-343.0261127086641
"(2, 1, 2)","(1, 0, 1, 5)",-342.96670707557405
"(1, 1, 0)","(1, 0, 1, 5)",-342.78679760431066
"(2, 0, 0)","(1, 0, 0, 5)",-342.7534513270001
"(0, 1, 0)","(1, 0, 0, 5)",-342.0999159855953
"(2, 1, 0)","(1, 0, 0, 5)",-341.862694919405
"(0, 1, 1)","(1, 0, 1, 5)",-341.85037430428173
"(1, 1, 1)","(1, 0, 1, 5)",-341.5764249898316
"(1, 1, 2)","(1, 0, 1, 5)",-341.3907335467052
"(0, 1, 2)","(0, 0, 1, 5)",-341.1467875256772
"(0, 1, 0)","(0, 0, 1, 5)",-340.85016288407223
"(2, 0, 1)","(1, 0, 0, 5)",-340.6569114535914
"(2, 1, 1)","(1, 0, 0, 5)",-340.4281509838313
"(1, 0, 2)","(0, 0, 1, 5)",-340.38590393323716
"(2, 1, 1)","(0, 0, 1, 5)",-340.2616838308361
"(1, 0, 0)","(1, 0, 0, 5)",-340.1551052912476
"(1, 0, 0)","(0, 0, 1, 5)",-340.10689374767156
"(2, 1, 0)","(1, 0, 1, 5)",-339.8728605218814
"(0, 1, 2)","(1, 0, 1, 5)",-339.48985991125346
"(0, 1, 0)","(1, 0, 1, 5)",-338.88779631435955
"(2, 1, 1)","(1, 0, 1, 5)",-338.38108843178884
"(2, 1, 2)","(0, 0, 0, 5)",-335.1725324751487
"(1, 1, 2)","(0, 0, 0, 5)",-333.20681083517206
"(2, 0, 1)","(0, 0, 0, 5)",-332.36458537592716
"(1, 1, 1)","(0, 0, 0, 5)",-332.19488776696556
