order,seasonal,aic
"(2, 1, 2)","(1, 0, 1, 5)",3459.1529895830145
"(2, 1, 2)","(0, 0, 1, 5)",3460.9517298926535
"(2, 1, 2)","(1, 0, 0, 5)",3462.932229038677
"(1, 1, 2)","(0, 0, 1, 5)",3485.1217184205684
"(0, 1, 2)","(0, 0, 1, 5)",3486.5699384932295
"(1, 1, 2)","(1, 0, 1, 5)",3486.7915499428896
"(2, 0, 2)","(1, 1, 1, 5)",3486.8824740713276
"(0, 1, 2)","(1, 0, 1, 5)",3488.350943341821
"(1, 0, 2)","(1, 1, 1, 5)",3494.152793618796
"(2, 1, 2)","(0, 1, 1, 5)",3496.386607001173
"(2, 1, 0)","(1, 0, 0, 5)",3498.0217783876433
"(1, 1, 2)","(1, 1, 1, 5)",3498.1144549907262
"(0, 1, 2)","(1, 1, 1, 5)",3498.593241510206
"(2, 0, 0)","(1, 1, 1, 5)",3498.777911846757
"(2, 1, 2)","(1, 1, 1, 5)",3499.1055298260057
"(2, 1, 0)","(1, 0, 1, 5)",3499.1944013339594
"(1, 0, 1)","(1, 1, 1, 5)",3499.2289053813784
"(0, 1, 1)","(1, 0, 1, 5)",3499.2396522110353
"(1, 1, 1)","(1, 0, 1, 5)",3499.6260021717053
"(0, 1, 1)","(0, 0, 1, 5)",3500.3185319040067
"(2, 0, 1)","(1, 1, 1, 5)",3500.4165511502288
"(2, 0, 0)","(1, 0, 0, 5)",3500.4429543904344
"(2, 1, 1)","(1, 0, 0, 5)",3500.494412931741
"(1, 1, 1)","(0, 0, 1, 5)",3500.600601530736
"(1, 1, 0)","(1, 0, 0, 5)",3501.087150171167
"(2, 1, 1)","(1, 0, 1, 5)",3501.721616578853
"(1, 1, 0)","(1, 0, 1, 5)",3502.3191879300966
"(1, 1, 2)","(1, 0, 0, 5)",3502.358760463002
"(1, 1, 1)","(1, 0, 0, 5)",3502.651020166285
"(2, 1, 1)","(0, 0, 1, 5)",3502.70377260414
"(1, 1, 0)","(0, 0, 1, 5)",3503.7016394854354
"(1, 0, 2)","(0, 1, 1, 5)",3504.087513888357
"(2, 1, 0)","(0, 0, 1, 5)",3505.258189859418
"(0, 1, 1)","(1, 1, 1, 5)",3506.16321134264
"(0, 1, 2)","(0, 1, 1, 5)",3506.4942861848867
"(2, 1, 0)","(1, 1, 1, 5)",3506.69563804867
"(2, 0, 2)","(0, 1, 1, 5)",3507.2033520288524
"(1, 1, 1)","(1, 1, 1, 5)",3507.290031350194
"(2, 1, 1)","(1, 1, 1, 5)",3508.29631050013
"(1, 1, 2)","(0, 1, 1, 5)",3508.603544582211
"(2, 0, 1)","(0, 1, 1, 5)",3509.1200196352424
"(2, 0, 0)","(0, 0, 1, 5)",3509.309470497266
"(1, 1, 0)","(1, 1, 1, 5)",3510.303770798616
"(1, 0, 1)","(0, 1, 1, 5)",3510.5288678945417
"(0, 1, 1)","(0, 1, 1, 5)",3510.857975768301
"(1, 1, 1)","(0, 1, 1, 5)",3511.4763019422926
"(2, 0, 0)","(0, 1, 1, 5)",3511.7344089707394
"(2, 1, 1)","(0, 1, 1, 5)",3513.5211686769444
"(1, 1, 0)","(0, 1, 1, 5)",3514.2218924206154
"(2, 1, 0)","(0, 1, 1, 5)",3515.7642537496477
"(0, 1, 2)","(1, 0, 0, 5)",3515.9251831575093
"(0, 1, 1)","(1, 0, 0, 5)",3517.0461056492886
"(0, 1, 0)","(1, 0, 1, 5)",3525.4112053795825
"(0, 1, 0)","(0, 0, 1, 5)",3528.2437554945263
"(1, 0, 0)","(1, 1, 1, 5)",3528.58946810212
"(0, 1, 0)","(1, 1, 1, 5)",3534.2534768219034
"(2, 1, 2)","(0, 0, 0, 5)",3535.3962212926167
"(1, 0, 0)","(0, 0, 1, 5)",3537.050550400042
"(0, 1, 0)","(1, 0, 0, 5)",3540.3901878286424
"(0, 1, 2)","(0, 0, 0, 5)",3557.9127792610707
"(1, 1, 2)","(0, 0, 0, 5)",3560.915156628924
"(1, 0, 1)","(0, 0, 1, 5)",3568.826030397644
"(0, 1, 1)","(0, 0, 0, 5)",3571.3517645275615
"(2, 1, 0)","(0, 0, 0, 5)",3572.0695738789645
"(1, 1, 1)","(0, 0, 0, 5)",3572.0910353322993
"(0, 1, 0)","(0, 1, 1, 5)",3573.6244879701358
"(2, 1, 1)","(0, 0, 0, 5)",3573.8144871474024
"(1, 1, 0)","(0, 0, 0, 5)",3574.2282442640353
"(2, 0, 0)","(0, 0, 0, 5)",3575.23059819805
"(1, 0, 1)","(0, 0, 0, 5)",3579.621976149
"(1, 0, 0)","(0, 1, 1, 5)",3587.251441953867
"(0, 1, 0)","(0, 0, 0, 5)",3598.7064026088924
"(1, 0, 0)","(0, 0, 0, 5)",3657.063767436098
"(2, 0, 2)","(1, 1, 0, 5)",3724.3350084098265
"(2, 1, 2)","(1, 1, 0, 5)",3738.253507657985
"(2, 0, 0)","(1, 1, 0, 5)",3739.320170454041
"(2, 0, 1)","(1, 1, 0, 5)",3741.171643400974
"(1, 0, 2)","(1, 1, 0, 5)",3742.60542429383
"(1, 1, 2)","(1, 1, 0, 5)",3757.098979816841
"(1, 0, 1)","(1, 1, 0, 5)",3759.4118508543866
"(2, 1, 0)","(1, 1, 0, 5)",3792.140330420326
"(2, 1, 1)","(1, 1, 0, 5)",3793.1691886035733
"(1, 1, 0)","(1, 1, 0, 5)",3797.3054220284607
"(1, 1, 1)","(1, 1, 0, 5)",3798.3938551143283
"(1, 0, 0)","(1, 1, 0, 5)",3802.6462782058043
"(0, 1, 2)","(1, 1, 0, 5)",3811.393610985309
"(0, 1, 1)","(1, 1, 0, 5)",3812.7313298749177
"(2, 0, 0)","(1, 0, 1, 5)",3836.61708494901
"(0, 1, 0)","(1, 1, 0, 5)",3840.4598188983155
"(0, 0, 2)","(0, 1, 1, 5)",3872.926248868287
"(0, 0, 2)","(1, 1, 1, 5)",3874.9258804066253
"(0, 0, 2)","(1, 1, 0, 5)",3900.1400237045564
"(0, 0, 2)","(1, 0, 1, 5)",3935.86289755788
"(1, 0, 0)","(1, 0, 0, 5)",3948.943914062248
"(2, 1, 2)","(0, 1, 0, 5)",3975.1188624960205
"(2, 0, 2)","(0, 1, 0, 5)",3975.5000774086056
"(0, 0, 2)","(0, 1, 0, 5)",3980.759847847985
"(1, 0, 2)","(0, 1, 0, 5)",3990.130980473498
"(2, 0, 1)","(0, 1, 0, 5)",3990.3635052885675
"(2, 0, 0)","(0, 1, 0, 5)",3997.8131028134953
"(1, 1, 2)","(0, 1, 0, 5)",4002.8149942626533
"(1, 0, 1)","(0, 1, 0, 5)",4015.4502154376974
"(0, 0, 2)","(1, 0, 0, 5)",4046.9432981057544
"(1, 0, 0)","(0, 1, 0, 5)",4058.919493265657
"(0, 1, 2)","(0, 1, 0, 5)",4093.045417925806
"(0, 1, 1)","(0, 1, 0, 5)",4111.823742698427
"(2, 1, 0)","(0, 1, 0, 5)",4112.753382402335
"(1, 1, 1)","(0, 1, 0, 5)",4112.785821336335
"(2, 1, 1)","(0, 1, 0, 5)",4114.650785683352
"(1, 1, 0)","(0, 1, 0, 5)",4116.16881544623
"(0, 1, 0)","(0, 1, 0, 5)",4133.126621145447
"(0, 0, 1)","(1, 1, 1, 5)",4250.220311885965
"(0, 0, 1)","(0, 1, 1, 5)",4259.09692716019
"(0, 0, 1)","(1, 1, 0, 5)",4262.707574873569
"(1, 0, 2)","(0, 0, 0, 5)",4315.2919630126025
"(0, 0, 1)","(1, 0, 1, 5)",4327.349119503428
"(0, 0, 1)","(0, 1, 0, 5)",4335.726253254576
"(0, 0, 1)","(1, 0, 0, 5)",4402.933643658962
"(0, 0, 0)","(1, 1, 1, 5)",4727.714681666089
"(0, 0, 0)","(0, 1, 1, 5)",4747.3108396472035
"(0, 0, 0)","(1, 1, 0, 5)",4753.719050112906
"(1, 0, 1)","(1, 0, 0, 5)",4765.230005308871
"(0, 0, 0)","(1, 0, 1, 5)",4806.060670791756
"(0, 0, 0)","(0, 1, 0, 5)",4810.458446946055
"(0, 0, 0)","(1, 0, 0, 5)",4853.344642627111
"(1, 0, 2)","(0, 0, 1, 5)",5380.897235285349
"(0, 0, 2)","(0, 0, 1, 5)",5870.046530837657
"(2, 0, 2)","(0, 0, 0, 5)",6293.205733049825
"(2, 0, 2)","(0, 0, 1, 5)",6377.398500016909
"(1, 0, 2)","(1, 0, 1, 5)",6459.854271485325
"(2, 0, 2)","(1, 0, 0, 5)",6517.5089952971775
"(2, 0, 2)","(1, 0, 1, 5)",6524.487915511154
"(1, 0, 2)","(1, 0, 0, 5)",6535.779873003707
"(1, 0, 0)","(1, 0, 1, 5)",6545.795489275843
"(1, 0, 1)","(1, 0, 1, 5)",6562.108582386329
"(2, 0, 1)","(0, 0, 1, 5)",6569.611785550991
"(2, 0, 1)","(1, 0, 0, 5)",6571.567855222614
"(2, 0, 1)","(1, 0, 1, 5)",6595.275839015245
"(2, 0, 1)","(0, 0, 0, 5)",6608.727045943521
"(0, 0, 1)","(0, 0, 1, 5)",6775.5550507025655
"(0, 0, 2)","(0, 0, 0, 5)",6878.9930756036765
"(0, 0, 0)","(0, 0, 1, 5)",7552.247934175364
"(0, 0, 1)","(0, 0, 0, 5)",7556.086370253362
"(0, 0, 0)","(0, 0, 0, 5)",8466.121021739664
